"","COS7OA_3","COS7OA_2","COS7OA_1","COSOADGAT1i_3","COSOADGAT1i_2","COSOADGAT1i_1"
"TG(18:1_20:3_22:4)",3.55e+08,2.66e+08,2.13e+08,2.42e+08,3.23e+08,2e+08
"TG(20:1_18:1_22:6)",7.39e+08,5.46e+08,4.98e+08,1.28e+08,1.53e+08,1.12e+08
"TG(20:3_20:3_20:3)",7.11e+08,3.8e+08,1.81e+08,3.76e+08,4.83e+08,3.06e+08
"TG(20:1_20:4_20:4)",2.51e+08,2.19e+08,1.66e+08,1.24e+08,81800000,92200000
"TG(18:1_22:4_22:5)",4.64e+08,3.53e+08,3.38e+08,2.49e+08,3.82e+08,2.62e+08
"TG(18:1_22:5_22:5)",3.45e+08,2.73e+08,2.3e+08,1.63e+08,2.56e+08,1.44e+08
"TG(18:1_22:6_22:6)",2.6e+08,1.92e+08,1.59e+08,44500000,90100000,43100000
"TG(26:1_18:1_18:1)",2.03e+08,1.9e+08,38900000,380385.92,4504963.53,6127949.441
"TG(20:1_18:1_24:2)",39400000,35300000,1.1e+07,35634.5398,35634.5398,178172.699
"TG(26:1_18:1_18:2)",35200000,37300000,13200000,217733.197,336143.685,479169.3237
"TG(18:1_20:4_24:0)",57700000,41800000,36700000,4353975.82,1498304.49,6196243.942
"TG(18:1_20:4_24:1)",82400000,61500000,51400000,9149466.302,4194956.067,6518641.806
"TG(62:7)",6679933.179,7219538.02,6228267.398,3032764.242,7781880.885,306838.1007
"TG(18:1_22:3_22:4)",1.87e+08,1.32e+08,1.09e+08,75500000,1.01e+08,62800000
"TG(18:1_22:1_22:6)",1.68e+08,1.21e+08,1.01e+08,21300000,25800000,20300000
"TG(20:2_22:4_22:4)",1.45e+08,1.04e+08,1.01e+08,1.05e+08,1.94e+08,1.17e+08
"TG(20:1_22:5_22:5)",1.12e+08,96900000,68500000,1.16e+08,90100000,68600000
"TG(20:0_22:6_22:6)",2.33e+08,1.73e+08,1.33e+08,69800000,1.07e+08,66400000
"TG(18:1_22:1_24:1)",4215088.295,5341847.699,843017.659,843017.659,843017.659,843017.659
"TG(18:1_22:5_24:1)",1.74e+08,89500000,1.02e+08,23400000,7922995.476,18600000
"TG(18:1_22:5_24:2)",66800000,60100000,48900000,21200000,24900000,21200000
"TG(20:1_22:4_22:4)",27600000,23400000,21400000,64600000,82900000,56400000
"TG(22:0_22:6_22:6)",13800000,7222084.023,9393251.264,4247184,6668429.087,3863293.166
"TG(66:8)",27400000,1.7e+07,13600000,6171470.343,5748120.1,4288983.177
"TG(66:9)",24400000,17500000,16200000,13400000,1.7e+07,12900000
"Cer(d34:1+O)",216502.48,92958.587,122689.183,156273.861,115499.871,232258.998
"Cer(d36:1)",2062408.416,1349663.092,674628.444,7009742.201,2532532.217,5724687.142
"Cer(d36:3)",781849.34,987508.942,156369.868,4372448.746,928004.724,3283291.028
"Cer(d36:8)",67873.8168,7487.0478,20166.1356,145265.8614,1400458.205,3574213.365
"Cer(d42:0)",2441567.573,3263778.893,3304786.797,5948266.573,2941770.904,3402827.126
"Cer(d42:6)",57834.0066,289170.033,57834.0066,8218410.83,3276466.746,7374795.584
"Cer(d44:1)",440655.189,23056.779,86456.657,5780198.585,331893.119,316895.575
"Cer(d18:0_26:2)",3461390.944,2862829.571,1701200.684,3766165.511,1259798.711,2581362.306
"Cer(m40:0+O)",3644792.196,4218397.74,4157452.3,5303940.416,3383551.318,3380667.716
"Cer(t18:0_18:2)",0.0138,0.0138,0.069,1467007.009,0.0138,0.0138
"Cer(t40:1)",159674.6349,107510.6775,133341.5025,5570750.597,313972.6443,163618.915
"Cer(t42:0)",124826.8404,160723.4037,105447.027,2154405.32,87437.5887,85754.035
