"","COS7OA_3","COS7OA_2","COS7OA_1","COSOADGAT1i_3","COSOADGAT1i_2","COSOADGAT1i_1"
"PE(34:1e)",1.7e+07,14100000,763518.0498,8417065.118,6337086.794,14900000
"PE(34:2)",7634543.891,4842409.068,6194795.212,5333773.074,6487888.377,5698128.805
"PE(36:1e)",2781105.759,2234252.87,507476.115,39808.71,4118591.433,1795781.424
"PE(36:6e)",5146091.235,5222481.087,2962162.132,3625281.479,7701149.042,6115310.312
"PE(38:5e)",43200000,28900000,27600000,23500000,38200000,26700000
"PE(38:6)",8766847.933,7179622.71,5459528.509,9143202.194,8797431.59,1e+07
"PE(38:6e)",1.08e+08,76700000,72800000,59300000,97700000,69900000
"PE(40:5)",39900000,28800000,22300000,31400000,42300000,32700000
"PE(40:5e)",8207767.156,5672695.618,3353175.616,4676391.693,6587624.747,5651111.278
"PE(40:6)",35700000,23700000,19600000,30500000,44700000,29200000
"PE(40:6e)",21200000,13500000,12800000,11900000,19900000,15100000
"PE(40:7e)",37700000,29500000,25300000,18800000,39800000,23600000
"PE(40:8e)",46500000,2.9e+07,2.6e+07,10900000,22900000,14300000
"PG(16:0_16:0)",44300000,28300000,25900000,27700000,42100000,73100000
"PG(16:0_18:1)",2.65e+08,2.06e+08,1.28e+08,1.65e+08,1.28e+08,2.62e+08
"PG(16:1_18:1)",5509946.702,3908573.22,1822648.368,4236675.06,2733166.461,5489179.569
"PG(18:1_18:1)",1.95e+08,1.56e+08,1.17e+08,1.09e+08,57400000,1.13e+08
"PG(18:1_18:2)",17900000,13400000,7333089.849,8042983.579,3521400.514,7470511.686
"PG(18:1_20:3)",11600000,9299714.556,3977264.238,9722841.573,3337052.684,7716192.138
"PG(18:1_20:4)",33100000,2.8e+07,2.7e+07,9424356.901,14300000,10800000
"PG(18:1_20:5)",5366792.871,4296193.062,2397695.188,8540103.576,3047663.638,6830700.125
"PG(18:1_22:4)",1e+07,6322679.662,3916821.257,11100000,5199426.093,1.2e+07
"PG(18:1_22:5)",12800000,6798046.385,8047656.851,13800000,2.8e+07,12600000
"PG(18:1_22:6)",1.24e+08,92800000,52900000,1.4e+08,54600000,1.13e+08
"PG(18:2_22:6)",3104196.489,1991677.569,2012918.792,4920185.845,19700000,4485800.095
"PG(20:3_22:6)",2457440.742,1692264.683,2864368.62,3981344.176,12800000,4993352.289
"PG(20:4_22:6)",5536788.856,3963315.849,4470861.467,11900000,37100000,13300000
"PG(20:5_22:6)",766655.508,590700.833,328440.854,2986327.018,8218839.418,3251245.953
"PG(22:4_22:6)",2592799.199,1255075.702,1007444.68,10200000,3898586.848,7924702.5
"PG(22:5_22:5)",143644.11,39418.908,7883.7816,743727.458,2378381.484,971704.62
"PG(22:5_22:6)",3134131.802,2296986.624,2722777.39,9817298.704,23100000,8884327.675
"PG(22:6_22:6)",3.1e+07,25800000,1.3e+07,1.91e+08,23600000,7.5e+07
"PI(16:0_20:4)",4998042.315,3306336.362,2515796.799,2393073.216,4920136.722,12400000
"PI(16:1_18:1)",1545206.079,826072.391,605249.058,291257.031,976573.168,5008639.94
"PI(18:0_18:1)",73800000,39900000,38100000,11700000,65600000,1.57e+08
"PI(18:0_20:3)",7518050.321,4531314.814,4018115.839,1095705.735,4828309.693,13300000
"PI(18:0_20:4)",1.39e+08,82500000,72400000,30800000,77600000,1.94e+08
"PI(18:0_22:6)",5781196.02,8532163.176,3389441.595,2122809.352,424561.8704,3143381.065
"PI(18:1_18:1)",355774.737,270250.3425,37113.43746,437248.2054,382431.4506,185567.1873
"PI(18:1_18:2)",5899386.549,4857054.74,3471537.953,16200000,10500000,21600000
"PI(18:1_20:3)",31316.75076,681889.3122,156583.7538,891098.2671,205056.1044,998492.7144
"PI(18:1_20:4)",84200000,62500000,46100000,85300000,1.28e+08,2.97e+08
"PI(18:1_20:5)",1409659.164,691133.667,674018.389,4280167.263,4979179.976,9742834.122
"PI(18:1_22:5)",5377040.708,3845955.351,3042640.53,4448525.276,6601362.391,16200000
"PS(26:0)",19389.1932,4642.4202,928.48404,928.48404,6922.2258,67635.967
"PS(26:1)",7827756.491,8521678.285,4519808.202,2688342.748,4476956.903,6741764.164
"PS(26:2e)",9885774.408,10100000,4638303.387,3117022.073,6980937.425,8784401.972
"PS(36:3e)",5047003.135,4513716.083,2948061.614,1501435.196,5189497.423,4100071.396
"PS(38:1e)",6745116.59,6370045.603,3872497.14,9633830.219,3112734.694,7860820.451
"PS(38:4)",1.59e+08,1.5e+08,1.3e+08,1.3e+08,91100000,1.26e+08
"PS(38:4e)",4704354.76,3826694.662,2748633.433,3762427.243,1658665.675,3386022.125
"PS(38:5e)",16700000,14100000,8661349.686,9913345.551,4827684.979,12500000
"PS(40:7)",37800000,35200000,19900000,37700000,17300000,35200000
"PS(40:8)",1532443.533,1939203.133,2436159.183,4340193.235,2032392.141,4743119.838
"PS(42:9e)",15500000,15700000,9385549.095,13400000,5403886.498,11400000
"SM(d18:1_24:1)",4.79e+09,3.24e+09,2.56e+09,1.18e+09,2.2e+09,1.04e+09
"SM(d32:0)",39100000,26300000,34400000,30700000,5.4e+07,26600000
"SM(d32:1)",4.06e+08,3.06e+08,3.24e+08,3.04e+08,6.24e+08,3.15e+08
"SM(d32:2)",12800000,9149582.903,8240675.461,11300000,22500000,9182389.011
"SM(d34:0)",4.86e+08,3.01e+08,4.84e+08,4.19e+08,7.46e+08,3.73e+08
"SM(d34:1)",2.2e+09,1.93e+09,1.18e+09,1.59e+09,9.75e+08,1.9e+09
"SM(d34:2)",3.44e+08,3.2e+08,3.73e+08,3.01e+08,7.78e+08,3.37e+08
"SM(d36:0)",23300000,13600000,25300000,16300000,34600000,16600000
"SM(d36:1)",7.15e+08,3.87e+08,6.08e+08,4.61e+08,6.97e+08,4.29e+08
"SM(d36:2)",66200000,3.36e+08,3.26e+08,4.23e+08,7.14e+08,3.9e+08
"SM(d36:3)",1.1e+07,8718369.29,3639312.701,13100000,31100000,13900000
"SM(d38:1)",99300000,53100000,83600000,53600000,1.16e+08,47700000
"SM(d38:2)",72200000,39500000,41300000,2.7e+07,63100000,23500000
"SM(d38:4)",42900000,38300000,28500000,38300000,33900000,38200000
"SM(d40:1)",4.47e+08,3.26e+08,4.27e+08,2.8e+08,3.27e+08,2.53e+08
"SM(d40:2)",3.29e+08,1.87e+08,2.29e+08,1.38e+08,3.34e+08,1.27e+08
"SM(d42:1)",4.66e+08,3.09e+08,3.34e+08,2.69e+08,2.26e+08,2.83e+08
"SM(d42:2)",1.61e+09,1.24e+09,9.33e+08,9.7e+08,2.76e+08,5.64e+08
"SM(d42:3)",7.9e+08,4.43e+08,5.07e+08,3.02e+08,8.26e+08,2.74e+08
"SM(d42:4)",32400000,21600000,24800000,28500000,81300000,26400000
"SM(d42:5)",40600000,22600000,33600000,79400000,2.15e+08,75900000
"SM(d42:6)",34300000,20200000,40500000,81200000,1.93e+08,7.8e+07
"SM(d44:2)",27700000,18200000,17200000,7989981.955,18200000,6619653.443
"SM(d44:3)",1.67e+08,1.03e+08,1.04e+08,33600000,50500000,30200000
"SM(d44:4)",12100000,5363026.202,4425346.411,6485512.069,19100000,6159596.098
"SM(d44:5)",11700000,7633038.549,9624260.426,13500000,3.2e+07,12400000
"SM(d44:6)",1.1e+08,65100000,48600000,34200000,58900000,38100000
"SM(d44:7)",2954445.916,1322114.828,12400000,6181264.896,1.3e+07,5812668.585
"SM(t34:1)",5427384.447,2185224.933,17500000,2047895.232,6929476.564,1903739.968
"SM(t34:2)",9960538.669,6119117.436,5045563.053,6846220.668,21800000,6484787.601
"SPH(d22:0)",2.51e+08,1.97e+08,3.6e+08,3.47e+08,2.32e+08,2.59e+08
"SPH(t18:0)",1.7e+08,91100000,1.51e+08,7.9e+07,1.65e+08,1.41e+08
"TG(14:1e_10:1_10:1)",139285.766,0.307,13400000,0.0614,6690644.791,0.0614
"TG(16:0_14:0_18:1)",3.15e+08,2.37e+08,6.67e+08,1.24e+08,2.19e+08,1.44e+08
"TG(16:0_16:0_16:0)",690277.4184,181060.8792,62500000,202650.795,36212.17584,36212.17584
"TG(16:0_16:0_18:1)",8.05e+08,5.9e+08,2.56e+09,2.42e+08,6.45e+08,2.44e+08
"TG(16:0_16:0_18:2)",82851.69,0.352,1.2e+07,0.352,0.352,1.76
"TG(16:0_16:0_18:3)",608297.305,32156.445,62100000,47289.22,6431.289,6431.289
"TG(16:0_18:1_18:1)",5.59e+09,4.72e+09,7.96e+09,1.19e+09,1.36e+09,1.11e+09
"TG(16:0_18:1_18:2)",3913830.077,80925.945,1.24e+08,16185.189,597694.579,16185.189
"TG(16:0_18:1_20:4)",8.47e+08,7.67e+08,7.65e+08,2.58e+08,3.14e+08,2.36e+08
"TG(16:0_18:1_22:1)",2.98e+08,2.12e+08,2.64e+08,29400000,12900000,27800000
"TG(16:0_18:1_22:6)",1.01e+09,7.56e+08,7.06e+08,2.26e+08,2.65e+08,1.95e+08
"TG(16:0_6:0_10:1)",138217.913,5908.12866,26800000,29540.6433,5886221.738,48426.9
"TG(16:0_6:0_12:0)",146798.4798,21140.8638,37400000,39027.23,329099.8395,55714.4298
"TG(16:0_8:0_10:1)",389627.768,11094.9272,24900000,55474.636,11094.9272,11094.9272
"TG(16:1_18:1_18:1)",6.1e+09,4.64e+09,4.75e+09,6.94e+08,1.71e+09,6.59e+08
"TG(16:1_18:1_18:2)",4.39e+08,3.59e+08,2.81e+08,1.69e+08,7.3e+08,1.81e+08
"TG(16:1_18:1_18:3)",4.27e+08,2.94e+08,2.9e+08,1.16e+08,4.54e+08,1.13e+08
"TG(16:1_18:1_20:4)",7.41e+08,4.49e+08,3.01e+08,1.94e+08,3.2e+08,68900000
"TG(18:0_16:0_16:0)",9.8e+07,9.3e+07,2.86e+08,71300000,64800000,86100000
"TG(18:0_16:0_18:1)",5.64e+08,3.64e+08,1.14e+09,1.58e+08,1.61e+08,1.46e+08
"TG(18:0_18:1_18:1)",5.64e+09,4.2e+09,4.46e+09,4.77e+08,3.33e+08,4.42e+08
"TG(18:0_18:1_20:4)",2.98e+08,4.03e+08,2.99e+08,1.37e+08,2.16e+08,1.12e+08
"TG(18:1_14:0_18:1)",2.46e+09,1.77e+09,3.16e+09,3.41e+08,3.38e+08,2.97e+08
"TG(18:1_18:1_18:1)",5.38e+10,4.46e+10,4.09e+10,8.74e+09,8.26e+09,7.95e+09
"TG(18:1_18:1_18:2)",7.27e+09,5.34e+09,5.05e+09,6.98e+08,1.39e+09,6.84e+08
"TG(18:1_18:1_20:2)",1.52e+09,1.23e+09,1.04e+09,2.25e+08,2.41e+08,2.26e+08
"TG(18:1_18:1_20:3)",5.74e+09,4.29e+09,4.27e+09,1.03e+09,1.18e+09,8.24e+08
"TG(18:1_18:1_20:4)",9.67e+09,7.69e+09,8.07e+09,2.01e+09,3.01e+09,1.68e+09
"TG(18:1_18:1_20:5)",2.95e+09,2.13e+09,1.7e+09,5.93e+08,8.63e+08,4.95e+08
"TG(18:1_18:1_22:1)",3.75e+09,2.41e+09,2.18e+09,1.44e+08,69700000,1.5e+08
"TG(18:1_18:1_22:3)",1.93e+09,1.43e+09,9.43e+08,2.3e+08,2.35e+08,2.12e+08
"TG(18:1_18:1_22:4)",5.4e+09,4.19e+09,4e+09,1.46e+09,1.79e+09,1.29e+09
"TG(18:1_18:1_22:5)",6.82e+09,5.53e+09,5.07e+09,1.93e+09,2.64e+09,1.65e+09
"TG(18:1_18:1_22:6)",3943206.203,2418016.282,782857.3653,386685.225,37782.675,188913.375
"TG(18:1_18:1_24:1)",44800000,52800000,1844903.678,59670.6032,298353.016,1945718.956
"TG(18:1_18:1_24:2)",44700000,16700000,24600000,203129.938,35396.3368,176981.684
"TG(18:1_18:2_18:2)",1.07e+09,8.17e+08,7.85e+08,2.52e+08,1.5e+09,2.53e+08
"TG(18:1_18:2_22:6)",1.08e+09,8e+08,5.62e+08,2.2e+08,4.34e+08,1.81e+08
"TG(18:1_20:4_22:5)",9.81e+08,7.06e+08,5.92e+08,3.23e+08,5.38e+08,2.46e+08
"TG(18:1_20:4_22:6)",9.39e+08,5.33e+08,5.75e+08,2.48e+08,2.76e+08,1.46e+08
"TG(18:1_22:1_22:4)",4.37e+08,3.05e+08,2.79e+08,37900000,56300000,59300000
"TG(18:1_22:1_22:5)",9.89e+08,6.38e+08,5.75e+08,1.21e+08,1.18e+08,1.19e+08
"TG(18:1_22:4_22:4)",2.81e+08,2.24e+08,1.87e+08,1.91e+08,2.85e+08,1.7e+08
"TG(18:1_22:5_22:6)",4.28e+08,2.98e+08,2.37e+08,1.33e+08,2.54e+08,1.15e+08
"TG(18:1e_18:1_18:1)",4.29e+08,2.77e+08,2.65e+08,1.1e+07,4298606.361,11600000
"TG(18:2_18:2_18:2)",1.97e+08,1.68e+08,50100000,11600000,1.85e+09,88200000
"TG(20:1_18:1_18:1)",13200000,4667630.566,7301984.562,205329.433,41065.8866,364140.826
"TG(20:1_18:1_22:4)",2.7e+09,1.98e+09,1.75e+09,3.77e+08,3.83e+08,3.46e+08
"TG(20:1_18:1_22:5)",6.17e+09,4.53e+09,4e+09,8.2e+08,1.24e+09,8.19e+08
"TG(34:2)",88672.113,17734.4226,25300000,17734.4226,573428.5092,17734.4226
"TG(4:0_18:1_18:1)",2.1e+07,13500000,9242252.188,16286.302,16286.302,81431.51
"TG(40:6e)",27100000,17600000,2.4e+07,60700000,2.09e+08,57800000
"TG(44:6e)",2300985.312,732757.827,16700000,4511072.474,10700000,4307285.353
"TG(8:0_10:1_18:1)",102878.38,3221.364,19100000,16106.82,3221.364,3221.364
"TG(8:0_18:1_18:1)",14900000,9993624.721,2441687.565,94029.7926,20300000,470148.963
"TG(8:0_8:0_10:0)",6583548.037,177167.7675,1951152.539,119406.4725,56800000,319975.9704
"TG(8:0_8:0_8:0)",2345915.75,18700000,21600000,6593790.654,7867633.735,1707109.1
