Metabolites,D0_1,D0_2,D0_3,D2_1,D2_2,D2_3,D4_1,D4_2,D4_3,D6_1,D6_2,D6_3,D8_1,D8_2,D8_3,D10_1,D10_2,D10_3
glutathione,141576.2814,157122.5316,138181.0754,470568.5224,949651.7735,572948.717,990380.206,850656.8083,1173026.041,2204862.815,3190940.132,1338001.744,3337750.731,2429918.229,166887.9681,2602826.955,1650028.661,2044064.878
dTMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMP,94560.5591,49010.68486,71689.00898,37549.6458,414576.7743,293615.7938,88064.48176,171145.6086,102472.1754,206060.2023,252016.1591,199185.9623,445180.8808,700877.425,313970.0108,576077.0884,661059.684,504232.2506
UMP,48989.9452,51627.5198,97226.24175,108600.7289,80260.46393,170235.6089,162798.7538,270387.1804,165705.7317,128245.2852,144652.1892,72970.97027,298672.9832,185662.1369,193025.1624,266339.1167,301524.9327,94132.31629
dAMP,117495.0068,47671.88774,127245.7365,109389.985,161749.2826,86091.05217,96105.72969,145225.8187,185622.451,192372.4065,183633.6841,187215.7272,279025.0794,233049.6601,73925.43194,185843.2128,237985.7424,193107.352
Nicotinamide ribotide,19111.38546,9042.519214,54130.23123,65282.73379,62627.75715,104822.2373,153376.507,173652.9053,301881.7673,21847.7202,22666.78128,23034.78236,41004.35535,48450.59221,19868.75178,69974.46943,86666.23662,81798.04276
aminoimidazole carboxamide ribonucleotide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
thiamine-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dGMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMP,696067.4279,358678.5947,448832.4918,578854.096,1004444.331,1077636.429,2143194.681,1655288.466,1999463.26,3098747.513,3888439,2488801.215,5195902.437,4568176.436,1759375.929,4876024.22,4241738.882,2822050.63
