LipidIon,D0_1,D0_2,D0_3,D4_1,D4_2,D4_3
Hex1Cer(t18:0_24:0),1.91E+08,3.56E+08,3.43E+08,3.58E+08,3.22E+08,2.26E+08
Hex1Cer(t18:1_16:1),633218.1975,2345158.757,1110180.067,5316125.287,5752680.735,6162970.272
Hex1Cer(t34:1),16500000,19600000,21400000,46500000,33300000,28600000
Hex2Cer(d18:1_16:0),78200000,93700000,1.42E+08,1.15E+08,91500000,75500000
Hex2Cer(d18:1_22:0),5999917.306,5330542.401,15500000,23400000,15400000,14500000
Hex2Cer(d18:1_24:0),35700000,74300000,54600000,76700000,50400000,3.60E+07
Hex2Cer(d18:1_24:1),73100000,29900000,20300000,1.35E+08,95500000,62500000
Hex2Cer(d34:1),21500000,28700000,27200000,38500000,29600000,23700000
Hex2Cer(d42:1),7286712.806,21700000,17500000,2.80E+07,22500000,14200000
Hex2Cer(d42:2),19300000,7365706.616,1.00E+07,45600000,39700000,34200000
Hex2Cer(t18:0_24:0),35700000,74300000,54600000,76700000,50400000,3.60E+07
Hex2Cer(t18:0_24:1),73100000,65100000,66800000,1.23E+08,95500000,62100000
LPC(16:0),1.13E+09,1.57E+09,1.97E+09,5.25E+09,4.60E+09,4.51E+09
LPC(16:0e),1.90E+07,22700000,27700000,38300000,42400000,46200000
LPC(16:1),76100000,1.02E+08,1.27E+08,2.61E+08,2.50E+08,2.47E+08
LPC(16:1e),17200000,24700000,30900000,80100000,89700000,69800000
LPC(16:2e),7105895.478,4820629.328,7624948.331,20100000,19600000,2.20E+07
LPC(18:0),1.29E+09,2.30E+09,2.75E+09,6.63E+09,5.68E+09,5.20E+09
LPC(18:0e),7782528.601,1.40E+07,14200000,25800000,24500000,24100000
LPC(18:1),3.82E+08,7.76E+08,8.91E+08,1.54E+09,1.42E+09,1.30E+09
LPC(18:1e),17700000,24300000,3.60E+07,41100000,34800000,34600000
LPC(18:2e),937781.197,7880890.265,7647870.395,23800000,19800000,1.70E+07
LPC(20:0),19500000,27400000,31500000,64100000,59700000,57700000
LPC(20:0e),5067002.559,13500000,16500000,40600000,32800000,32400000
LPC(20:1),5.10E+07,88800000,97100000,1.67E+08,1.36E+08,1.56E+08
LPC(20:2),7227521.225,19700000,2.60E+07,11900000,11800000,27900000
LPC(20:4),71100000,1.02E+08,1.61E+08,71900000,70600000,6.40E+07
LPC(20:5),0,0,0,8276504.988,11200000,10900000
LPC(22:0),20500000,20800000,22500000,50200000,48700000,43900000
LPC(22:1),13100000,24100000,26500000,75500000,43400000,56400000
LPC(22:5),9.10E+07,1.15E+08,1.33E+08,80600000,6.60E+07,70100000
LPC(22:6),93200000,1.27E+08,1.52E+08,74600000,53400000,71500000
LPC(24:0),74900000,1.09E+08,1.25E+08,2.95E+08,2.39E+08,2.35E+08
LPC(24:1),52600000,58100000,68700000,1.93E+08,1.46E+08,1.30E+08
LPC(24:2),1583656.439,2181295.434,6257626.039,16300000,11400000,11900000
LPC(26:1),14500000,28600000,14200000,82200000,77400000,61300000
LPE(16:0),19300000,26200000,31800000,87300000,80500000,78700000
LPE(18:0),90700000,1.13E+08,1.27E+08,2.28E+08,2.26E+08,2.17E+08
LPE(18:1),22600000,28800000,35400000,66700000,65700000,64500000
LPE(18:2e),1672069.69,9490890.984,4037018.956,45600000,4.40E+07,42300000
LPE(20:3),412794.892,3079749.334,1996897.467,3002180.067,2898063.012,2367938.922
LPE(22:6),7486716.099,16600000,29900000,13900000,16400000,12700000
LSM(d20:0),1.92E+08,8582749.529,1.50E+07,17700000,24300000,58300000
PC(14:0_14:0),21900000,31400000,35600000,25900000,27400000,26700000
PC(14:0_20:5),5596494.025,5091314.733,8314531.388,10600000,8765720.996,7530959.128
PC(14:0_22:4),1.73E+09,1.80E+09,1.87E+09,1.69E+09,2.14E+09,1.74E+09
PC(14:1e_16:0),6921409.663,58600000,6313501.83,1.69E+08,1.62E+08,1.69E+08
PC(14:1e_18:0),1.91E+08,1.21E+08,1.78E+08,1.58E+09,1.28E+09,1.17E+09
PC(14:1e_20:4),17200000,21200000,2.40E+07,1.58E+08,1.51E+08,1.43E+08
PC(16:0_14:0),3.84E+08,5.13E+08,5.80E+08,5.95E+08,6.13E+08,6.00E+08
PC(16:0_16:0),9.26E+08,1.40E+09,1.50E+09,2.01E+09,2.14E+09,1.99E+09
PC(16:0_16:1),1.23E+09,1.80E+09,2.24E+09,3.26E+09,3.30E+09,3.20E+09
PC(16:0_18:1),2.13E+09,3.28E+09,3.82E+09,4.46E+09,4.53E+09,4.54E+09
PC(16:0_20:3),1.53E+08,54800000,3.85E+08,2.33E+08,2.33E+08,2.30E+08
PC(16:0_20:4),3.85E+08,5.64E+08,6.67E+08,8.23E+08,6.65E+08,7.22E+08
PC(16:0_20:5),5.40E+07,1.35E+08,1.69E+08,5.40E+08,3.85E+08,3.93E+08
PC(16:0_22:1),27900000,46900000,15500000,81100000,75800000,7.20E+07
PC(16:0_22:5),1.06E+09,9.03E+08,8.78E+08,6.59E+08,7.73E+08,8.23E+08
PC(16:0_24:0),2321946.389,21400000,25400000,67600000,60700000,24400000
PC(16:0e_22:3),4378286.561,7548797.127,7783612.261,27400000,28300000,22600000
PC(16:0e_22:6),3724822.365,11800000,5319723.186,37200000,21100000,24700000
PC(16:1_14:0),1.15E+08,1.51E+08,1.71E+08,2.09E+08,2.27E+08,2.29E+08
PC(16:1_18:1),4.11E+08,6.76E+08,6.89E+08,1.85E+09,1.96E+09,3.75E+08
PC(16:1_20:4),6.00E+07,98800000,2.50E+07,1.74E+08,1.70E+08,63100000
PC(16:1_22:6),1.38E+08,2.07E+08,6.30E+08,6.26E+08,5.67E+08,5.18E+08
PC(16:1e_18:0),1.33E+08,3.57E+08,4.86E+08,6.52E+08,5.12E+08,5.25E+08
PC(16:1e_18:1),3.60E+08,6.56E+08,7.88E+08,1.36E+09,1.43E+09,1.43E+09
PC(16:1e_20:4),20400000,30200000,35500000,1.12E+08,88100000,80300000
PC(16:2e_22:3),5824622.576,622843.5378,454022.9139,27300000,22200000,0
PC(18:0_16:0),1.38E+08,89200000,80600000,3.56E+08,3.24E+08,3.09E+08
PC(18:0_20:4),3.25E+08,5.22E+08,6.27E+08,9.30E+08,7.89E+08,7.26E+08
PC(18:0_22:2),16400000,5425662.222,33500000,37100000,37600000,1213057.487
PC(18:0_22:3),52800000,2.22E+08,8.90E+07,2.47E+08,6.22E+08,5.46E+08
PC(18:0_22:5),1.11E+08,57200000,55400000,2.51E+08,2.27E+08,2.09E+08
PC(18:0e_16:0),5509856.316,6989986.887,7230225.388,11300000,8382182.66,10300000
PC(18:1_14:1),97300000,37900000,25700000,2.43E+08,1.54E+08,1.44E+08
PC(18:1_18:1),9.19E+08,5.85E+08,5.76E+08,2.35E+09,2.40E+09,2.33E+09
PC(18:1_18:2),1.81E+08,3.66E+08,5.12E+08,7.64E+08,7.42E+08,7.07E+08
PC(18:1_20:4),3.32E+08,3.48E+08,3.70E+08,6.89E+08,6.15E+08,6.18E+08
PC(18:1_22:4),32500000,2064779.621,1490887.275,57900000,51900000,49500000
PC(18:1_22:6),2.37E+09,1.02E+09,1.44E+09,4.28E+09,4.43E+09,4.21E+09
PC(18:1_24:0),4507737.404,14300000,14700000,17800000,15400000,21200000
PC(18:1e_20:4),94300000,1.71E+08,2.00E+08,1.24E+08,1.03E+08,84700000
PC(18:1e_22:5),16300000,32300000,38300000,23500000,20100000,19700000
PC(18:1e_22:6),18900000,20900000,18400000,14600000,17700000,14900000
PC(18:2e_18:0),1.76E+08,2.90E+08,4.04E+08,1.21E+09,1.01E+09,1.25E+09
PC(18:2e_20:4),2.80E+07,4876341.258,9893295.615,1.03E+08,82100000,72800000
PC(18:3e_18:0),2.15E+08,4.33E+08,5.08E+08,7.73E+08,6.87E+08,6.45E+08
PC(20:1_18:1),9279442.641,16100000,12700000,1.26E+08,1.20E+08,1.27E+08
PC(20:1e_18:1),6874504.044,11100000,13700000,12400000,14400000,1.50E+07
