,DGAT1i+2i,DGAT1i+2i,DGAT1i+2i,DGAT1i,DGAT1i,DGAT1i,DGAT2i,DGAT2i,DGAT2i,OA,OA,OA
Metabolite.name,1i_2i_01,1i_2i_02,1i_2i_03,1i_01,1i_02,1i_03,2i_01,2i_02,2i_03,OA_01,OA_02,OA_03
SM 8:0;2O/22:0,1014200,738323,132348,17696370,18600372,21793138,29866346,30819846,28502544,30469840,29097306,39728192
DG 8:0_30:8,4131229,9565270,8077916,1898118,1083124,307987,9922546,4223314,9927052,19532546,14257805,15702793
TG 8:0_8:0_20:1,2270338,11572774,15193088,1105977,2665273,2303325,16279307,11422113,7034714,17829998,16794034,25744768
TG 8:0_12:0_16:0,25704836,30033058,29894676,28636624,27679770,24028298,22733378,28285488,26218898,23305538,26030268,30773656
TG 36:0|TG 12:0_12:0_12:0,7007948,25589168,27454302,5049538,3743893,47858,16721736,16964270,14011757,22279442,19247720,26664104
PE 10:0_20:3,15498503,16351620,18959904,15289620,16564313,17379834,1755886,437278,705444,1270046,1334012,439883
DG 16:2_22:4,6962106,17203898,18540608,1322602,1483542,2228840,15171223,11033695,15794122,38845236,23143580,6024374
DG 38:6|DG 16:1_22:5,8979279,11468537,7629708,13031860,15956062,17606566,35866648,30470010,31056822,30252362,27527694,34460832
DG 38:6|DG 16:0_22:6,11512798,10423651,2847318,11490323,15345104,9477906,37403736,25913190,27289846,32129004,33663448,37153680
DG 38:5|DG 18:1_20:4,207595376,262317408,230892992,252923376,286434816,298424672,608334592,550346752,483676032,588601600,541491648,627411648
DG 8:0_30:5,11037977,11112783,10600301,11684046,7291671,9755910,12352831,15067422,11425314,11758562,13361923,14122534
SM 14:3;2O/18:5,4232036,3381598,4078084,3953533,3565409,3219102,12934604,11201362,9955306,12306196,13330794,13651632
TG 8:0_8:0_20:0,17718698,44214580,35736604,5940229,10027778,5854281,23200518,25169538,30972506,62820896,36773772,26130270
LPC 28:1-SN1,11336269,17266274,9543828,11571430,10860472,14398624,11423267,10420027,9332125,5932109,10599335,11282430
DG 38:4|DG 18:0_20:4,216650576,218924768,257321952,274794080,332647040,302748224,397800224,363892000,308095072,358410912,333296864,383677216
DG 38:4|DG 18:1_20:3,57926544,64131712,51359868,90770128,92219160,100590632,172130928,144957392,128465168,145920784,145354160,207310704
DG 8:0_30:4,29681950,42597424,31985656,9310528,44007016,9648665,68042880,13515941,52006912,14001108,14637662,58208660
DG 16:0_22:4,29274344,10734971,8528335,36977524,44503584,40168180,67892952,59542136,52006916,55250916,57647852,57439728
SM 30:1;3O,13518821,77672072,73128832,11732375,6098232,5410978,48438312,85216896,33320938,97954048,73338152,65395008
LPC 28:0,255138960,254837712,251062224,248698800,231004064,328654496,176894800,154942560,177553712,193413552,171320944,200938144
LPC 28:0-SN1,17728892,18342676,18006762,18209566,18293572,19153554,17469820,20448968,16228034,16046763,16013997,19188558
DG 8:0_30:3,6647234,30442330,23992006,13368892,12654876,10169994,7631738,17958404,18677882,40295040,28716308,35684404
DG 38:3|DG 18:0_20:3,28263726,34311244,28331546,34882088,40463408,39417640,60455640,60020704,50549868,56601000,54716684,63136672
DG 38:3|DG 20:1_18:2,59464896,146267296,137177904,57931204,60779436,54776992,162549296,135642160,137842352,253374208,181746272,220352528
SM 30:0;3O,22141076,103506152,103602968,21008862,12152506,11425977,78573512,120600896,54036732,130824800,101122008,96443648
DG 8:0_30:2,39821476,39113008,33040080,64897968,73976072,79978560,67754336,64058476,64957336,86523552,81725872,105066432
DG 38:2|DG 20:0_18:2,131444224,376238272,398413824,92735184,82178264,46571904,348832032,247786352,237348560,471833568,349588256,383767520
DG 38:2|DG 18:1_20:1,377129088,479666688,411752992,389377568,446601248,483142272,862269120,850688768,738133504,860934976,838560576,931376192
SM 30:2;2O,11958269,3980832,26778150,4847155,5080835,3308475,8780409,3045417,2946638,5016240,6327234,4433132
SM 8:0;2O/24:5,79354880,156714992,156363568,32813694,42218552,22576706,86404464,97421600,128501128,324114848,146672016,74556592
DG 22:0_16:1,22239162,53213772,78558984,13904756,10522729,8516235,19303226,51977692,63744872,91997880,96158624,91113416
SM 32:2;2O|SM 18:2;2O/14:0,42691008,58851320,49715364,42770856,53529392,53933260,53539444,65487940,52882640,57240524,59807644,61295224
DG 38:1,16488259,10752409,5178054,34927400,47314532,67833632,4448908,25178312,14227823,2156598,1523414,5221643
PC 28:2,122158152,150157984,134954128,111464912,121922888,124354112,21510370,20425072,18413364,26774420,22966738,23490892
TG 8:0_8:0_22:5,44737840,43685032,41153144,39176788,65792756,41993872,38315128,39624688,63823968,61381064,33896232,59002648
SM 32:1;2O|SM 16:1;2O/16:0,2476031488,3334072320,2949804544,2741454592,3142942720,3807637760,2632270592,2870277888,2351686656,2678865152,2928757504,2712342016
SM 32:0;2O|SM 14:0;2O/18:0,145246592,176064384,176220416,137892368,157752656,220271216,179571760,162638160,134776496,158753952,160980272,162297440
PC 28:0|PC 14:0_14:0,70396712,89026240,87089528,48469608,51847820,67820616,57019716,64193948,59031180,57193224,71299304,65672808
TG 8:0_8:0_22:3,633250176,674236416,656019264,567605568,626275264,640819328,592301888,651314048,633983488,604896768,616578048,612707904
PG 2:0_26:2,10087709,0,1499358,21297336,14632941,22808776,7018696,8523214,13478566,5252864,7546679,1944621
TG 10:0_10:0_18:2,6848710,30488488,32426488,1849982,4625040,0,26385442,19501520,20407286,34544000,31925536,31151518
SM 32:8;2O,8357717,7269790,7132830,7212398,7714127,8509965,7579891,5179018,7266888,4022208,7054068,7741454
DG 40:10,15964978,36173684,30881544,6611836,10615644,5817192,16999392,18005178,26586274,63346408,32556528,18320372
DG 40:7|DG 18:1_22:6,153592880,186763184,148416912,247715296,288691616,321452960,526863072,474004672,409565408,498805952,491414464,592495808
TG 38:0|TG 12:0_12:0_14:0,14589905,29093882,34829112,14411038,10555112,7865276,18961244,22648260,18712326,16391856,21033758,26697962
DG 40:9,10736683,20820130,19976744,5894912,6223354,4867253,12085185,13260196,16587029,33096744,14345789,8425139
DG 40:6|DG 18:1_22:5,165559776,192182192,161544848,272020384,318346816,348498176,531237984,512803968,434795584,598559488,543200128,643934656
DG 40:6|DG 18:0_22:6,14446056,17190208,14486333,17513422,29473748,26077736,42122128,38722148,31101320,49103924,42442156,55342644
SM 32:3;3O,3886597,16637083,9303108,1261447,5140079,4169284,6798664,3567914,2092964,7840186,0,0
LPE 34:9,5282434,3489668,10772821,2517114,7275312,7509468,0,0,184168,0,0,146750
DG 40:5|DG 18:1_22:4,147681152,191221264,157642048,176331968,226508736,230469360,291973280,279367872,230677696,287444192,265377680,318772288
DG 40:5|DG 18:0_22:5,39490192,37497944,37976056,43144044,54774300,49164972,89025488,80554864,61405312,80690160,79076560,91895568
LPE 34:8,5046528,3921929,3375922,3921642,3700128,4587274,1488755,409795,1636743,0,1328991,454374
DG 40:4|DG 18:0_22:4,14138957,13867569,13013461,10992031,14382862,14726139,21468732,21416044,18867178,20392518,17288046,21445828
DG 40:4|DG 20:2_20:2,88513768,210738256,237296416,61821708,52443540,34024288,214370880,160084992,153698816,285212128,254585600,235333312
DG 40:6,379496960,889887808,774937024,102303488,146626896,122518304,365988832,516473760,649437632,1712510848,733822912,339504992
LPC 30:0-SN1,1427314176,1757556864,1683896704,1537847168,1802710528,2076648832,1600937600,1672513664,1510547968,1532536064,1674001536,1652003968
DG 8:0_32:3,10911389,26452462,29166924,6941036,4982886,3253108,27901970,19843398,18463670,34017908,29501068,27058500
SM 32:0;3O,10406573,5523444,4619948,6824074,9493495,9648351,2367213,5350300,1049452,2826976,3317658,2115450
DG 40:2|DG 18:1_22:1,75857144,77171192,60996228,43133496,56750896,42365564,100810640,100241240,86554600,90083080,90593240,112636312
DG 8:0_32:2,3762471,1261501,2424633,3968863,3476792,4396948,5561198,5339586,1915211,6539218,5652370,3344826
DG 40:4,16021345,26501672,23970490,11836222,12163828,9546160,26145990,22971122,20991114,31556876,29684856,31681770
DG 8:0_32:1,47122108,100496952,142245696,27209478,21742944,18734820,38182348,86647776,121796328,152314128,194654032,164996176
DG 40:1|DG 22:0_18:1,25870018,36996668,47201496,15829746,13535315,9634884,46311980,39547856,27609552,55166904,41203168,52215432
SM 8:0;2O/26:4,17730624,51452368,57262936,12873694,7865680,6616332,39282516,36210644,33363312,70615280,47859308,53230340
DG 16:0_24:0,65265072,91484952,92518808,49942280,42701196,27289446,72707672,62823576,70266248,75174592,82810136,70489280
DG 8:0_32:0,47174880,95408632,132806504,34688860,29119640,23541666,36232196,73629584,103763184,125773904,132797240,118370000
SM 32:0;2O,18302128,43470524,47039372,3942015,4297542,2720142,36393712,22979302,13458435,62198548,46841296,57363308
SM 16:2;2O/18:1,1767652,26944600,24251624,748397,477611,0,8973223,15630105,13347775,39403800,19163668,14598985
DG 40:2,693419008,670504192,617902976,730598720,754364288,706498752,735370944,703615104,685735104,610659520,681406016,681146176
DG 40:2,59382904,10655061,80803272,67202456,54653612,29293800,84571456,41831536,26169708,74790432,105906632,86860120
LPC 30:7,2365538,2276215,2471087,3102548,3677753,3069330,3317886,4097329,3803668,3363163,3437237,2777904
SM 34:2;2O|SM 18:1;2O/16:1,453827648,553966464,526764160,339880704,487527424,559617408,333401952,353203776,358208896,369808352,361194400,423719776
PE 32:6,48436220,29216910,26362050,59828540,60663112,57005160,24301920,41096348,19533888,27718718,30120888,13516923
SM 18:1;2O/16:0,36147019776,43841298432,42921410560,38857134080,40416145408,48596574208,40358789120,41727336448,33275719680,39340814336,39054778368,38371381248
PG 4:0_26:4,5521056,9522343,11472608,3713590,1360634,2188680,8656679,10683825,8804683,13780757,9925706,12695245
PC 30:0,26968944,34818008,30237948,20601204,20483234,29882644,23637006,26985714,25875464,22738898,26743750,27060462
PG 4:0_26:1,5768990,5257436,4619678,4495172,5723870,7073414,2023251,2174867,1092692,1266209,1416510,1428881
SM 34:5;3O,48477808,77347128,54667808,17977970,59333860,59744384,58909272,62480488,53543988,54015328,50883624,59589984
LPC 32:4-SN1,73246640,79785736,85446848,59585036,55875896,69063848,41601612,33814384,39074620,45609728,41747220,45006900
DG 8:0_34:7,20250634,40493144,48400320,12789852,10084893,7688272,46105652,32762984,37160496,57553684,55092340,54256600
DG 24:2_18:5,29856910,64347380,67925760,17757688,17637000,11616682,65297240,46904432,49474864,79117360,75829416,70925592
TG 40:0|TG 10:0_14:0_16:0,32485248,28497306,42505308,20706218,15485458,20055986,36094928,20408796,40262376,10817028,29787610,42156964
LPE 36:10,1961132,1631015,1901288,2910643,2079508,3812104,782182,1086317,981063,711788,241104,280936
PE 32:0,30187994,32705022,27000392,36429376,41485768,42667540,39892712,39339944,38983408,38316780,39666084,39958112
SM 34:3;3O,7771986,6364278,16375438,7793082,10135218,9999806,10997593,10872442,12375441,16976090,18291998,13419519
TG 8:0_8:0_24:1,14400261,19871738,20227134,16934462,18840620,23816296,12081923,11392868,7776502,8322700,10588701,9688122
DG 8:0_34:5,8859016,10722657,8562859,3722586,7011672,8183160,11224085,11105626,10752602,12354347,9111379,8557931
TG 8:0_8:0_24:0,20677376,29060700,30172680,5916320,8409506,6530658,36229212,25939830,29106076,29333430,22240808,15173207
DG 8:0_34:4,5545860,10048498,13924596,3533291,1948063,2661617,2614443,8957752,12780736,15136774,20223998,12875549
SM 36:7;2O,5912299,5094512,5547180,8369210,8266646,8645519,13446601,17035696,17420296,11977100,14811785,15884606
LPC 32:0-SN1,5557443584,6656094720,6254453760,5667261440,6336072192,7660361216,6094106624,6061732352,5356298752,5808876032,5948407808,5944516608
SM 18:1;2O/18:5,28916814,94845440,90127984,24272396,15513595,9583413,64014404,60006336,44229588,124887256,89786480,88681392
SM 36:6;2O|SM 18:2;2O/18:4,16940236,57855936,41626100,7052780,3416461,4169625,30082538,23819718,32679474,60450068,53152048,55442548
TG 8:0_16:4_18:5,12076189,18737772,16778358,15031276,16482055,18709496,19489864,17368452,17193782,17805942,19437396,18974450
DG 42:2|DG 24:0_18:2,18163982,41087036,40543112,12758570,12680078,7263012,36394048,31239004,26687592,44938416,40567040,35718088
SM 36:5;2O,15350068,55505884,43200436,8694212,91149,3029469,23838734,26074462,34741192,82473000,65245588,58508404
SM 34:1;2O,62827304,155426880,153782256,45754344,23616310,27083280,72240696,100575136,28983676,256810736,169821376,188916960
SM 18:0;2O/18:4,87891896,251352464,245034064,59048160,35507992,37203676,190689856,152961024,136256304,300873024,234431184,253281808
PC 30:1,32849380,29529596,27581058,20343702,23837958,31493252,20213424,20408004,18778102,18376160,18505352,15861227
PC 8:0_24:4,3707383,4395902,4253178,1026045,2648042,2779738,727421,1514096,872738,735117,1193731,271067
DG 8:0_34:0,7311234,4846056,5690432,7358586,8758383,8508539,2896790,8699240,8144877,7455139,7445434,9636252
SM 34:0;2O,119273640,116741128,115139720,109523848,110337376,142467024,109005008,105930664,85129376,84182496,77124672,81066096
SM 36:3;2O|SM 18:2;2O/18:1,78984360,96661616,91619488,59735576,61265268,71318392,76871776,71495264,62051520,81393640,78151720,69290752
PC 32:3|PC 16:0_16:3,107063400,95340280,108344928,87249056,89810288,93228392,115312440,131750832,130186832,122748544,132761168,136454976
PC 32:3,18831238,23128476,22693268,11263416,11834525,19790806,10069884,6947936,10951963,3725394,13415858,9530397
SM 16:2;2O/20:0,63616896,76051272,61910348,48610296,53853180,66030532,23314398,24643026,18899042,20908202,26140330,24150090
SM 18:1;2O/18:1,4823628800,5718694912,5116602880,4049430272,4519201792,5536763392,4686863872,4561203200,4027098880,4732992512,5082864640,4561381376
PS 30:0,1959524,2925359,2662754,2146843,2761660,2952410,0,177528,167399,0,0,0
