"DG(28:3)",23900000,29300000,12100000,27700000,23900000,787974.1806,6953949.507,16100000,11900000,21300000,"DG(16:0_12:3)","DG"
"DG(28:5)",5368131.536,3092104.746,8277816.34,2605054.066,13800000,3792998.648,3393943.012,3516863.439,23500000,26700000,"DG(18:2_10:3)","DG"
"DG(32:4)",84700000,1.25e+08,84100000,1.01e+08,3.53e+08,1.43e+08,1.18e+08,78400000,72600000,3.32e+08,"DG(32:4e)","DG"
"DG(36:7)",2.56e+09,2.98e+09,2.15e+09,2.48e+09,2.68e+09,1.61e+09,1.24e+09,1.3e+09,1.46e+09,1.84e+09,"DG(36:7e)","DG"
"DG(38:0)",68300000,2.8e+07,26500000,57100000,4.1e+07,85700000,44800000,3.5e+07,54400000,46900000,"DG(38:0e)","DG"
"DG(40:2)",47800000,37900000,43400000,57400000,31700000,39800000,39600000,13500000,25900000,23200000,"DG(22:0_18:2)","DG"
"DG(42:3)",22900000,19900000,11500000,35700000,18500000,28800000,16500000,8170004.861,9006202.641,4487805.408,"DG(24:1_18:2)","DG"
"DG(42:6)",51100000,31800000,16400000,65400000,27100000,30300000,2.3e+07,10300000,18300000,32300000,"DG(20:0_22:6)","DG"
"DG(50:0)",43600000,33200000,16300000,11300000,4.2e+07,1.39e+08,1.24e+08,1.28e+08,1.1e+08,86200000,"DG(34:0_16:0)","DG"
"DG(50:1)",21800000,16800000,1e+07,1.4e+07,28100000,9.7e+07,84100000,91100000,76800000,47900000,"DG(50:1)","DG"
"FA(22:5)",7.73e+08,1.05e+09,1.17e+09,1.53e+09,7.6e+08,7.74e+08,8.13e+08,3.47e+08,4.04e+08,6.32e+08,"FA(22:5)","FA"
"FA(22:6)",1.1e+09,1.7e+09,1.53e+09,1.38e+09,1.18e+09,8.33e+08,7.12e+08,6.42e+08,1.02e+09,1.51e+09,"FA(22:6)","FA"
"LPA(16:0)",5378698.098,1937004.135,4591698.669,5886591.242,5311215.952,6875323.246,275539.0101,4705962.31,5709673.591,4087042.603,"LPA(16:0)","LPA"
"LPC(16:2)",4.28e+08,5.4e+08,5.52e+08,5.05e+08,4.04e+08,6.53e+08,5.33e+08,4.31e+08,4.83e+08,3.59e+08,"LPC(16:2e)","LPC"
"LPC(22:2)",8194851.826,15800000,18100000,11900000,1.5e+07,34800000,32300000,20300000,24500000,15500000,"LPC(22:2)","LPC"
"LPC(32:0)",3.46e+08,3.71e+08,3.39e+08,3.38e+08,4.32e+08,3.71e+08,3.95e+08,3.38e+08,3.53e+08,4.11e+08,"LPC(32:0)","LPC"
"LPC(34:0)",65800000,68300000,61900000,5.4e+07,1.14e+08,1.5e+08,1.64e+08,1.64e+08,1.48e+08,1.4e+08,"LPC(34:0)","LPC"
"LPE(20:2)",4654424.932,6982717.292,5584814.367,6706357.741,3576424.446,4236010.227,3007164.574,1669081.229,2931883.661,2303269.016,"LPE(20:2)","LPE"
"LPE(20:3)",10500000,15300000,16500000,13900000,11100000,10100000,12300000,9392376.62,11700000,8023162.43,"LPE(20:3)","LPE"
