"subclass","48hrs_1","12hrs_1","24hrs_1","24hrs_2","24hrs_3","24hrs_4","24hrs_5","Veh_1","Veh_2","Veh_3","Veh_4","48hrs_2","Veh_5","48hrs_3","48hrs_4","48hrs_5","12hrs_2","12hrs_3","12hrs_4","12hrs_5"
"CL(76:20)",7785256.241,9254864.846,5288797.394,3583332.244,9695894.356,9549810.906,4072788.767,5628691.836,4194330.726,11400000,10500000,1.2e+07,7718791.532,5622418.093,5439649.013,4863333.619,6812855.39,5867850.955,4024985.292,7499699.192
"CL(76:3)",5950489.587,5854251.163,6415340.51,4698945.511,6027301.223,6975452.187,5829249.162,7944782.446,5638901.458,4308867.938,5449421.408,7270722.176,5507854.492,6250671.432,7388986.839,6166241.29,4597026.813,4035221.518,9141565.698,4200684.742
"CL(76:4)",781568.097,5131195.286,1447105.704,2233245.229,3008185.522,2874590.014,2053509.715,601724.814,1178979.203,81976.2986,409881.493,947570.174,529886.865,2353354.939,1884852.592,1534982.794,2922966.753,3284889.203,6013569.33,3539147.255
"CL(76:5)",46500000,6.5e+07,50800000,5.7e+07,44300000,48900000,57300000,95100000,1.14e+08,1.04e+08,90700000,42600000,83400000,51400000,45600000,41600000,6.1e+07,64700000,75700000,57300000
"CL(76:6)",24500000,46300000,29300000,49800000,30300000,30900000,3.8e+07,54400000,55400000,60700000,53600000,22100000,69100000,32900000,30300000,24200000,36100000,38600000,56800000,45700000
"CL(76:7)",26600000,7.3e+07,47600000,49800000,45100000,76700000,36900000,83500000,87500000,59600000,86300000,40700000,69500000,34400000,24500000,32600000,56900000,4.5e+07,80400000,57500000
"CL(76:8)",4.21e+08,4.67e+08,3.66e+08,4.13e+08,4.45e+08,4.37e+08,4.57e+08,7.45e+08,7.58e+08,8.35e+08,7.02e+08,4.07e+08,6.63e+08,4.14e+08,3.84e+08,3.24e+08,3.77e+08,3.76e+08,5.12e+08,4.75e+08
"CL(76:9)",3386205.412,5369552.127,4839015.918,2740317.674,4466098.783,4341696.1,1764816.795,3061885.029,5949072.468,1772298.115,5753144.726,1972278.871,2100383.442,4113323.607,3694010.298,2235072.829,1734945.555,5760456.319,3532837.24,346989.111
"CL(78:0)",4.09e+08,5.24e+08,3.92e+08,5e+08,5.33e+08,4.43e+08,3.91e+08,5.86e+08,5.09e+08,4.79e+08,5.26e+08,3.62e+08,5.57e+08,4.02e+08,4.54e+08,4.39e+08,4.77e+08,4.49e+08,4.45e+08,5.26e+08
"CL(78:10)",9.98e+09,1.08e+10,1.07e+10,1.11e+10,1.19e+10,1.11e+10,1.19e+10,1.15e+10,1.13e+10,1.1e+10,1.15e+10,1.03e+10,9.76e+09,1.1e+10,1.23e+10,1.27e+10,8.69e+09,1.05e+10,9.9e+09,1.03e+10
"CL(78:11)",536074.88,1907694.387,3907622.857,1780204.028,2440772.76,2685145.992,2839871.9,8496883.413,9782552.048,9883057.434,5424109.076,2698728.16,6987301.371,720803.182,1333934.293,1867837.979,1810546.746,2448358.912,3376892.889,1928593.692
"CL(78:12)",83200000,1.04e+08,95500000,90900000,1.01e+08,90600000,1.15e+08,1.39e+08,1.34e+08,1.61e+08,1.52e+08,89200000,1.31e+08,1.05e+08,1.13e+08,1.18e+08,73800000,89800000,75200000,93100000
"CL(78:13)",22600000,5e+07,24200000,29100000,61100000,29200000,29500000,89200000,52300000,47300000,87700000,2.5e+07,69500000,17100000,11700000,11200000,39700000,54200000,6.6e+07,77500000
"CL(78:15)",6127611.57,794766.4389,3549530.593,3370222.99,935286.834,3938605.263,5696133.437,5602389.581,6027229.355,4862847.05,4412031.265,3428157.908,4010179.992,3654307.265,3675823.105,3033086.612,2231023.179,1878946.665,1698399.159,636465.2412
"CL(78:2)",1.6e+09,1.3e+09,1.3e+09,1.41e+09,1.72e+09,1.39e+09,1.48e+09,1.77e+09,1.35e+09,1.44e+09,1.43e+09,1.55e+09,1.44e+09,1.37e+09,1.4e+09,1.44e+09,1.43e+09,1.38e+09,1.2e+09,1.32e+09
"CL(78:3)",2.808e+09,2512400000,2829900000,3055700000,3616900000,3445500000,2856100000,3.683e+09,3.311e+09,3212900000,3060800000,2726300000,3177800000,2562900000,2608400000,2499800000,2713500000,2675400000,2680100000,3189200000
"CL(78:4)",2.86e+08,3.25e+08,2.37e+08,3.02e+08,2.87e+08,2.7e+08,2.45e+08,4.33e+08,3.54e+08,3.64e+08,3.68e+08,3.02e+08,3.69e+08,2.44e+08,2.12e+08,1.74e+08,3.58e+08,3.35e+08,3.15e+08,3.43e+08
