"","Sample270","Sample429","Sample430","Sample439","Sample191","Sample197","Sample428","Sample433","Sample464"
"DG 28:1",4363,8009,20095,124684,72.6,496364,35606,1116,363
"DG 28:2",475833,898930,806744,182228,371326,247058,146769,742050,113039
"DG 28:3",157308,324691,27746,20409,20033,1537011,1465903,334200,2894305
"DG 30:0",3115,31195,29855,1776,5136,355.2,1634397,28866,355.2
"DG 30:1",128179,170245,657678,669,18492,3523,29488958,311328,7502
"DG 30:2",153851,21655,313656,1315,780,6133,54372240,122326,1462
"DG 30:3",19898,30329,3500,321,2330,64.2,419141,14597,417
"DG 30:4",262997,416081,344650,301821,525341,178908,182866,396072,280960
"DG 32:0",1138517,4581994,3001188,863460,1555578,174491,38113,744217,1145291
"DG 32:0|DG 16:0_16:0",2257940,8954780,9434820,6186018,3949389,1819410,382251,1034216,801867
"DG 32:1",85912160,108796448,108366640,105622504,142161696,59545124,58171568,102091376,67549632
"DG 32:2",15534,35601,42278,6180,4325,865,1779136,280494,4684
"DG 32:3",365165,250955,32138,14318,33201,6190,3243381,583162,19805
"DG 32:4",391683,687227,201343,102532,71161,109004,40478,327181,33317
"DG 32:5",443799,727884,3026830,48623,57570,9845,730374,592816,53627
"DG 32:6",3948,127858,165022,80834,1346,7544,5909,606,197
"DG 34:0",170254,104867,71477,313595,1217.2,259064,1567334,44885,6086
"DG 34:0|DG 16:0_18:0",12170488,18829552,16173218,11198540,10826106,5174828,14802963,11170325,6268967
"DG 34:1",1233179,735132,262527,291923,42181,705426,23312062,749044,3618
"DG 34:1|DG 16:0_18:1",4074753,12348437,26539510,23843846,4273574,12945743,14182350,9564992,3366436
"DG 34:2",4104276,3126024,1854990,851860,479157,2147243,20403262,3559494,1477160
"DG 34:2|DG 16:0_18:2",14671990,14176496,8272370,4286638,3158184,19107846,132829224,22087218,1763302
"DG 34:3",962383,941753,645689,375684,2017297,163511,519139,993120,1845251
"DG 34:3|DG 16:0_18:3",1349757,902321,348641,4275,79042,207619,19415550,688534,2493
"DG 34:3|DG 16:1_18:2",75807,35276,103513,306,5409,23193,9706214,72067,18982
"DG 34:6",438370,707795,589396,573926,547984,387350,128470,518104,582124
"DG 34:7",321095,293290,381429,54601,20969,823101,229900,180748,15672
"DG 34:8",19283,21870,26237,42,8.4,1918,7111,84,8.4
"DG 36:0",8932044,11045575,7435129,4590170,6680129,6081156,272935,7057287,15516025
"DG 36:0|DG 18:0_18:0",6232060,12795064,8665446,8383944,6539218,3150016,11508269,6883900,6283908
"DG 36:1",137394,285598,127849,1749,5420,52.4,6072429,46181,262
"DG 36:1|DG 18:0_18:1",3940045,4645354,6911823,9690991,541506,7685282,81889336,3045606,782913
"DG 36:2",2772674,1624626,830651,36986,38130,15125,42093500,1190841,211727
"DG 36:2|DG 18:0_18:2",2842804,2168237,1142282,326937,155733,698251,243902848,9384914,109836
"DG 36:2|DG 18:1_18:1",9452218,2746534,31029932,59753952,2915342,59447052,16777464,14277550,11842331
"DG 36:3",2851127,2651022,2990182,1117998,548872,656248,14562576,3202394,1703957
"DG 36:3|DG 18:0_18:3",204900,150552,234933,5481,40761,50263,17540738,471878,11967
"DG 36:3|DG 18:1_18:2",15296198,16124588,14206863,2396590,4684300,8890300,108695984,29973828,2180604
"DG 36:4",1020720,200409,117990,59610,26782,47755,26725094,140452,61285
"DG 36:4|DG 18:1_18:3",1589542,1845940,1276574,7326,429732,617304,17479036,1825151,44674
"DG 36:4|DG 18:2_18:2",11488527,8133305,2818331,2037635,703519,8317588,135847072,9486251,59284
"DG 36:5",121163,101922,5525,103,515,15111,1243224,42966,3127
"DG 36:5|DG 18:2_18:3",1160169,973974,125954,32140,146248,445716,13989416,995439,5293
"DG 36:6",4684424,8526659,7278071,1190917,2022368,3577107,1997745,4810008,878055
"DG 36:7",1243686,2443464,1540357,625290,721146,1009448,1246786,1486211,937796
"DG 36:8",134159,63183,168644,124204,30700,165319,54176,70481,25352
"DG 38:0",920936,1081969,625270,14765,50739,2255,7090150,820747,25199
"DG 38:1",346373,198765,72207,7528,4069,1480,40507820,1434016,18260
"DG 38:2",23106,69984,75006,26234,6087,1217.4,177856,19670,446628
"DG 38:2|DG 18:1_20:1",39056,241399,891494,343976,19415,27761,2851206,206827,1220531
"DG 38:3",13694,80550,71339,7465,8616,698,580752,4862,3490
"DG 38:4|DG 18:0_20:4",872,132384,535613,128781,252919,20317,37983,209244,6868
"DG 38:4|DG 18:2_20:2",8439652,3344882,3579070,6345,54394,60196,1683955,150540,19797
"DG 38:5",786669,1557986,784,421101,945,466147,855304,6895,1271
"DG 38:6",1428638,304028,1367579,487471,1732585,2390971,923924,1808414,2039230
"DG 38:7",17839,8443,23022,293,500,58.6,1338549,8755,1297
"DG 38:8",1773527,1442325,1783695,602876,904168,1032016,2659289,1704112,464597
"DG 38:9",191893,303525,322294,238709,226631,128984,241778,58889,183320
"DG 40:0",9111,18033,32796,6619,2763,231.4,820603,1157,2545
"DG 40:1",813746,1461453,1052146,674060,728723,1673159,367874,2155001,232267
"DG 40:11",779411,8684261,4693248,2268402,1672186,3289234,1852419,6262526,4773350
"DG 40:2",106985,94229,616402,30.2,3555,30.2,30770,15018,151
"DG 40:3",258695,978406,17850,9956,14470,51701,13259293,493886,11573
"DG 40:4",59824,102116,48290,122,1378,5613,88274,3789,104
"DG 40:5",191521,310102,528283,251926,321142,14936,257966,180545,1631071
"DG 40:6",604777,1049754,493666,168203,25081,71309,418113,208334,36649
"DG 40:7",11472,4961,22019,99.6,625,99.6,458808,498,3839
"DG 40:8",148334,68943,158225,947833,6021,1360776,103006,15523,7300
"DG 40:9",201340,179467,71650,121993,8196,140347,965689,42030,1964
"DG 42:6|DG 16:0_26:6",339825,178737,674230,207954,745186,276761,43552,389710,112870
"DG 44:7|DG 18:1_26:6",66856,221646,519555,1268473,36347,2523753,90218,182953,381238
"FA 22:0",697,42542,61193,29591,11288,35994,32931,18495,10082
"FA 24:0",17247,13208,23722,13450,16231,11734,19460,17179,24962
"FA 26:0",714,39677,59166,12401,20522,20511,5797,15933,7857
"FA 26:1",3589,8055,3962,18,0.8,4,3184,1275,32
"FA 28:0",5825,33688,24325,16180,13871,11145,35131,23855,17464
"FA 28:1",108760,171048,7636,18,337,435,200631,5543,44
"FA 30:0",66271,70604,23194,25894,28654,11096,10726,15990,18611
"FA 30:2",13945,6531,5266,93,27,669,291236,45616,140
"FA 30:5",7425,21052,23233,76,65,258,10717,2757,10
"FA 32:0",1205,2333,1010,2057,7472,20826,304,18947,9975
"FA 32:1",8272,39863,4032,343,150,171,31679,4828,353
"FA 40:5",13675,3526672,3048292,3738088,706244,2942859,1284543,2444706,2662394
"FA 42:5",37582,4233116,3524874,3799308,4349328,3312374,1051889,3161785,4154196
"FA 44:5",16776,1110440,831671,1076707,1548154,654479,214487,787210,1255977
"LPC 16:0",29755,164168,237451,135699,359740,415315,361,3272280,76818
"LPC 18:0",1195133,6503430,1274245,2792644,5328420,9974309,3767525,30558694,3248020
"LPC 18:1",724530,1689130,553035,767358,404801,2036444,505909,2120486,442632
"LPC 18:2",75490,289925,116900,180582,36049,478711,29890,770176,43921
"LPC 20:3",783515,874990,567368,661732,809349,975558,297898,701780,918797
"LPC 24:0",7314,336511,17202,121269,49489,516117,34673,1335982,20543
"MG 16:0",6186606,4432708,9900489,4056456,6390795,7724388,496892,30202516,1766189
"MG 18:2",1903365,1872332,180084,220943,15942,202772,4373429,326128,97792
"MG 18:3",1133140,1320250,2431097,838593,804098,854726,623488,1998492,581477
"MG 20:3",192358,98283,41609,5177,35050,37051,2312593,161940,31544
"PC 30:1",304296,1225697,572314,126311,48444,1101316,106190,3582056,69505
"PC 32:0",779187,809613,148609,242166,335104,654165,18727266,823084,51563
"PC 32:0|PC 16:0_16:0",185168800,393910592,204633136,237733760,256109376,391136096,8567852,462874400,97084336
"PC 32:1",3012847,5327918,932112,2704682,1492224,6780416,43615,4631954,256274
"PC 32:1|PC 16:0_16:1",57585812,44539772,25363462,8264203,37598460,87961392,2348256,142072960,4662319
"PC 32:2",766769,2166411,1206681,549926,1030564,3770144,76646,17713086,486553
"PC 34:0",144360,1763473,543781,509745,551223,57705,33567,856323,285615
"PC 34:0|PC 16:0_18:0",16457255,58607020,23295766,32042764,47775252,45971660,930985,69475688,8628813
"PC 34:1",5270323,24354378,12140929,6267132,8360538,68039368,881292,146857904,6908922
"PC 34:1|PC 16:0_18:1",978446336,1713384448,1169368064,1121064704,1341714816,2172340480,59864296,2105769984,545733824
"PC 34:2",401451,4630488,2035787,643736,336408,7973124,47728,18603666,1103918
"PC 34:3",47922,3287939,567336,771556,2410929,842762,5741,29312800,461277
"PC 36:0",1718855,2403431,2365138,6289826,4031797,4067014,1052279,782974,1437642
"PC 36:1",1611336,9778362,3816749,3324644,4638936,242876,121547,5550070,1802853
"PC 36:1|PC 18:0_18:1",65018708,302804928,128845288,162679184,242379184,38096028,3896020,357746592,47811220
"PC 36:2",1399211,11509359,3512707,1673090,4627644,7896612,8804,20723352,569764
"PC 36:2|PC 18:0_18:2",61681860,358642400,134467680,91336600,246616800,524770272,16638690,1296041216,53296508
"PC 36:2|PC 18:1_18:1",56244444,100024480,58144740,53900532,70664944,151734256,2748512,163450224,26368028
"PC 36:3",16183716,54021156,22802252,18452564,26011054,70010864,4967137,125360112,13661117
"PC 36:3|PC 18:1_18:2",5434714,32528338,9208370,2970880,8455941,58988544,1806045,130932800,3471952
"PC 36:4",3375287,10264909,4668868,2003555,4243892,6632331,72711,15291928,3965658
"PC 36:4|PC 16:0_20:4",125536800,436749408,184221792,138503344,202664480,560171008,38213820,1104869760,102952432
"PC 36:5",440675,1862817,534829,437042,895965,1740609,89930,7310529,465520
"PC 36:7|PC 14:1_22:6",1210512,2526202,1250928,1114758,4083488,835403,375257,980642,526749
"PC 38:0",535538,79347,19836,22809,11138,46993,2259224,258324,3176
"PC 38:1",257652,514834,1185415,385751,315200,195373,151480,414964,79327
"PC 38:2",40406,185302,62258,182276,105391,169154,8081.2,465983,117904
"PC 38:3",4910806,15136573,3676952,5044756,13753499,24331110,2679015,45072396,2452283
"PC 38:4",4318395,9800060,4193940,2759042,4889444,8745804,79425,6083326,4271474
"PC 38:4|PC 18:0_20:4",146877888,405986784,162576848,141339280,232379376,678785216,7558508,851672640,69095392
"PC 38:5",324606,1306049,574028,187067,428023,954182,56213,2253486,464855
"PC 38:5|PC 16:0_22:5",6431374,27724104,9611072,6502658,15920514,46303372,1031535,78824336,5375780
"PC 38:5|PC 18:1_20:4",18364888,68261392,28387266,20641562,30449562,114255472,4944368,175254928,19535154
"PC 38:7",78677,643586,128484,195047,246351,459951,20667,3442461,63636
"PC 40:1",89445,279428,253803,106037,78983,126154,35970,293649,121566
"PC 40:2",50831,168783,320016,2623236,58866,3083413,13617,5819,7175
"PC 40:3",418543,757252,435531,605032,650412,1545500,7487,716736,90215
"PC 40:4",1387744,2078510,547008,1016453,1326978,3267565,47554.6,4094769,237773
"PC 40:4|PC 18:0_22:4",11000071,27885790,6254486,13677225,16985620,41696116,120759,43653512,2520226
"PC 40:5",2285130,1847718,814233,881099,1079756,4599715,158531,3863483,335521
"PC 40:5|PC 18:0_22:5",4531575,19411028,6940512,8015563,12261408,46275020,481323,51460884,2782964
"PC 40:6",722824,1510413,968732,961515,2080763,312476,154329,3735072,122626
"PC 40:6|PC 18:0_22:6",20371680,61431656,31957958,30875788,56138396,167808080,5282458,290941760,13338024
"PC 40:7",113174,1299323,81600,362791,768744,1885944,6671,3480839,141971
"PC 40:8",121008,3097246,396774,483625,317034,2965513,37574,9625561,222442
"PC 42:2",83903,491352,369306,497864,233306,358959,51377,503724,162512
"PC 42:3",70052,798784,206314,202168,42277,51291,8816,101951,24328
"PC 42:4",515889,2378114,452168,1536537,698146,542768,16569,3162689,66928
"PC 42:5",549232,759873,512089,321759,429881,919696,2809,626536,58539
"PC 42:6",144141,108445,271527,247419,78148,68892,4875808,743353,31199
"PC 42:7",438168,903570,302869,697105,1066336,1741454,33797,1659934,169000
"PC 42:8",56255,328753,210938,222574,301502,639676,8799,989787,21948
"PC 42:9",52460,283755,72325,88294,198434,336469,9993,531436,21957
"PC 44:0",120353,117758,243388,1232824,91805,1057646,38908,39720,87586
"PC 44:4",38252,46389,53724,470133,1613,147232,562069,28349,4720
"PC 44:5",151355,677862,145515,300671,247783,182347,35861,1136715,72907
"PC 44:8",102295,1338973,336906,434441,425683,700186,36798,407196,200907
"PC 46:7",32240,57602,39553,97895,84954,206323,2946,255795,15326
"PE 36:1|PE 18:0_18:1",435896,1888435,616264,375465,1752773,1802091,40356.2,3406786,201781
"PE 36:2|PE 18:1_18:1",237826,1017633,119921,131598,2130653,895522,27753,1794810,163492
"PE 38:4|PE 18:0_20:4",2190893,8561718,2673905,2257117,9296790,8517466,323780,13975556,782687
"PE 40:4|PE 18:0_22:4",926,45420,25530,21179,7930,10211,20649,39279,17049
"PE 40:5|PE 18:0_22:5",2391,31167,18860,9399,29788,33675,21237,54889,14248
"PE 40:6|PE 18:0_22:6",7461134,15355387,6026219,4601764,21903800,12349665,1261530,9194146,1972900
"PI 34:2",55707,204585,102077,66877,263460,216787,6870,1011833,23023
"PI 36:2",770,52,11625,108,19090,84979,1449,658890,1902
"PI 36:3",26304,96791,63016,25456,115906,103440,3051,365879,14993
"PI 36:4",145907,978478,320445,280987,626348,660970,67399,1240726,74017
"PI 38:3",107644,566755,305009,201658,673648,709434,9413,1408167,54228
"PI 38:4",2210330,2566470,3829516,1967614,2717315,2810602,385324,6420632,906892
"PI 38:5",223047,722875,262299,202011,678259,448400,60471,765781,33121
"PI 38:6",52932,159526,70848,75107,158645,129661,16940,377138,10459
"PI 40:6",140519,264721,241269,235024,291034,256624,37244,274158,39020
"PS 36:1",75330,1605175,536999,1271767,125945,23188,38174,240119,6549
"PS 38:4",63883,323370,117636,62556,180462,74283,40680,601050,61898
"PS 40:4",287433,507785,465978,495221,428832,415386,536037,285094,146473
"SM 32:1;2O",132770,21447,1599514,90991,1999727,2682837,39148,20336668,234733
"SM 32:1;2O|SM 18:1;2O/14:0",8532443,22196776,13367301,6142500,5598442,11883697,3037399,38076036,2457376
"SM 34:0;2O",17968944,37940456,19698256,14085544,21609526,53572584,1007719,72557936,7524394
"SM 34:0;3O",20440,100104,97889,57261,63510,228392,65842,655542,15882
"SM 34:1;2O",86846,151171,661108,41330,2982488,45686704,1507,142655616,1023764
"SM 34:1;3O",994173,1350822,5277829,1039104,6077338,1543596,353344,3365328,2162735
"SM 34:2;2O",99866,50995,954680,13875,711700,2348560,14263,34095916,72144
"SM 34:2;3O",93656,368431,914891,125226,74091,99988,22865,117185,378169
"SM 34:7;3O",15639693,14375156,15895069,12645027,15484379,11083262,3589714,8397142,7107642
"SM 36:0;2O",226682,5080362,3419009,2617974,4033619,3696235,644118,6926560,169953
"SM 36:0;3O",931082,2244668,1235411,718181,1486620,2217513,22055,2898131,236448
"SM 36:1;2O",488635,1417489,534151,268085,1608012,531470,393496,859039,605853
"SM 36:1;2O|SM 18:1;2O/18:0",97633800,165773424,128638408,95304584,152357456,228260448,8508967,219630976,50340268
"SM 36:1;3O",17237338,23211858,20750602,14369028,24338476,7357584,1160371,56074796,9199356
"SM 36:2;2O",25192,58194,132564,16166,720715,4521578,7685,13249204,275194
"SM 36:2;2O|SM 18:2;2O/18:0",24192210,53452752,35944220,22641852,27435160,99524544,12963659,74133648,17831952
"SM 36:2;3O",26193,72985,85788,810506,2864,328680,1188,8038,3389
"SM 36:3;2O",42854,46099,152267,12892,47402,176198,5044,854174,7193
"SM 36:3;3O",1678589,5556880,4114540,1367613,2167548,1525032,454938,21747330,1139288
"SM 36:7;2O",135060,323128,317004,266318,247743,86621,46642,245598,88845
"SM 38:0;2O",108531,715825,509403,259844,581585,742462,59041,5013036,82014
"SM 38:0;3O",722021,481072,311573,20319,4352,11148,2091719,548242,5004
"SM 38:1;2O",3986708,12407660,2392670,4154260,2876800,30273158,77752,38351400,3531020
"SM 38:1;2O|SM 18:1;2O/20:0",1281500,28610238,25249098,15194625,32508308,4050446,1248791,47690968,3033625
"SM 38:1;3O",1264579,1528850,883907,1183128,1902303,4010209,58071,4793550,226731
"SM 38:2;2O",6077269,17962178,11232437,5110479,12567785,21878382,1558681,27115180,4018696
"SM 38:2;3O",2728667,2863430,2560456,336103,3066182,1121473,42998,8150568,1210893
"SM 38:3;3O",2951970,3942585,3390813,2125878,4549801,6202458,77644,5780602,1393268
"SM 38:4;3O",447848,863760,187914,181884,309167,989156,70316,3085309,96140
"SM 38:6;2O",1718344,1507809,168089,68319,76830,112987,4396529,280520,7746
"SM 40:0;2O",295628,999131,1176849,366622,803159,2575551,30044,2957034,565465
"SM 40:0;3O",305706,1026674,934163,999439,982433,146573,12189,570620,117728
"SM 40:1;2O",3360700,8836043,6848620,3206768,5339808,37425576,1492553,16716317,2028168
"SM 40:1;2O|SM 18:1;2O/22:0",18937672,69319736,45536124,19456532,37256464,13595923,332995,132914816,8225299
"SM 40:2;2O",1932816,4611862,3798326,1443038,3881200,8339478,1557538,12924262,1062348
"SM 40:2;2O|SM 18:1;2O/22:1",3021726,9827903,9145852,4504359,9404690,2015875,145768,35816988,3491760
"SM 40:2;2O|SM 18:2;2O/22:0",11790119,40489536,22158098,10453207,26218302,17408710,309600,97152160,6572501
"SM 40:3;2O",2011398,4618397,4543864,1681964,3062132,7249010,36226,12207475,1673502
"SM 40:3;3O",829247,147797,122130,262802,394849,430288,1803,2362316,66321
"SM 40:4;3O",4946518,5926018,1721295,2187556,2134964,8000676,27581,8284928,544966
"SM 40:5;3O",329370,2510132,1297235,1346781,1157654,3764187,17429,4933516,79412
"SM 40:6;2O",1204848,2346909,1950558,2791222,2306759,2140054,884177,2601092,909714
"SM 40:7;2O",1288748,1434366,388296,1266573,1571746,805372,42542,1678186,395588
"SM 40:7;3O",397175,279854,481748,201480,284793,5040610,84759,5973082,116975
"SM 40:8;2O",5695,38946,8726,946498,2524,282636,846,3518,26550
"SM 42:0;2O",306584,1388866,3490200,1903232,2502744,1540038,198401,2429406,2031951
"SM 42:1;2O",305172,1911558,852544,307453,311234,2291345,63783,2982012,472371
"SM 42:1;2O|SM 18:1;2O/24:0",8549552,42178052,24327788,15168440,19458218,63313872,1001918,81161464,17965272
"SM 42:1;3O",842393,1907770,1624961,1013469,1651093,2302242,48953,3793011,410345
"SM 42:2;2O",4569340,2913147,10615984,6737932,9921758,4169170,147656,32376828,3620716
"SM 42:2;2O|SM 18:1;2O/24:1",73947296,172467216,134606896,64312264,115439152,222537488,1386312,422504544,75690656
"SM 42:2;3O",21849,116508,186600,69402,243314,1070993,1256,596245,6999
"SM 42:3;2O",4506028,11323153,55478840,4024042,57897580,10781164,1826691,33317062,21107968
"SM 42:3;2O|SM 18:1;2O/24:2",34902120,95553384,71262552,33893648,73311776,127347136,563884,237073328,27510590
"SM 42:3;3O",122974,333321,92537,592159,34101,1091514,20501,266601,3594
"SM 42:4;2O",607136,1736976,450149,368046,1270144,2618794,10965,5378152,292295
"SM 42:4;2O|SM 18:2;2O/24:2",2583094,7990703,8360834,7894710,5068211,12778830,105147,18890026,1772059
"SM 42:4;3O",443912,374989,382078,348912,305078,401728,9953,1191053,152814
"SM 42:5;2O",276360,1293911,1858714,1180773,146447,374794,7640.8,617035,38204
"SM 42:5;2O|SM 18:2;2O/24:3",106930,1019919,386143,38345,175452,1298237,4582,534154,100365
"SM 42:5;3O",996965,1333567,200627,838227,508292,2488508,6182,899609,81304
"SM 42:6;2O",42947,21094,93167,8220937,23017,3200980,27954,58142,34538
"SM 42:6;3O",3183855,3619442,1519252,2816775,2067234,1654887,70848,10637119,532647
"SM 42:9;3O",294371,511733,538574,539878,286888,557929,488828,187725,383962
"SM 44:3;3O",4821036,6062696,621763,53730,30511,155135,4911900,825762,23699
"SM 44:4;3O",124930,764046,132013,1389606,35589,164498,283933,118297,12816
"SM 44:5;2O",176234,754233,879483,495711,489020,553790,8337,397295,151884
"SM 44:5;3O",1279921,1005818,260956,637698,328298,1899545,4122,3876593,207280
"SM 44:6;2O",193329,213572,248193,278903,398119,129591,21375,70879,246970
"SM 46:4;3O",48095,135265,276259,70748,42834,282584,4996338,91069,74941
"SM 46:5;3O",779448,3337583,495247,2396856,2107375,864220,194430,2605323,1793444
"SM 46:6;3O",1951482,2846518,1181517,1022893,1749421,4062200,73548,8169195,703079
"SM 48:7;3O",620532,813177,691208,829229,371816,1171848,21400,2137468,285450
"TG 32:0|TG 8:0_12:0_12:0",88230,156754,18146850,48872,55452,46098,477126,414414,43648
"TG 34:0|TG 10:0_12:0_12:0",46297,204470,11191737,11543,63240,7329,101340,332850,2946
"TG 42:0|TG 12:0_14:0_16:0",358001,740748,13747891,329135,648044,190765,368636,389195,938300
"TG 42:2|TG 8:0_16:0_18:2",98868,5479261,204074,447777,1332017,307178,572919,87517,24868
"TG 44:0|TG 14:0_14:0_16:0",3444516,5443254,1251832,2150326,2110760,965180,2749234,3662308,2266034
"TG 44:1|TG 10:0_16:0_18:1",1519705,4770896,1865967,1238773,977790,1155053,83472,2965566,1526899
"TG 44:2|TG 8:0_18:1_18:1",468362,4312908,1506396,1758327,1237034,1364709,1727258,1341015,530404
"TG 44:3|TG 8:0_18:1_18:2",50105,511261,227278,430535,17798,94485,412215,45401,148479
"TG 46:0|TG 14:0_16:0_16:0",5435117,9545523,10326689,3855131,4756706,3801089,10633453,6916403,3477203
"TG 46:1|TG 10:0_18:0_18:1",84237,195061,222430,998239,179190,735411,40829,438628,188880
"TG 46:1|TG 14:0_16:0_16:1",2954031,8416099,1003622,1935778,2262356,3586177,7324621,8947612,3717013
"TG 48:0|TG 14:0_16:0_18:0",288879,557430,3948996,152417,1281097,365403,6494538,6650848,496423
"TG 48:0|TG 16:0_16:0_16:0",7892370,24174856,18890968,4905398,6484662,11715031,20439208,21435412,6384244
"TG 48:1|TG 14:0_16:0_18:1",7068550,24531718,19695020,3248610,6802790,17201100,30857428,37280764,13780516
"TG 48:2|TG 14:0_16:0_18:2",4455244,20244758,12956354,2625794,5216242,14788611,11834555,29736394,11157884
"TG 48:3|TG 14:0_16:1_18:2",1860070,8982247,3666526,261401,2148369,3834637,304404,9928619,2683496
"TG 48:3|TG 16:1_16:1_16:1",1689020,95999,1898506,2125898,739021,1239438,529600,358861,1089480
"TG 50:0|TG 16:0_16:0_18:0",910304,2310629,15136153,2869705,3198561,15505676,44545820,28010932,11306304
"TG 50:1|TG 16:0_16:0_18:1",57785,44004,1912539,442891,2294,720510,88021,163921,1041
"TG 50:2|TG 16:0_16:0_18:2",26138076,34056416,80244856,10688310,5485200,57887008,182911152,87254288,13816647
"TG 50:2|TG 16:0_16:1_18:1",27507540,38885124,82850616,9446695,20713392,32666052,161651328,81793040,108688280
"TG 50:3|TG 16:0_16:1_18:2",1881347,36289884,1492632,374059,903166,4164512,5829454,7337632,4814385
"TG 50:4|TG 14:0_18:2_18:2",2239350,10903882,1406391,564425,1996577,9022302,14811545,15738262,2467010
"TG 52:0|TG 16:0_18:0_18:0",861,25903,218406,2593778,145644,849481,31891,61702,178665
"TG 52:1|TG 16:0_18:0_18:1",11804761,33476178,39703620,15597220,8243996,69272336,104186920,78715968,81608904
"TG 52:1|TG 18:0_18:0_16:1",42139,557223,4623414,49295564,31267,11593266,89535,62550,6371318
"TG 52:2|TG 16:0_18:1_18:1",58137660,170399984,206312560,77146424,41088464,372882336,529313024,461975200,492961664
"TG 52:3|TG 16:0_18:1_18:2",63010104,237864368,187906672,32896470,50945780,456796224,368020960,541810432,222283056
"TG 52:4|TG 16:0_18:2_18:2",30610158,101039720,65259200,11472641,26070768,244556096,41337604,271829280,49962304
"TG 52:5|TG 16:0_18:2_18:3",4345600,25790256,4331187,1512000,7119272,22605904,63915452,31354786,3661152
"TG 52:5|TG 16:1_18:2_18:2",2845678,5258426,6914684,461663,871642,11136116,5230701,18775440,3698852
"TG 54:0|TG 18:0_18:0_18:0",1418805,376033,20372,822856,102840,979212,3943520,1774971,670443
"TG 54:1|TG 18:0_18:0_18:1",2160262,3271388,130611,2731298,139465,10556684,20582958,6601948,5533188
"TG 54:2|TG 18:0_18:0_18:2",50272,4121795,717112,822241,20872,1550677,843581,79009,313827
"TG 54:2|TG 18:0_18:1_18:1",11505280,21848968,3791503,30341400,4533252,121005616,99782320,38070188,71366496
"TG 54:3|TG 18:0_18:1_18:2",3735376,6472424,9625996,3684058,5391708,33660388,114431752,50821140,9687726
"TG 54:3|TG 18:1_18:1_18:1",28932058,46445288,145376128,162130880,9561025,394243136,223683184,78207608,280523968
"TG 54:4|TG 18:1_18:1_18:2",47991072,86819208,129327936,35841208,20327030,183235216,268328112,137723520,73503632
"TG 54:5|TG 18:1_18:2_18:2",29620444,63064696,7684086,16758561,12370572,103161808,105236384,84382344,25960476
"TG 54:6|TG 18:1_18:2_18:3",18246562,34683292,17371726,5333710,5420940,30673262,401590112,40094000,6906483
"TG 54:6|TG 18:2_18:2_18:2",17197998,36128556,732923,4608150,787382,29916348,44011652,6321142,1320816
"TG 54:7|TG 18:1_18:2_18:4",36788,195679,75992,111915,20034,56027,17177028,6675,1698
"TG 54:7|TG 18:2_18:2_18:3",3243952,8278892,2033963,233413,1409283,6375809,65615912,10042666,1134525
"TG 54:8|TG 18:2_18:3_18:3",409488,1406362,265680,38078,178863,459951,9195644,921512,93776
"TG 56:0|TG 16:0_16:0_24:0",48226,119971,255478,146089,127969,168672,32517,47540,7340
"TG 56:0|TG 16:0_18:0_22:0",13381,144977,8153,15138,175150,32586,1630.6,178910,22020
"TG 56:2|TG 18:0_18:1_20:1",553854,787883,205990,557843,184664,3410854,8418536,2779662,8260497
"TG 56:2|TG 20:0_18:1_18:1",138597,162096,129664,1756522,36678,6919276,8618895,2587590,12000193
"TG 56:3|TG 18:1_18:1_20:1",1417119,2135560,1244538,1484780,568641,7072008,23427744,7271970,51710664
"TG 56:4|TG 18:1_20:1_18:2",1875239,900025,7030543,298266,986360,6133846,14869008,4774304,10621481
"TG 56:4|TG 20:0_18:1_18:3",623183,1517493,454897,192762,197529,2099526,1663979,1680124,691318
"TG 56:5|TG 18:1_18:2_20:2",2121870,3305652,5022674,420730,1133756,6209158,16452393,4353382,3525936
"TG 56:6|TG 18:0_18:1_20:5",243171,467914,88391,12544,12067,70826,22225844,130488,888620
"TG 56:6|TG 18:1_18:1_20:4",2923058,15917606,2657553,1243710,3650840,23748012,10130890,19085856,2970953
"TG 56:7|TG 16:0_18:1_22:6",11472,7787,45118,2806678,1557.4,3070935,140802,14684,18148
"TG 56:7|TG 18:1_18:2_20:4",1576747,9282783,1987699,830511,2262058,15358452,3549329,15522973,1349276
"TG 56:8|TG 16:0_18:2_22:6",290759,2886062,888305,380432,720890,7355005,1892916,8252868,463963
"TG 56:8|TG 18:2_18:2_20:4",522901,3818412,544413,615023,884803,3501094,164836,4394992,519034
"TG 56:9|TG 18:2_18:3_20:4",197877,1201214,26906,88610,284954,572953,118876,370460,78778
"TG 58:1|TG 16:0_24:0_18:1",5761,63400,61691,24644,118168,38634,33318,299841,12682
"TG 58:10|TG 18:0_20:5_20:5",781050,943790,46672,269434,16181,134480,32725046,143326,45457
"TG 58:10|TG 18:2_18:3_22:5",1641,16913,25558,109846,198.4,10590,5030480,4874,992
"TG 58:11|TG 18:1_20:5_20:5",102461,776172,93160,104393,911,2042,20932144,1026,2717
"TG 58:2|TG 20:0_18:1_20:1",194373,322080,67634,301333,95116,899259,519317,344144,883117
"TG 58:3|TG 18:1_20:1_20:1",98847,146579,47528,57949,102289,151884,98368,350975,1238188
"TG 58:7|TG 18:1_18:2_22:4",223537,2002446,77910,109016,63609,3277168,66992,2390409,304266
