,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,C,D,D,D,D,D,D
Metabolite name,10012020_ZLY_84NEG,10012020_ZLY_98NEG,092920_284ZLY_284NEG,092920_284ZLY_329NEG,092920_284ZLY_349MEG,092920_284ZLY_374NEG,092920_284ZLY_382NEG,092920_284ZLY_417NEG,092920_284ZLY_421NEG,092920_284ZLY_424NEG,092920_284ZLY_432NEG,092920_284ZLY_437NEG,092920_284ZLY_440NEG,092920_284ZLY_441NEG,092920_284ZLY_459NEG,092920_284ZLY_463NEG,09302020_ZLY_471NEG,09302020_ZLY_473NEG2,09302020_ZLY_475NEG3,09302020_ZLY_478NEG4,09302020_ZLY_QCNEG,092920_284ZLY_QC3NEG
DG 37:7,0,0,0,686468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7990050,0
DG 36:0,0,0,7003904,0,409095,0,0,0,963632,1667110,8875508,2463390,8798144,0,2383427,0,945403,725391,545696,78275,1152266,1877921
DG 36:0,0,0,11669292,0,1573321,0,0,0,197292,901144,896493,201216,628660,0,8131,0,184601,0,7542,0,0,0
DG 38:10,17011818,20480130,1941668,172287,1088012,1949581,1319002,2464119,4273431,1709358,1149022,872357,1852830,3528793,1256962,1454874,7537712,2081550,1942553,2787470,2787122,1542346
DG 38:10,0,0,4948337,5039536,2613199,3201243,1931409,6105747,3501433,1602705,3978142,3046303,2615934,4641822,2325435,714941,4300427,1536178,4802800,2589891,4931506,2533466
DG 38:10,455485,1099236,29080376,25282108,27454440,53523232,27593100,49798136,62462040,20940672,27856760,30167650,30605348,60432648,25819492,17981140,56536556,27283464,22370364,27645244,32657338,22617710
DG 38:6,0,0,102868328,36303080,26104158,4036673,1105608,0,797526,0,0,0,0,0,0,0,0,0,0,0,0,0
DG 38:6,0,0,52426780,39691768,3476557,692315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG 38:6,0,0,111461624,66884296,11198512,778692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG 38:6,0,0,48798312,155320224,20469000,674178,515626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG 38:6,0,0,818774080,15151709,1809173,3101948,2053604,642409,0,327628,291416,0,0,0,0,433592,0,0,0,0,0,0
DG 38:6,0,0,85754112,138472528,31138506,9267224,5391822,969482,1650780,480379,11322,0,0,0,0,0,0,0,0,0,0,0
DG 38:4,0,0,0,22483014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG 38:1,0,0,471878528,4783646,107031,4989242,725196,9815,0,1180250,0,319522,0,687401,399482,0,0,339016,0,0,0,0
DG 38:1,0,0,153096672,3183276,345438,114068,0,9607,0,33018,0,0,0,0,0,0,0,0,0,0,0,0
DG 39:7,0,0,19796624,169674800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200381,1926688
DG 39:7,0,0,8821478,39229480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498653
DG 39:7,0,0,10528578,12339,0,0,0,0,0,0,0,0,0,0,0,0,35894,0,0,0,8542072,0
DG 39:1,0,0,226038,4571120,4516331,10941274,6182378,5832889,3801442,11840056,16744502,7417674,33559000,28957436,30522484,24320570,2700250,2139397,2982786,2224935,3074520,16548000
DG 40:6,0,0,544991616,6068490,536385,0,0,0,0,0,292507,0,0,0,0,0,0,0,0,0,0,0
DG 40:6,0,0,458175488,130852280,31292896,5696982,283563,91955,107728,377191,10684,10950,0,362619,0,0,0,0,0,0,0,0
DG 40:6,0,0,83191680,116612944,31872736,3949395,3544233,1202653,602579,377191,341309,350210,0,0,0,0,0,0,0,0,0,0
DG 40:6,0,0,433645696,1400270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261300,0,0,0
DG 40:6,0,0,818628096,7963446,7243766,5468680,270934,0,0,650520,0,0,487572,0,0,335868,0,0,0,0,0,0
DG 40:6,0,0,583814400,5549411,649771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG 40:6,0,0,386481792,315732,0,0,206448,1716924,196476,878734,357943,2259822,604883,10261,9347,0,0,0,0,0,0,0
DG 41:9,0,282799,0,1674843,1762488,2851648,0,0,306008,249155,0,0,977744,0,0,2157113,52954168,0,0,260251,1610797,3183597
DG 41:9,58923,233071,0,13140600,4136056,13469476,29452,235967,0,438716,0,0,1507506,0,0,1612395,9614214,0,299513,0,483559,4323660
DG 41:9,0,0,0,737983,1113473,1341927,0,0,0,31849,0,207040,1676642,0,0,157062,53930624,0,0,433671,3722690,373364
DG 40:2,8409,680790,539022,256432,324567,404000,285691,879191,2836347,1543847,2385320,2478805,432253,1200279,969409,0,0,1357563,2750231,157236,3267460,975217
DG 40:2,0,0,594257,0,0,0,0,1110601,74489,1205646,207677,0,273064,0,0,8583,121255,10402,0,12887,413202,276009
DG 40:2,4394,142159,101869,11307,538962,380556,1435934,129698,29584,55303,63059,6092,386889,356118,664572,24920,60131,109079,86761,46821,20981,43780
DG 40:2,25127,715860,1030406,223080,104598,1323142,31732,190012,100570,17763,133776,29758,11596,726227,163451,95637,26230,23281,5908,100039,567628,64346
DG 40:2,96942,1927662,35918,4614700,1495080,87458,3983734,7998059,5538858,1338811,10776145,1901298,4496232,4037662,3846082,1158948,6797583,10913113,4759758,1742663,6651938,295984
DG 40:2,889702,1070195,1638373,1016227,4177453,712903,3563567,5055466,12742262,2524752,3776274,8275512,2328658,11424023,3912560,1310978,3355806,3646712,4101659,2111312,773819,1074103
DG 40:1,18326044,24833116,295238784,45118980,14222903,10121355,31391278,14027301,14484056,8891886,5038218,7891151,7167726,5531704,24513052,15078292,9865358,9714611,12710436,8579065,5614918,8407664
DG 40:1,40610416,134583872,182244352,3858428,6329009,9838363,2115864,3296691,6920031,14242972,2149723,5020550,9244983,16833900,3516366,10450837,10895853,9199112,15545108,7779912,14047738,3766940
DG 40:1,25736602,19321408,390999616,9696826,16524896,15438455,3829713,8458634,33220364,12544849,4110358,3645261,15023226,20768176,15591071,13394983,5055864,17515922,11512899,8816907,14555146,6650479
DG 40:1,23122400,11973432,129277,1647530,2315124,629144,541754,1389107,1072992,2247898,1501200,326462,2282017,380773,491153,7221,426400,244335,815340,1181300,400037,1638315
DG 40:1,12335039,1445672,393570,708891,313552,2291362,2874099,3317304,1198335,1973918,2024598,5497038,6711757,1093249,7440457,2044320,7844490,3040827,8402140,2443613,1219944,1737488
DG 40:1,96625096,25329396,0,1728101,5123304,5285291,7429406,7585918,12180247,4620429,3113009,8867775,16819336,24679110,9698210,10241316,11098309,12633769,37770760,13600966,14175630,2676028
DG 40:1,31137624,32428372,9326021,2746519,8809205,5610023,8273296,20293158,17668304,8644221,5632690,5435234,3972048,3371896,1829389,4044218,5697563,7545103,2770657,9174225,1463244,5993743
DG 40:1,9487069,14537183,9445572,27789300,48663176,24074608,59902016,52039696,13223618,23439258,25525830,32303432,6402419,26144898,19964410,12953265,10771887,7723392,34314512,32115334,6730538,6124691
DG 40:1,1071025,2255428,17608762,4359436,58530992,5212527,8248139,12766460,14708831,33919892,29746680,13272968,15547039,11679658,30050740,10905675,12083747,11656611,12279377,11918610,11575727,36324076
DG 40:1,714891,1678450,305671,6883994,21147798,430083,15652986,18456196,29102528,22874974,26750960,6613306,20606422,33077384,16313023,2400374,17304658,14464695,27496668,35557368,22989582,20124100
DG 40:1,1060687,2975800,2027127,2494300,3043077,2523451,1190584,1246044,6927170,5747724,1390819,1120086,5272410,4892080,3507071,6782884,20999858,22040386,29595562,21623102,25359036,5703918
DG 40:1,54479536,7691229,3594548,7709929,7385156,10334875,11464532,10786373,11504942,20496974,10693977,35964524,12356314,6362657,12428767,7159723,59086364,56995412,40790460,51876172,79576216,10784418
DG 40:1,2951104,3869062,2936653,11417888,58644840,19678980,14787719,14874319,76342520,40366672,16982776,56491696,60940660,42361900,28888200,44571372,16819492,36118944,49032680,59916876,15599836,5969524
DG 40:1,2350014,2622591,1636738,25728232,12824161,28976392,26043106,10081434,10982708,9437630,9385882,8842334,9706327,7479776,8842238,6430901,5465322,5074720,5092204,4679052,4503036,8848257
DG 40:1,15254279,53940300,1195195,27789300,53130276,58496968,59902016,57107020,36885916,10670415,42328840,5593279,44781756,25239248,59739564,40643680,10982128,28849970,40790460,32115334,79576216,35367544
DG 40:1,20763024,21398854,11271362,245177,1045046,1034624,3031148,2524200,4383107,4531090,3868939,3708401,5271596,3833910,5992178,1633478,7655480,1558734,12021723,5668710,6537184,3016940
DG 40:1,8804334,2726734,6240676,6360418,11309366,969810,12069251,15540042,17964102,16779308,23868330,24035562,5118378,26870896,17666036,1360450,7974045,5309372,1457362,8209406,5283218,4478156
DG 40:1,5959065,2583536,2380679,567060,2356848,4129300,4234742,837712,947978,1229017,5839901,5191811,5194450,4380100,5267628,4062848,18236032,25304734,21252060,23064608,14195575,3856450
DG 40:1,4846754,6779596,8154347,34439704,5121384,8321980,37334524,72959256,76004560,25672832,25525830,52609040,45728816,41875072,28778866,5188849,68780288,30909204,7822702,60122384,59089920,34469084
DG 40:1,18964988,51052512,0,4323352,2305963,3559948,6027932,5660754,10942270,4256518,10133145,2916482,7108019,6263010,14511218,2523800,14389168,5490095,10112292,16579629,9605286,15923876
DG 41:7,0,0,13228168,50900420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390686
DG 41:7,0,0,3108602,11759311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG 41:1,80398024,382099008,22956274,20656690,35971072,93978568,62594588,38338316,60664468,61825168,90961864,66041744,66746264,67682640,33178488,12063374,63116684,89164568,66957392,93420896,77852232,48884384
DG 41:1,239927040,56440076,29212484,62404760,12119558,25061544,47207672,117999224,62329376,51834676,14231514,78729472,43339252,26133154,67546160,54756684,73497344,42683712,35111480,17936176,16652029,13501300
DG 41:1,387591776,291466336,12211070,49516568,41109156,47099652,51609044,72729400,16240663,85762296,25919180,53358612,50222804,76246848,43317324,22258304,138631104,65446824,156999872,20985266,21611154,75931984
DG 41:1,297784096,316647936,1180974,10356236,19650494,107634144,43947008,170458400,194931600,64644060,194471280,176681232,224199232,228276672,214821424,46555024,25415560,27242700,26150674,25605418,25660274,182184912
