,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,C,D,D,D,D,D,D
Metabolite name,10012020_ZLY_84NEG,10012020_ZLY_98NEG,092920_284ZLY_284NEG,092920_284ZLY_329NEG,092920_284ZLY_349MEG,092920_284ZLY_374NEG,092920_284ZLY_382NEG,092920_284ZLY_417NEG,092920_284ZLY_421NEG,092920_284ZLY_424NEG,092920_284ZLY_432NEG,092920_284ZLY_437NEG,092920_284ZLY_440NEG,092920_284ZLY_441NEG,092920_284ZLY_459NEG,092920_284ZLY_463NEG,09302020_ZLY_471NEG,09302020_ZLY_473NEG2,09302020_ZLY_475NEG3,09302020_ZLY_478NEG4,09302020_ZLY_QCNEG,092920_284ZLY_QC3NEG
TG 48:1|TG 14:0_16:0_18:1,297495456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351714976,651364224,559873728,365146592,405512128,0
PC 39:4|PC 15:1_24:3,0,0,0,0,72493848,17313062,44134136,41153792,22181900,6610339,1268618,756363,20448990,2332939,11610456,2849111,0,0,0,0,0,42489868
PC 39:4,0,0,0,0,848072,50622620,37999352,43269884,16502528,8270320,55272,19030954,61696524,138891312,5230748,266027088,0,0,0,0,0,34871704
TG 48:0|TG 15:0_16:0_17:0,354862784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532394560,759791808,700039936,456734016,487712096,0
PC 40:6|PC 18:0_22:6,0,0,0,0,0,118929,0,57378,0,0,572330,1774695,4826557,7983659,79664472,13748258,1508765,54584,0,0,274653,0
TG 49:2|TG 15:0_16:0_18:2,20236996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111549544,267068352,115946896,135238800,130305744,0
TG 49:2|TG 16:0_16:1_17:1,99269792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17533056,47742248,21164780,31690096,17518012,0
PC 40:5,0,0,0,0,0,0,0,1413098,49616396,21173030,132289976,7468636,7109273,0,37893892,128871632,428918,1631396,0,0,0,0
TG 49:1|TG 16:0_17:0_16:1,155362912,0,0,0,0,0,0,0,0,0,0,1122155,0,0,0,0,205163584,332744480,233286720,190226512,190335920,0
TG 49:0|TG 15:0_16:0_18:0,22387184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117702248,172987296,129894288,101866456,97314504,0
TG 49:0|TG 15:0_16:0_18:0,126089536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84448488,41101856,29380000,68643592,49315356,0
TG 50:3|TG 14:0_18:1_18:2,14983436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143195248,422696224,522619904,126957064,263272512,0
TG 50:3|TG 16:0_16:1_18:2,110685952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31711140,73844392,82067688,30301696,39881772,0
TG 50:2|TG 16:0_16:1_18:1,324485440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385758848,1297022848,1727931392,341053088,690564224,0
TG 50:1|TG 16:0_16:0_18:1,445003104,0,0,0,0,0,0,0,0,0,0,0,0,506325,0,0,447345312,1511046272,1888906112,423756128,728475584,0
TG 50:0|TG 16:0_16:0_18:0,42808080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237348032,338464352,304744160,210488672,256710880,0
TG 50:0|TG 16:0_16:0_18:0,244334704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47772192,67257464,64005608,50484828,31015492,0
TG 50:2|TG 16:0_16:0_18:2,6754628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16413777,68309472,89592400,4611184,33158002,0
TG 50:1|TG 16:0_16:0_18:1,15095867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11623014,64438276,75399232,15484318,28669088,0
TG 51:3|TG 15:0_18:1_18:2,22068280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40872744,114474048,108856560,32198048,54853588,0
TG 51:2|TG 16:0_17:1_18:1,13120520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88991112,215592592,168050032,86282856,111992896,0
PC 42:5,28352994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46429432,49751540,5310214,27060986,10759986,0
TG 51:1|TG 16:0_17:0_18:1,34893728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73691376,141108912,112784448,69345360,91380152,0
TG 51:0|TG 16:0_17:0_18:0,11864587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78551064,110991576,110686776,69453080,68594128,0
TG 52:5|TG 16:0_18:2_18:3,13739093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39442500,55035076,138352288,21378848,81217184,0
TG 52:4|TG 16:1_18:1_18:2,226986544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439466848,813115328,2187013888,224587488,828171776,0
TG 52:3|TG 16:0_18:1_18:2,641403264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984607296,2493024000,6573849600,626550912,1951494784,0
TG 52:2|TG 16:0_18:1_18:1,763082560,0,0,0,0,0,0,0,0,0,0,0,0,837347,0,0,819124224,3263301888,5249142784,698867200,1673920896,0
TG 52:4|TG 16:0_18:2_18:2,7121838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27280448,57170392,171048912,14622226,53102184,0
TG 52:1|TG 16:0_18:0_18:1,283591776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234735328,589323520,701348544,191863760,304205440,0
TG 52:3|TG 16:0_18:1_18:2,33929104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51222864,142111776,382357536,30184086,108666944,0
TG 52:0|TG 16:0_18:0_18:0,22944242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124671192,180996272,146993680,115432776,150919328,0
TG 52:0|TG 16:0_18:0_18:0,143514768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26636738,45932452,37323044,29449178,18319658,0
TG 52:2|TG 16:0_18:1_18:1,28788630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30263028,148930176,259662832,23236570,62255980,0
TG 53:3|TG 17:0_18:1_18:2,21712480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27597660,77137920,168279488,13673968,48085032,0
TG 53:2|TG 17:0_18:1_18:1,11285220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33383582,76230072,119209760,2253879,37147976,0
TG 53:1|TG 17:0_18:0_18:1,58468960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65271320,221302224,276652192,60628780,111656528,0
TG 54:6|TG 18:2_18:2_18:2,71723576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34784768,28967652,81446744,19631680,23625612,0
TG 54:6|TG 18:1_18:2_18:3,12424459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142436816,116610384,380823264,68073608,133188352,0
TG 54:6|TG 16:0_18:2_20:4,1915228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18135692,46799172,20061806,729472,58134308,0
TG 54:5|TG 16:0_18:2_20:3,8826429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30444074,106505496,67118912,10636388,113643368,0
TG 54:5|TG 18:1_18:2_18:2,199121184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457727616,453897152,2043588096,207460496,533427264,0
TG 54:4|TG 18:1_18:1_18:2,458935488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776407488,1210348288,4916330496,459519872,1107099648,0
TG 54:3|TG 18:0_18:1_18:2,577559616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646031808,1533290624,4367172608,522338784,969349888,0
TG 54:5|TG 18:1_18:2_18:2,8774111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19661286,23597254,145008016,10771977,28681626,0
PI 38:4,0,108791,20058934,14667517,23957616,50075288,96222320,3546376,6187712,35507416,28510960,25441998,5043658,1486730,7104151,5758163,0,0,0,0,0,68157752
PI 38:4,0,7695124,117279792,14667518,23957616,3953132,4961218,23380,27099,384999,95654,282748,447087,0,41727,301994,0,0,0,0,0,6447172
PI 38:4,0,72581744,12897278,198736,174742,33579,204892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239818
PI 38:4,0,0,713253,937556,3934898,50075288,96222312,3546376,6187712,35507416,28510958,25441998,42285364,8785701,49563064,63855080,0,0,0,0,0,68157752
TG 54:2|TG 18:0_18:1_18:1,183581472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191755344,482083392,1152627456,162405232,294489600,0
TG 54:1|TG 18:0_18:0_18:1,60513596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76834656,136354400,153912672,69789472,84821016,0
TG 54:3|TG 18:1_18:1_18:1,2017697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26435314,63334804,179756192,20032738,40548768,0
TG 54:3|TG 18:1_18:1_18:1,21252648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26435314,63334804,181119488,20032738,40548768,0
TG 54:0|TG 14:0_16:0_24:0,66540648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60884648,84744488,68918112,59056936,63229892,0
TG 56:7|TG 16:0_18:1_22:6,2618746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4276162,35236016,64691612,7197380,48758928,0
TG 56:6|TG 16:0_18:1_22:5,12162222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35986552,46893156,179434448,13143494,125872144,0
TG 56:5|TG 18:1_18:2_20:2,2037172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20095168,65704724,286844064,8946616,32003842,0
TG 56:4|TG 18:1_20:1_18:2,27628254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45562776,81403400,317209440,28001636,58505596,0
TG 56:3|TG 18:1_18:1_20:1,30749160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10247700,77853784,241865584,15713914,49137460,0
TG 56:2|TG 18:0_18:1_20:1,1496888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17223102,43932484,96525456,15151447,22213324,0
