"lipidName","SXY_FDUhhuang_191_pos","SXY_FDUhhuang_197_pos","SXY_FDUhhuang_221_pos","SXY_FDUhhuang_270_pos","SXY_FDUhhuang_283_pos","SXY_FDUhhuang_428_pos","SXY_FDUhhuang_429_pos","SXY_FDUhhuang_430_pos","SXY_FDUhhuang_433_pos","SXY_FDUhhuang_439_pos","SXY_FDUhhuang_444_pos","SXY_FDUhhuang_445_pos","SXY_FDUhhuang_450_pos","SXY_FDUhhuang_454_pos","SXY_FDUhhuang_461_pos","SXY_FDUhhuang_464_pos","SXY_FDUhhuang_472_pos"
"SM 40:1;3O",491731,1917639,350760,553744,2539075,6796,353987,831818,1811176,343658,248479,243782,1198410,1693149,164516,293753,446094
"SM 40:10;2O",300088,593197,112462,41310,132228,12919,327518,135324,315718,124037,36439,144885,247800,503238,248534,8884,74846
"SM 40:2;2O|SM 16:1;2O/24:1",2011540,12982719,814969,2939152,14675870,73203,11986956,1777233,35675756,5386942,747863,376711,1628722,4005354,1005763,3602182,922031
"SM 40:3;2O|SM 18:2;2O/22:1",3056375,7392340,1167278,2050736,4224018,61010,4590142,4764296,11108898,1599625,3722524,776514,1902466,8094402,1529667,1507836,1874922
"SM 40:5;2O",24515,1216448,2445,4344,7892,2757,102679,39116,473,311568,5818,529,8151,89827,1253302,3018,2187
"SM 40:6;3O",222538,9142299,166375,2402315,7238799,4764,2663587,476217,3899944,912373,997407,89075,2699201,1544268,465484,263032,170126
"SM 42:0;3O",170410,9485,330101,19460,333035,34663,358530,622593,124998,324155,14649,470170,613990,424200,126173,10559,176508
"SM 42:10;2O|SM 14:3;2O/28:7",731610,603545,71211,73183,112612,9994,202186,47610,40654,81233,14378,65676,116993,96478,63349,36341,20304
"SM 42:2;2O|SM 18:2;2O/24:0",19698534,65467036,14136265,13182162,39556148,226978,36280640,29587260,68089296,11555912,11764836,10988743,27653802,43289500,6251330,11932079,17511378
"SM 42:5;2O|SM 16:1;2O/26:4",161731,260945,264720,75644,665745,25803,285141,357428,399621,436708,147330,174697,477368,1026106,2506805,102487,310818
"SM 42:5;2O|SM 16:2;2O/26:3",379475,2645942,211719,256221,414962,70860,367479,517878,182515,1643948,56186,131023,263820,598264,1340088,248353,302884
"SM 42:7;2O",94647,130012,88076,60254,129272,8912,107147,131304,12654,205717,52231,41253,70876,46257,60763,53779,90066
"SM 42:7;3O",2125330,1900402,538049,2384688,6236838,426719,3634272,1311478,12196688,1427378,1412962,356084,3042843,3229728,1083325,688196,691166
"SM 42:8;3O",6939,715932,2901,40209,60371,4565,81757,48491,972968,39442,54161,3149,102298,109987,38194,1748,31387
"SM 44:10;3O",39283,3924,100059,17387,38417,22532,21740,25687,10220,8542,5746,86558,49147,18376,32576,136117,64765
"SM 44:2;2O|SM 18:1;2O/26:1",493535,465249,765477,185207,1276095,305660,1325121,1205860,851692,786055,353695,736547,1628944,1840773,296671,634041,818954
"SM 44:3;2O|SM 18:1;2O/26:2",661814,208712,104799,112373,1850752,14433,1878461,1654088,1399430,1280490,468185,88403,316530,2461911,668277,254071,148146
"SM 44:3;2O|SM 18:2;2O/26:1",665092,81750,584185,26527,1995442,75545,1892483,1952366,252267,1324241,394256,517369,1427860,2503192,672700,303415,1055972
"SM 44:4;2O",476524,1576354,52307,61587,659156,13201,634230,618979,1598070,815742,23837,31560,281551,1389305,108557,56590,62740
"SM 44:6;3O",407383,315230,80473,479611,488336,24307,832699,387560,3306872,308901,41632,101201,340616,1757258,233976,177649,113835
"SM 44:8;2O",8085,1957312,1938,2606,17757,6251,12634,69600,40037,2921254,37626,3402,9823,57976,1668519,8215,6477
"SM 44:9;2O",87771,150963,52867,64388,48814,143063,35732,120486,13554,2359714,250453,116417,62719,135312,1301356,202480,98835
"SM 46:10;3O",38174,16827,36420,26276,10021,35773,2043,11454,3141,14442,48537,12294,932,7425,50956,152203,38149
"SM 46:11;2O",1105,3067,540,14824,7850,72317,4276,15652,631,27446,510560,400,7978,10637,315992,3910,2411
"SM 46:7;3O",154271,256506,38575,105855,965471,88518,53897,89667,682046,81822,10454,34937,270992,497541,59439,9495,56948
"SM 46:8;3O",72400,108788,7273,46726,129061,5637,68296,40053,70490,100386,32079,4352,113487,194331,19227,6675,4795
"SM 46:9;3O",37849,18742,22950,2126,29607,2347,16155,28579,13404,42865,16029,9058,32309,38239,29631,8573,32192
"SM 48:11;2O",15623,9094,29911,47858,8876,24629,41098,27399,7704,20820,6071,35768,20450,33491,42256,91289,11638
"SM 48:5;2O|SM 18:2;2O/30:3",2628614,55149,769021,74562,1108867,184180,990875,2240419,19807,1320517,263828,380233,187948,2234076,206029,43738,811208
"SM 48:6;2O",82349,21033,39933,24915,80046,13806,44733,13573,62276,26966,27703,9718,68368,219160,63064,13038,13041
"SM 48:6;2O|SM 18:3;2O/30:3",101867,36293,394083,70895,243792,19081,110361,207849,28800,139805,10811,289446,234083,100257,52969,238667,338893
"SM 48:6;3O",41301,55230,11222,139980,503499,4191206,333508,113215,324330,114643,4208891,9080,120341,430503,1785088,18723,10475
"SM 48:8;3O",151931,66949,1103,50213,1324909,5583,167664,139714,426525,173212,82859,9692,35244,341841,46362,4895,25678
"SM 50:11;2O",193,15102,809,259354,807,1322530,67565,20777,2484,1892,7437507,NA,683,71440,1383172,312,852
"SM 50:13;2O",26472,18302,47437,43422,164458,10967,63842,59952,130890,18429,8431,22903,175782,128546,13495,145754,52984
"SM 52:12;2O",NA,NA,1265,NA,1441,2177684,4376,15204,NA,72003,5057704,753,9,6027,280770,NA,752
"SM 54:3;3O",146267,49634,196130,60167,114752,32602,62787,65123,17121,286545,9276,250373,241340,187395,92468,79466,113897
"TG 24:0|TG 8:0_8:0_8:0",497217,763396,580599,959513,578958,892261,590997,3328136,1570023,452140,1458144,380446,332869,252446,565755,545226,305230
"TG 26:0|TG 8:0_8:0_10:0",39326,15088,123007,99006,233949,2064133,121475,458661,108531,55482,1545083,28462,22416,284851,432604,24768,48579
"TG 28:0|TG 8:0_10:0_10:0",33237,19839,60714,226990,286936,888427,156963,199154,317950,13000,730902,9969,8518,414152,332043,14816,53351
"TG 28:0|TG 8:0_8:0_12:0",28773,10893,9629,35698,15894,105191,27909,1328199,47972,3540,83737,9159,30655,40732,29045,11382,6861
"TG 30:0|TG 8:0_10:0_12:0",6490,536,3904,13059,4099,33368,34894,2891512,44325,143,112521,11137,8542,23440,43647,601,450
"TG 30:0|TG 8:0_8:0_14:0",15372,10069,1976,239050,4781,188925,8926,1770980,151916,9500,407134,36373,7408,44959,134355,22977,16366
"TG 36:0|TG 10:0_12:0_14:0",14585,2574,36465,86249,719,233464,208905,1661067,21759,2266,524971,12461,14466,268389,302053,12218,5021
"TG 36:0|TG 12:0_12:0_12:0",154059,5695,200383,660749,296528,4463028,825294,26806682,732916,74220,4667826,213379,114430,1156923,1424660,67566,121461
"TG 38:0|TG 12:0_12:0_14:0",344356,50943,248988,611488,344120,4213192,1877841,27675790,753884,97859,3062166,311962,280331,1121228,593640,172490,176053
