"lipidName","Aml.12_1","Aml.12_2","Aml.12_3","Aml.12_1i.1","Aml.12_1i.2","Aml.12_1i.3","Aml.12_1.2i.1","Aml.12_1.2i.2","Aml.12_1.2i.3","Aml.12_2i.1","Aml.12_2i.2","Aml.12_2i.3"
"TG 46:1|TG 14:0_16:0_16:1",415100,495100,450500,293500,273500,296100,168300,181100,167400,305400,497200,448500
"TG 46:2|TG 14:0_14:1_18:1",279600,317900,320800,210100,184000,193200,98380,118700,101100,222000,352700,285500
"TG 48:0|TG 16:0_16:0_16:0",380400,291100,934900,350700,273600,494700,225100,230700,359500,194100,229400,216600
"TG 48:1|TG 14:0_16:0_18:1",1265000,1340000,1408000,864900,810900,888100,340000,385000,348500,821100,1286000,1133000
"TG 48:2|TG 14:0_16:1_18:1",2075000,2255000,2306000,1256000,1132000,1313000,292300,340500,306000,1432000,2307000,2038000
"TG 48:3|TG 14:1_16:1_18:1",559900,510500,697300,303700,357000,440500,76290,68540,98230,400400,730700,626800
"TG 50:0|TG 16:0_16:0_18:0",838400,560100,622200,328200,266000,363600,148300,153400,152300,138100,214800,219400
"TG 50:1|TG 16:0_16:0_18:1",1821000,1998000,2281000,1495000,1363000,1534000,641400,678200,666200,1298000,2015000,1746000
"TG 50:2|TG 14:0_18:1_18:1",11620000,13320000,13560000,7926000,7266000,7951000,1426000,1645000,1579000,8195000,13440000,12110000
"TG 50:3|TG 14:1_18:1_18:1",4806000,6411000,5961000,3716000,3128000,3715000,562200,640000,658500,4027000,6983000,5823000
"TG 50:4|TG 16:1_18:1_16:2",878900,1079000,1148000,608100,536800,624900,87080,97330,94170,618700,1175000,1002000
"TG 50:5|TG 16:1_18:1_16:3",140700,133500,129800,114200,68370,105800,18810,24100,31960,94380,150000,184000
"TG 52:0|TG 16:0_18:0_18:0",1077000,655300,421500,118200,93870,127700,65960,71830,39730,66130,82890,95020
"TG 52:1|TG 16:0_18:0_18:1",1622000,1909000,2084000,1447000,1327000,1454000,406800,436200,426100,1043000,1764000,1646000
"TG 52:2|TG 16:0_18:1_18:1",22640000,25650000,26360000,16740000,16420000,17750000,4068000,4530000,4421000,16640000,25560000,22860000
"TG 52:3|TG 16:1_18:1_18:1",34030000,39830000,40290000,29320000,27690000,30130000,5016000,5754000,5686000,25100000,42480000,36950000
