,preSens_CSF,preSens_CSF,preSens_CSF,preSens_CSF,preSens_CSF,preRes_CSF,preRes_CSF,preRes_CSF,preRes_CSF
metabolites,Sample428,Sample433,Sample464,Sample191,Sample197,Sample429,Sample430,Sample439,Sample270
Hydroxyphenylacetic acid,N/A,22619.53152,N/A,9293.786218,11163.38287,9716.192724,61889.32643,N/A,N/A
"2,3-dihydroxybenzoic acid",13431.42326,17009.32333,6226.478933,17308.34934,42842.04369,10394.34758,21358.09524,63713.22172,16078.04714
orotate,34728.29063,19737.07051,52117.92424,46794.03883,N/A,12210.26966,60744.15867,26402.06566,36072.12888
dihydroorotate,7576.528982,N/A,N/A,N/A,N/A,9047.157037,32174.91857,15723.15523,9293.936373
allantoin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aminoadipic acid,N/A,18210.33798,N/A,16544.52849,10880.84823,24147.24949,12731.30363,N/A,12415.9753
Indole-3-carboxylic acid,21725.27271,11367.62341,11460.37093,14852.79273,N/A,19216.98207,24202.62999,8310.978025,10932.78887
phenylpyruvate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Atrolactic acid,14028.3298,N/A,9204.386239,N/A,N/A,N/A,19900.84156,8455.151605,12379.22631
Phenyllactic acid,N/A,N/A,N/A,N/A,N/A,10111.40175,9632.14139,8831.214872,N/A
quinolinate,N/A,N/A,N/A,10601.29165,N/A,16907.19149,8829.302033,14668.52248,N/A
phosphoenolpyruvate,8836.206001,N/A,12047.49539,N/A,11245.1365,N/A,N/A,9965.702247,N/A
Uric acid,648965.0528,940697.6845,505305.3283,650309.4202,378260.7008,454298.0611,957396.0052,356635.0504,998764.5418
dihydroxy-acetone-phosphate,8006.869055,N/A,N/A,N/A,N/A,N/A,N/A,7627.6666,N/A
D-glyceraldehdye-3-phosphate,N/A,N/A,N/A,N/A,N/A,11245.1365,11200.96176,9646.180797,N/A
sn-glycerol-3-phosphate,419014.3616,99293.34609,69611.67417,52888.98414,136604.193,115577.3409,90863.47487,91429.72916,101891.7085
shikimate,584598.7986,552724.4087,663292.6462,536762.4973,505629.0895,781732.3654,832493.6898,31917.51269,118099.8839
aconitate,273250.7244,164886.9802,115374.403,114520.5194,175765.2995,122354.6441,158210.5127,195458.2455,201618.9326
allantoate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ascorbic acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Isopropylmalic acid,92394.74386,65791.99968,82516.11913,235029.6245,25324.7198,38556.26722,28692.52685,239954.9707,215367.4692
N-carbamoyl-L-aspartate-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pyrophosphate,21417.65111,24266.82554,46154.61913,10774.97435,13814.57258,14968.68672,95267.7589,21354.01499,20865.59603
glucono-?-lactone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
myo-inositol,3344139.83,1574373.052,462569.0577,888121.4025,806713.0444,903088.9088,2466191.126,2028881.782,1214577.01
hydroxyphenylpyruvate,10418.65577,N/A,N/A,N/A,N/A,11242.66082,16857.32255,N/A,N/A
homocysteic acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4-Pyridoxic acid,127975.1607,145627.9863,271424.4727,56882.26214,58609.17637,117564.6346,142739.3941,1078847.408,171186.4074
3-phosphoglycerate,N/A,11660.69622,N/A,N/A,N/A,11694.22609,N/A,N/A,20027.8581
Indoleacrylic acid,N/A,N/A,N/A,10938.39415,N/A,10624.04274,10622.8617,N/A,N/A
Kynurenic acid,N/A,13707.14374,6633.791456,N/A,20398.3881,N/A,6799.754268,9308.132586,9327.758917
citrate-isocitrate,7570154.314,10449409.14,7846702.706,6762144.761,6182302.382,7348104.737,10225220.77,9468314.515,12325927.32
isocitrate,18642.1225,162488.8933,258533.8459,167689.8963,25646.7328,11464.87799,12567.04092,162869.5575,145870.7494
citrate,2407784.977,3484455.499,2933761.625,2465111.223,2205452.774,1730067.637,3022610.993,2961899.022,2947234.482
2-dehydro-D-gluconate,13357.25161,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D-gluconate,262612.4824,100196.6373,49963.74941,42005.5013,54767.75968,121171.6875,213865.8549,155476.4531,111636.6165
D-erythrose-4-phosphate,N/A,N/A,N/A,N/A,N/A,7389.783004,N/A,N/A,N/A
Xanthurenic acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lipoate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D-glucarate,7468.41648,11938.35292,N/A,N/A,N/A,9616.156677,23956.56376,21685.5,12549.30267
deoxyribose-phosphate,6132.453167,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pantothenate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
prephenate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deoxyuridine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ribose-phosphate,9960.07166,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
thymidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uridine,242703.772,202176.1452,123765.9165,320770.6433,143842.331,119728.9796,126347.1839,161964.2824,180675.0968
deoxyinosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13633.4105,N/A
shikimate-3-phosphate,8581.869933,12580.26527,N/A,N/A,8835.628942,31649.50324,N/A,11242.72663,9636.249883
D-glucono-?-lactone-6-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hexose-phosphate,21022.73288,N/A,N/A,N/A,N/A,N/A,15419.57234,15950.70411,N/A
glucose-1-phosphate,31943.92837,24718.67443,16099.32126,41882.75885,14787.26261,14579.17669,36267.2483,24160.93149,21871.3596
glucose-6-phosphate,44653.71743,47889.65305,21353.63781,92656.50503,83786.20068,141668.5774,71627.96491,44606.86691,41266.61642
fructose-6-phosphate,11302.38008,N/A,7230.346825,N/A,N/A,9941.169592,12639.71646,19205.85836,N/A
"1,3-diphopshateglycerate",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2,3-Diphosphoglyceric acid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S-ribosyl-L-homocysteine-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
inosine,240591.5949,208207.2565,108485.3804,111210.1984,118436.348,166667.1187,189376.0272,203254.7624,190716.9799
6-phospho-D-gluconate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xanthosine,19972.83902,21095.9371,13585.89309,9027.261118,12730.69013,15104.60958,28710.58871,16503.27849,N/A
D-sedoheptulose-1-7-phosphate,N/A,N/A,N/A,N/A,N/A,8835.634865,N/A,28694.85195,N/A
N-acetyl-glucosamine-1-phosphate,15260.84873,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
glutathione-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dUMP-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Geranyl-PP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
O8P-O1P,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dTMP-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cyclic-AMP,N/A,N/A,N/A,N/A,N/A,N/A,8280.099898,10334.74145,N/A
"fructose-1,6-bisphosphate",N/A,N/A,11015.69146,N/A,N/A,N/A,28863.30252,12047.5,N/A
trehalose-sucrose,9713.54998,339759.4553,36513.29837,16378.67994,236930.5068,449482.739,819795.4213,244060.1947,82971.24225
Cellobiose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
orotidine-5-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"trans, trans-farnesyl diphosphate",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
