Metabolite.name,Sample191,Sample197,Sample428,Sample433,Sample464,Sample270,Sample429,Sample430,Sample439
SM 32:1;3O,179650,267244,44121,94496,174636,182392,228540,253835,198903
SM 34:1;2O|SM 18:1;2O/16:0,215820032,530326176,46018248,682430976,67947024,172201120,394706592,190911344,142647184
SM 34:2;2O|SM 18:2;2O/16:0,13558885,28741892,5785622,70168640,5723096,12576361,39244612,18520966,11795950
SM 34:4;3O,25579,3810,9513,20391,14824,30369,18066,52806,12725
SM 34:5;3O,139498,108198,101796,69407,68990,357055,191244,280555,105819
SM 36:4;3O,40533,13661,39376,39737,67954,73289,134084,121292,54068
SM 36:6;2O,2100,119,769165,10148,2658,50085,12502,7273,2579
SM 36:7;3O,1700756,173212,189609,214711,191744,614491,443470,587354,465475
SM 36:8;3O,80550,20053,100384,47083,50607,102820,54595,70995,171378
SM 38:2;2O|SM 18:2;2O/20:0,12391623,5033232,1557216,27373436,3690206,5327994,16267531,10843321,5455860
SM 38:4;2O|SM 18:1;2O/20:3,1200780,117353,54495,1000957,3562478,2620118,1027819,3223342,1861536
SM 38:6;3O,66627,349520,8297,509901,14754,38702,43859,86022,36142
SM 38:7;2O,4784,19807,386114,321188,5525,70288,37212,50109,13836
SM 38:8;3O,106117,134166,46052,189198,49241,115987,145742,116763,184117
SM 40:1;3O,491731,1917639,6796,1811176,293753,553744,353987,831818,343658
SM 40:10;2O,300088,593197,12919,315718,8884,41310,327518,135324,124037
SM 40:2;2O|SM 16:1;2O/24:1,2011540,12982719,73203,35675756,3602182,2939152,11986956,1777233,5386942
SM 40:3;2O|SM 18:2;2O/22:1,3056375,7392340,61010,11108898,1507836,2050736,4590142,4764296,1599625
SM 40:5;2O,24515,1216448,2757,473,3018,4344,102679,39116,311568
SM 40:6;3O,222538,9142299,4764,3899944,263032,2402315,2663587,476217,912373
SM 42:0;3O,170410,9485,34663,124998,10559,19460,358530,622593,324155
SM 42:10;2O|SM 14:3;2O/28:7,731610,603545,9994,40654,36341,73183,202186,47610,81233
SM 42:2;2O|SM 18:2;2O/24:0,19698534,65467036,226978,68089296,11932079,13182162,36280640,29587260,11555912
SM 42:5;2O|SM 16:1;2O/26:4,161731,260945,25803,399621,102487,75644,285141,357428,436708
SM 42:5;2O|SM 16:2;2O/26:3,379475,2645942,70860,182515,248353,256221,367479,517878,1643948
SM 42:7;2O,94647,130012,8912,12654,53779,60254,107147,131304,205717
SM 42:7;3O,2125330,1900402,426719,12196688,688196,2384688,3634272,1311478,1427378
