"","Sample430","Sample433","Sample439","Sample464","Sample191","Sample197","Sample270","Sample428","Sample429"
"P78423",9138276.67,4238515,20199431.6,7614275.893,16271603.65,5058523.627,23253706.19,17768100.88,20641500.32
"P23497",66016.06243,25035.19922,988190.5415,104440.9287,5007.039844,5007.039844,5007.039844,5007.039844,56968.8052
"P16519",220763.0614,11510.652534,466818.2478,57553.26267,162361.2094,104314.3562,191429.5351,367955.5736,207541.3889
"Q9BXJ3",545118.4076,200981.7813,884026.6493,428379.5847,2118888.338,556077.5133,742545.4277,1074365.024,1450439.864
"O15143",32704.18862,6540.837724,336287.2422,6540.837724,6540.837724,6540.837724,6540.837724,6540.837724,6540.837724
"P02818",114319.6283,22863.92566,145629.6411,163358.624,22863.92566,139953.0287,330078.1009,306546.3658,484137.7338
"P46926",158363.6448,143203.1719,381322.5322,219107.8209,28640.63438,161956.4226,28640.63438,331432.6134,297750.3165
"O76061",311572.6144,317562.1563,226762.047,353123.9022,428750.1627,532875.999,398177.8698,527869.5178,622989.7772
"Q7Z553",181316.1798,28108.06774,273052.3433,140540.3387,184104.3807,153540.0396,183659.0307,437066.2502,216144.8383
"Q6UXK5",560079.8667,226835.0469,478191.2864,403166.918,702579.1122,356572.7719,711602.7718,314017.4344,571880.4984
"O75781",72625.07304,2417.436108,74561.12387,2417.436108,57943.16691,12087.18054,86197.47541,58437.49065,96484.33302
"Q93091",871690.5461,412264.0938,1193367.644,748206.3622,1911617.513,562933.5405,1688559.603,1032738.515,1657843.416
"P20916",486902.8722,394225.2813,809923.4676,370072.1836,782082.4463,747645.6516,1184569.054,74014.43672,1018552.308
"Q9UHL4",777011.0671,315671.0938,1837863.545,722896.846,661683.7685,207444.2609,750475.9367,1145317.626,1480269.014
"Q92484",251479.4892,161962.6094,403142.2226,262391.1337,361904.5174,219513.5296,571147.6468,419210.8042,357629.7659
"Q07654",481864.926,59284.02734,702032.5309,360120.8082,665211.2703,31711.58084,264115.9721,510749.1738,193341.4219
"Q86YD3",541696.7821,166303.8125,633392.8107,343976.2723,546202.2729,287033.8751,569346.2972,460483.99,613056.7491
"O75084",433975.4931,120788.5234,672868.1169,440042.4581,908785.5059,113795.9601,416209.0441,1310383.948,604971.0245
"P22794",179149.6293,85820.99219,325031.053,119870.4925,709180.2146,209238.2972,341155.0297,691410.7206,573434.621
"O14514",269340.1549,57162.80078,337217.756,172903.6692,390353.7217,56418.22498,226452.7061,487703.7143,348439.6112
"Q504Y3",86750.16572,14508.728114,14508.728114,72543.64057,14508.728114,14508.728114,82515.23172,14508.728114,14508.728114
"Q6ISS4",2661273.956,598111.375,2173516.339,1989778.908,2338553.07,1049517.568,2141800.848,1019031.671,2237689.816
"P06703",536251.2384,2272342.25,1955609.865,893979.9935,855661.0851,1190314.07,555476.9628,821160.7015,895105.7282
"Q8IWT1",286681.4424,100987.4688,379751.4721,20197.49376,225556.9195,118577.4711,210284.5018,302432.9638,224522.9331
"Q9P232",839400.3787,86089.58036,900844.8242,430447.9018,849882.9585,526187.6884,980146.0714,1527547.163,712631.402
"Q96GP6",3126879.961,8485441,4348379.433,17493199.77,18241015.65,6936311.527,9698463.981,3916982.286,14496420.87
"Q5VV63",117857.3866,26829.19336,162004.5647,5365.838672,126084.8286,5365.838672,108465.9867,108625.8976,5365.838672
"Q9UKU6",287012.7905,380188.4063,469178.2104,121669.9731,224842.2853,286278.575,290856.9672,508601.538,402714.3257
"Q9BYX2",23672135.67,21869778,13567168.45,12588483.26,10978902.79,12842536.17,12127443.92,7809867.084,9818435.54
"Q9BX67",1488990.026,461371.1875,2282928.719,1050142.501,2335176.823,1051920.673,2146912.938,2506286.277,2262408.472
"P52803",1012694.318,455990.0938,1456425.642,1312795.761,2275903.409,701892.7778,1804292.78,4480871.678,3551284.228
"Q641Q3",328280.507,269457.4063,273718.7911,289505.1152,194708.2305,444308.6053,463889.7844,822681.5113,483765.459
"P46531",188216.6626,133971.125,451644.2485,207171.5897,297175.9864,26794.225,373364.671,376812.9951,291170.6755
"Q9Y2E5",169333.9029,96977.26563,435559.6928,273285.362,330230.7681,225976.0159,490796.4059,471744.2718,350942.0371
"Q01469",2228091.66,758794.5625,3749676.402,763779.9301,743300.048,1701086.866,743979.9859,1002920.89,818914.7526
"Q8TE73",807379.767,455747.6094,1479152.223,1931094.365,976318.1703,425222.2785,1913985.004,1861219.265,1339455.616
"Q96P47",116199.7964,22820.14022,193596.2667,114100.7011,206917.927,22820.14022,158873.6309,260044.2542,244961.2388
"Q8WUJ3",352118.1374,38901.39766,443329.1579,38901.39766,271842.7787,194506.9883,38901.39766,321558.9839,350839.0335
"P04062",94459.94158,47512.27344,187081.0379,131594.9872,52044.03674,62330.75687,158053.2046,9502.454688,9502.454688
"Q13510",526601.0669,2447925,58695.40308,58695.40308,58695.40308,1492791.306,58695.40308,58695.40308,293477.0154
"P17600",1233285.014,1251158.375,801570.9261,1299484.145,4619520.299,1810794.729,1689951.478,1194279.749,3350746.078
"Q99623",361948.0524,101283.1406,380618.4487,225594.853,324444.4069,151715.6798,277462.5978,455972.5658,573963.4899
"Q6UXZ4",216333.5754,29986.86719,210897.1458,149606.1529,310476.4894,5997.373438,195877.3455,329772.0987,509198.4893
"Q8NFY4",137312.04666,137312.04666,1917738.85,137312.04666,895851.9758,137312.04666,739660.7402,914044.237,686560.2333
"O15232",20868.0804,20868.0804,349727.35,20868.0804,119219.3151,20868.0804,140047.0128,248862.1361,104340.402
"Q16851",6518.89375,32594.46875,614189.9113,6518.89375,37676.32857,6518.89375,37321.51424,43134.76688,6518.89375
"Q9BXX0",191665.4732,174200.6719,326259.7574,249573,225349.5562,220088.7536,236421.5894,68430.97972,178995.6476
"Q6PJF5",612026.8237,45825.48047,9165.096094,82723.70349,490009.0752,100643.8241,359715.4847,263410.701,321430.9946
"Q15166",8894977.717,16391984,2925744.01,7209019.441,5473561.48,14864026.31,5694505.321,2919628.359,8415695.669
"O95461",119825.5039,71749.26563,344699.9639,173154.2605,286034.6321,14349.853126,398500.9247,342158.9594,380849.0716
"A6NML5",112001675.4,11940926,7427067.662,3145035.69,9854150.469,28920760.33,30793084.33,9947767.638,34929289.45
