"subclass","D0_1","D0_2","D0_3","D10_1","D10_2","D10_3","D2_1","D2_2","D2_3","D4_1","D4_2","D4_3","D6_1","D6_2","D6_3","D8_1","D8_2","D8_3"
"Cer(26:1)",24242161.137,31200000,3.5e+07,136700000,132800000,117600000,45500000,38500000,41700000,106600000,80600000,67600000,91700000,100800000,76100000,115900000,114200000,115500000
"Cer(26:3)",NA,NA,NA,3502305.133,3645636.186,3332051.11,440039.099,NA,199440.221,1549366.377,611852.289,NA,896064.089,1559994.446,194098.128,1480534.786,2073596.965,1544155.715
"Cer(d12:0)",12500000,16100000,18700000,16700000,18400000,17900000,1.1e+07,9192562.853,16500000,13600000,12900000,18400000,14600000,14500000,13300000,26500000,29600000,20600000
"Cer(d16:0)",12400000,22800000,23300000,23700000,25600000,25500000,1.6e+07,14300000,19200000,19900000,19300000,21700000,19400000,20600000,19200000,29400000,29500000,23200000
"Cer(d16:1)",11100000,10500000,15300000,174447303.467,1.99e+08,183600000,63848579.527,59997943.665,61500664.282,100845807.997,77256542.049,76981961.642,119298767.457,124037564.538,115055154.851,1.58e+08,146800000,128206156.002
"Cer(d18:0)",82604805.175,79160221.869,105494139.045,8.3e+08,903100000,881200000,192612615.244,265100000,207873809.095,489500000,280300000,231349537.827,481100000,528800000,484200000,703900000,665300000,571600000
"Cer(d18:1)",1364452546.717,1952202569.549,1830624810.804,12553100000,1.3839e+10,12997400000,4037800000,3849700000,3848100000,8082600000,5390300000,4075128725.134,8107800000,8672100000,7744200000,11287800000,10641600000,9913400000
"Cer(d18:2)",145519792.745,184463138.955,179561218.54,1633473183.788,1813065197.471,1823527847.774,671281517.155,549432030.457,566901727.956,1065967495.435,771145926.203,593263455.029,1006791560.189,1296818058.686,937615355.72,1557904449.745,1523918862.906,1427340403.647
"Cer(d20:0)",14100003.834,101205226.868,50038269.579,97264745.029,1.08e+08,1.16e+08,88064753.867,109730880.351,108500000,112583790.02,88170667.542,107399725.374,102992772.928,160331706.854,124497755.252,146435464.036,157746042.8,148474295.113
"Cer(d20:2)",NA,2748944.563,2867702.25,8550418.73,4350177.685,4815628.956,2979615.159,12300000,12700000,1471491.779,4210599.958,858337.784,6900914.523,6652109.609,7769845.437,6075946.503,6859730.322,6665663.675
"Cer(d22:0)",1019017.227,26300000,26300000,9013787.352,10900000,28200000,18500000,2.1e+07,21100000,21200000,21500000,4738156.151,17700000,32400000,28900000,16800000,31500000,30900000
"Cer(d22:1)",280170.4824,7111924.557,4290965.565,14100000,15600000,16400000,7371908.648,5641572.722,7222943.388,9921006.523,11100000,15900000,9869229.61,12200000,9882633.144,13700000,12700000,9390709
"Cer(m18:0)",NA,2450015.0648,2271973.3108,11602185.199,14906731.033,10826504.728,1905422.329,3586124.603,3610979.896,20318852.647,9964173.225,7711546.411,8234881.032,13657347.757,9603459.766,6436176.964,7987284.277,7054863.163
"Cer(t16:0)",5095404.744,8501158.632,6252559.966,76622764.723,79545636.186,76432051.11,23790049.084,20598544.069,26702022.3,38893591.732,31467386.556,31199114.846,49791215.566,50092953.208,44649109.205,61680534.786,66373596.965,62356879.592
"Cer(t18:0)",831429086.278,1137106791.132,1039588083.523,7444600000,8086900000,7702500000,2501900000,2308800000,2407300000,4781200000,3335900000,2301700000,4760700000,5376700000,4344100000,6804500000,6503500000,5.894e+09
"Cer(t18:1)",167009168.9933,247054071.257,179992169.1358,1422747120.077,1761601068.954,1563424269.897,604603350.467,525099782.05,537393421.492,999988613.476,739102570.999,596872629.16,931729766.702,1226369120.344,838241190.398,1442727220.37,1420030031.152,1260802879.457
"Cer(t20:0)",2779499.441,7092651.203,7260408.038,12566911.206,4627876.539,NA,7548283.666,36697493.86,41800000,7349020.33,4537471.045,1542960.297,29911590.956,13776099.845,21137225.064,12069534.887,7892642.225,16346943.955
