"lipidName","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8","QC-1","QC-2","QC-3","QC-4","QC-5"
"TG(4:0/10:0/18:2)",7686121,8851007,1.8e+07,1.9e+07,2.8e+07,3.1e+07,1.3e+07,3.8e+07,1.8e+07,1.7e+07,6967658,1.7e+07,6015705,5790888,5984143,1e+07,1.3e+07,1.8e+07,1.7e+07,1.7e+07,1.2e+07
"TG(34:0)",2e+07,1e+07,6.4e+07,3.5e+07,3.7e+07,1e+08,3.1e+07,7.6e+07,7e+07,8.8e+07,1.1e+07,1.1e+08,1.6e+07,6944271,6966853,2.8e+07,4.4e+07,4.4e+07,3.8e+07,4.4e+07,4.4e+07
"TG(10:0/12:0/12:1)",2.8e+07,2.1e+07,9.9e+07,6.7e+07,7.8e+07,1.8e+08,3.7e+07,1.6e+08,1.4e+08,1.6e+08,2.1e+07,1.4e+08,2.5e+07,1.6e+07,1.7e+07,3.7e+07,6.7e+07,7e+07,6.3e+07,6.9e+07,6.3e+07
"TG(4:0/12:0/18:1)",1.5e+08,1.7e+08,1.5e+08,2e+08,2.3e+08,1.5e+08,1.7e+08,1.7e+08,2.3e+08,2.1e+08,1.1e+08,2.5e+08,1.6e+08,1.8e+08,9e+07,1.6e+08,1.4e+08,2.2e+08,1.2e+08,1.3e+08,2.2e+08
"TG(4:0/15:0/16:0)",1.8e+07,3.1e+07,2.8e+07,2.4e+07,2.5e+07,2.6e+07,1.5e+07,4.9e+07,3.1e+07,3.2e+07,3e+07,4.8e+07,4.2e+07,2.3e+07,2.8e+07,2.7e+07,4.3e+07,3.1e+07,4.3e+07,2e+07,2.4e+07
"TG(4:0/15:0/16:1)",1.8e+07,2.1e+07,2.3e+07,1.8e+07,2.9e+07,6.8e+07,4.7e+07,2.5e+07,2.8e+07,2.2e+07,1.4e+07,2.7e+07,4.5e+07,1.9e+07,4.6e+07,5.7e+07,2.2e+07,2.1e+07,2e+07,6e+07,2.1e+07
"TG(16:0/10:0/10:0)",4.8e+07,2.8e+07,1.7e+08,9.4e+07,1e+08,2.5e+08,7.3e+07,2.1e+08,1.9e+08,2.1e+08,3.1e+07,2.4e+08,3.8e+07,2e+07,1.9e+07,6.8e+07,1.1e+08,1e+08,1e+08,1e+08,1.2e+08
"TG(6:0/12:0/18:1)",2.4e+07,4509108,1.8e+07,9179518,1.3e+07,3.4e+07,6189359,2.3e+07,3.2e+07,4.3e+07,1.4e+07,2.9e+07,4658180,2921888,3153418,8600242,1.5e+07,1.4e+07,1.2e+07,1.3e+07,5.8e+07
"TG(10:0/12:0/14:1)",9.9e+08,1.2e+09,9.8e+08,8.1e+08,1.5e+09,1e+09,7.6e+08,1.2e+09,1.1e+09,8.6e+08,8.2e+08,1.1e+09,8.9e+08,8.3e+08,6.6e+08,1.3e+09,1e+09,9.7e+08,9.9e+08,1.1e+09,1e+09
"TG(6:0/12:0/18:2)",1.2e+09,1.4e+09,1.8e+09,1.7e+09,1.7e+09,1.9e+09,9.6e+08,2.3e+09,1.2e+09,1.3e+09,1.8e+09,1.3e+09,1.7e+09,1.5e+09,1.1e+09,2.3e+09,1.3e+09,1.3e+09,1.2e+09,1.3e+09,1.9e+09
