"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1500017E21Rik",62.0208890552917,5.90137595523172e-07,0.00144269453708259,0.376601332234075,0.999944505954311
"1500026H17Rik",33.8656559445985,-2.15002778374697e-07,0.00144269370997436,0.821993380457139,0.999944505954311
"1520401A03Rik",7.26622857622806,7.9757393799189e-07,0.00144269458887516,0.224410406227032,0.999944505954311
"1600002H07Rik",347.279021763958,6.0001007103024e-07,0.00144268731258551,0.803330022027428,0.999944505954311
"1600002K03Rik",339.504183331053,1.86802870221548e-06,0.0014426889043264,0.336384512044423,0.999944505954311
"1600010M07Rik",15.0956339419214,5.96557035636152e-07,0.00144269418032532,0.474571468543339,0.999944505954311
"1600012H06Rik",615.145677720167,-2.79349336128348e-06,0.00144269138866409,0.144998104916539,0.999944505954311
"1600012P17Rik",1.05099507832604,2.66652754914711e-07,0.00144269503059432,0.267675966568935,NA
"1600014C10Rik",4214.42654681675,-3.53089810720382e-06,0.00144269271253133,0.0543632433228214,0.999944505954311
"1600014C23Rik",0.727232342807797,-3.75122938330171e-07,0.00144269501165567,0.305662025291029,NA
"1600015I10Rik",5.69314613557401,5.09782150787473e-08,0.00144269419198557,0.828103755259892,0.999944505954311
"1600017P15Rik",3.03848358086295,2.51979098989571e-07,0.00144269471654335,0.612250942169319,0.999944505954311
"1600020E01Rik",390.901683234952,4.86461796439036e-06,0.00144269269046333,0.43817717038648,0.999944505954311
"1600023N17Rik",9.38864860944267,2.6665761055698e-06,0.00144269427138599,0.0324549315223885,0.999944505954311
"1600029O15Rik",3.01722595011183,3.60767915225101e-07,0.0014426942455027,0.639274279481783,0.999944505954311
"1700001C19Rik",6.33752258904838,1.23164226424651e-06,0.00144269459615643,0.113919825265393,0.999944505954311
"1700001G11Rik",14.9608210845076,-1.18862456242837e-06,0.00144269252359651,0.384584911020784,0.999944505954311
"1700001G17Rik",15.4684049860322,7.49746959834252e-07,0.00144269310006164,0.586386797085546,0.999944505954311
"1700001J03Rik",14.8421163536672,2.67992355541604e-06,0.00144269485673079,0.0135220189674389,0.991407407186014
"1700001K19Rik",15.8887952764667,9.99618676570098e-08,0.00144269216960945,0.935933635225418,0.999944505954311
"1700001L05Rik",20.2457529077815,1.2903635366859e-06,0.00144268953413739,0.524463958686645,0.999944505954311
"1700001L19Rik",0.468003667346438,-2.88267309833553e-07,0.00144269500644072,0.461508290822148,NA
"1700001O22Rik",57.0385281997808,-7.96204610463777e-08,0.001442689758385,0.479895013757353,0.999944505954311
"1700001P01Rik",1.52593954249563,3.49909781906383e-07,0.00144269470035618,0.570797113227083,NA
"1700003E16Rik",13.0096324029561,5.03911220565151e-07,0.00144269427880976,0.515987542161949,0.999944505954311
"1700003F12Rik",52.3664411274961,-4.83560100649641e-07,0.00144269271623355,0.708483045518725,0.999944505954311
"1700003G13Rik",1.21720540708836,2.69496511209376e-07,0.00144269503278289,0.242019649017016,NA
"1700003G18Rik",0.626169424378793,3.73226135032587e-08,0.00144269490760576,0.895350692649792,NA
"1700003M07Rik",0.262748769581509,2.29343620850658e-07,0.00144269500136697,0.586839259705372,NA
"1700003N22Rik",0.680116660661405,1.26507104918802e-07,0.0014426947911718,0.723189044956,NA
"1700006J14Rik",10.688660425852,6.39356886085955e-07,0.00144269383806603,0.510245368473578,0.999944505954311
"1700007B14Rik",0.350331692775345,2.72374010711317e-07,0.00144269501058912,0.525410233639118,NA
"1700007G11Rik",0.928207454935669,-1.41724706117801e-07,0.00144269488361033,0.608828468082035,NA
"1700007J10Rik",4.41857720075542,4.63461733910867e-07,0.0014426941898393,0.567912068591389,0.999944505954311
