"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Apcs ",-3.2141540625,14.9703007421875,-7.78020369187552,4.79690607236596e-07,2.44329367990292e-05,6.53521187573254
"Hmmr ",-2.411136484375,5.03134693359375,-7.68627913883901,5.65810765706546e-07,2.82062685968178e-05,6.37041595448952
"Susd4 ",3.34211509375,7.17483494921875,7.66936729577265,5.82957488059807e-07,2.84556123859193e-05,6.34061159570956
"Rdh16 ",2.0219179375,11.5189353984375,7.65617580487004,5.96707809250118e-07,2.85323754504699e-05,6.3173358339725
"Acaa1b ",2.532720015625,10.057784296875,7.48258400942589,8.12706414663011e-07,3.80834225911087e-05,6.00875722439735
"Fabp4 ",-3.504463953125,10.5967644492187,-7.40896311997013,9.27606903698547e-07,4.26153524581509e-05,5.87660288153891
"Rgs16 ",-4.70820990625,11.7266870976562,-7.36199489414353,1.00964326526468e-06,4.39767618810775e-05,5.7918910490893
"Abcb6 ",2.123956421875,5.9921196796875,7.36112951572844,1.01122375911289e-06,4.39767618810775e-05,5.79032732259948
"Sgk2 ",2.410066546875,7.041932953125,7.35985895602028,1.01354892939743e-06,4.39767618810775e-05,5.78803124706398
"Prom1 ",-3.643174171875,7.2568461640625,-7.34516580623267,1.04084591452824e-06,4.41374861447081e-05,5.76146209745247
"Gnmt ",2.58250171875,16.6354766796875,7.33774127964071,1.05492924630971e-06,4.41374861447081e-05,5.74802493236952
"Cd163 ",2.544123625,5.9908633828125,7.26181667057581,1.21087018800633e-06,4.97731377280498e-05,5.61016549074329
"Hist1h2ad ",-2.84456596875,11.4532362265625,-7.22293770461806,1.29983540108304e-06,5.25088680127167e-05,5.53925492750302
"Vcam1 ",-2.025955265625,8.449788734375,-7.2025568162627,1.34916401805338e-06,5.35778185474419e-05,5.50199699012211
"Pter ",-2.30718,10.8515868046875,-7.18297249043847,1.39840154003762e-06,5.40177896762262e-05,5.46613972732748
"Csad ",3.8181975625,10.8812100507813,7.17987717200839,1.40635303894571e-06,5.40177896762262e-05,5.46046747950775
"Tmem86a ",-3.582557125,8.78139594140625,-7.14466288797953,1.50019785142304e-06,5.66929607400675e-05,5.39584075613692
"Pecr ",2.10257815625,10.7052223515625,7.10075129186806,1.62642432402554e-06,6.04874950982833e-05,5.31500596251277
"Gm5724 ",2.10587515625,4.41712091015625,7.07304869558762,1.71169604120438e-06,6.24474144926043e-05,5.26386888732344
"Mpv17l ",3.407322234375,7.261391796875,7.06249249766633,1.74540096229793e-06,6.24474144926043e-05,5.24435424608239
"Rspo3 ",1.79765696875,6.61140480859375,7.04454290890721,1.80430566030053e-06,6.24474144926043e-05,5.21113559840868
"Fkbp11 ",-2.899961171875,9.37735854296875,-7.0439997030792,1.80612017521695e-06,6.24474144926043e-05,5.21012959531032
"Fbxo36 ",2.555324828125,6.6502009296875,7.03882152208597,1.82351281718153e-06,6.24474144926043e-05,5.20053763899555
"Ido2 ",2.4568155625,7.67466605859375,7.0273059818041,1.86281867169493e-06,6.24474144926043e-05,5.17919286627781
"Apoc2 ",-2.36233890625,18.288216875,-7.00634285248705,1.9366492931698e-06,6.24474144926043e-05,5.14028815991508
"Dmxl2 ",2.270165875,8.1699475078125,7.0016893825693,1.95344717610354e-06,6.24474144926043e-05,5.13164351085812
"Cdk1 ",-2.879702625,4.44049178515625,-6.99887339205532,1.96368569866057e-06,6.24474144926043e-05,5.12641081725329
"Ndrg4 ",2.365093578125,4.47373044921875,6.99252111618473,1.98698698882215e-06,6.24474144926043e-05,5.11460284846142
"Dcxr ",2.09913184375,10.9428033125,6.98514373993794,2.01440965207366e-06,6.24474144926043e-05,5.10088219250124
"Lrtm1 ",2.95841515625,5.07528473828125,6.97987057387014,2.03425155685637e-06,6.24474144926043e-05,5.09107028354749
"Rnd1 ",2.371486078125,6.65532501171875,6.97703183322301,2.04501719722135e-06,6.24474144926043e-05,5.0857865390837
