"","Count (COLD1)","Count (COLD2)","Count (COLD3)","Count (COLD4)","Count (RT1)","Count (RT2)","Count (RT3)","Count (RT4)","Count (RT5)"
"Clec2d",95.6326665158094,14.019788089465,24.4971098310984,4072.67151207431,41.6815824280274,81.1138975500995,4124.43111491978,4384.24297766722,6719.79978204709
"Ormdl1",93.1805468615579,86.6222621241946,45.4946325434685,363.414409403973,91.6994813416603,11.5876996500142,180.738310539579,229.310942025545,647.150219479257
"Cetn2",111.980130877486,44.5628978557995,51.3272777413491,1093.55703741621,67.7325714455445,30.4177115812873,471.975398612835,1025.06546931949,1128.76871412216
"Gm15191",521.484113137491,557.787283273716,269.468208142083,216.502201347048,298.023314360396,156.433945275192,184.164629222794,113.896163257721,44.9300395984381
"Stx3",98.9021593881448,42.0593642683951,17.4979355936417,546.778518708106,47.9338197922315,23.1753993000284,245.83836552066,332.576796712546,334.21643490768
"Mtf1",565.622266914018,401.066080702196,479.443435265784,565.556770865758,482.464316604417,362.115614062944,426.576676060239,484.438347722841,617.985106055709
"Trnau1ap",970.22200986552,1116.57597998239,1442.99642195566,966.527684585035,1221.2703651412,1542.61251590814,994.488997803087,1047.84470197104,686.562534916483
"8030462N17Rik",274.637401276171,124.175265935262,89.822736047361,205.456170666076,117.750470359177,37.6600238625462,241.555467166641,103.265854687001,311.357291954088
"Med19",357.192096302639,305.431097663345,341.793008595802,738.979452557016,423.068061644478,363.564076519196,489.106992028909,861.054994228372,757.504702703491
"Ldlrad3",282.811133457009,210.296821341975,209.975227123701,681.540093015962,182.35692312262,263.620167037823,352.910824371121,10.6303085707206,507.630622831475
"Mrgpre",267.281042313416,250.854065457928,318.46242780428,39.7657104514986,451.203129783396,153.537020362688,169.602774819131,132.119549378957,163.166985910117
"Fcgr4",301.610717472937,210.296821341975,18.6644646332179,157.958238737897,128.170865966184,30.4177115812873,229.56335177539,129.082318358751,72.5186604044965
"Armcx4",272.185281621919,226.319436301364,243.804569271408,556.71994632098,154.221854983701,128.913158606408,167.03303580672,324.983719162031,431.958977192001
"2810006K23Rik",335.940392632459,296.91908346617,342.959537635378,595.381053704382,296.981274799695,378.048701081714,508.808324457394,511.773426904694,498.959913435286
"Setdb2",111.162757659402,30.0424030488536,50.160748701773,235.2804535047,34.3873055031226,8.69077473751067,123.347472595732,252.09017467709,397.276139607242
"Endod1",708.66258007869,585.826859452646,367.456647466477,484.920746894663,499.136949575628,519.998021794388,871.998104878159,438.879882419752,681.833057064016
"Vwa3a",308.967076435692,198.780566839915,95.6553812452416,372.251233948751,140.675340694592,152.088557906437,227.850192433782,411.544803237899,241.203370475825
"Hdac2",391.52177146216,310.438164838154,382.621524980966,1946.31060598724,365.75588580594,357.770226694189,940.524478542455,1369.79119011286,1879.9674463557
"Fam178a",347.383617685633,280.3957617893,330.127718200041,708.050566650294,521.019780350342,230.305530544033,361.476621079158,417.619265278311,1455.89093225114
"Exosc9",147.944552473175,173.244524248389,254.303330627593,632.937558019686,184.441002244021,208.578593700256,298.946305110489,461.659115071297,632.173539613111
"C2cd5",564.804893695934,474.169261454406,501.60748701773,437.422814966485,658.569002362833,346.182527044175,420.580618364613,777.53114117271,748.833993307301
"Cdk20",239.490352898566,291.912016291361,452.613267355533,210.979186006562,503.305107818431,1157.32150254517,328.070013917814,287.018331409458,186.814375172453
"Mad2l1",116.066996967905,112.659011433201,148.149188026167,399.86631065118,263.636008857273,88.3562098313584,193.587005601635,601.371742000768,422.500021487067
"Zfp367",168.378882925271,112.659011433201,145.816129947015,685.958505288351,238.627059400457,111.531609131387,193.587005601635,560.369123227988,763.810673173447
"Polr3g",99.7195326062286,41.5586575509142,33.8293421477074,334.694729633447,16.672632971211,18.8300119312731,155.040920415468,238.422635086163,323.969232894001
"Itga1",513.310380956652,241.841344543272,208.808698084125,1426.04256091346,255.299692371668,289.692491250355,811.180948251097,282.462484879149,1071.22673358381
"Col6a5",230.499247499643,125.677386087704,69.991742374567,19.8828552257493,159.432052787205,0,117.351414900106,206.531709374001,208.097025508555
"Shroom3",224.777634973056,302.927564075941,305.630608368943,154.644429533606,354.293450638233,420.054112313015,178.168571527168,121.489240808236,93.8013107405987
"Itih4",269.733161967668,176.248764553275,123.652078195068,188.887124644618,559.575244096268,99.9439094813726,209.862019346905,1342.45611093101,81.1893698006863
"Cfap97",102.989025478564,86.6222621241946,22.1640517519462,378.878852357334,58.3542153992383,60.8354231625747,277.531813340397,438.879882419752,699.96272216514
"Gm45515",172.465749015691,109.654771128316,152.815304184471,4.41841227238873,229.248703354151,7.24231228125889,21.4144917700923,28.853694691956,161.590493292628
"Mir5125",209.247543829463,318.950179035329,261.30250486505,75.1130086306085,436.614575933587,285.3471038816,166.176456135916,19.7420016313383,128.484148325358
"Rgs7bp",86.6415611168872,115.162545020606,64.1590971766864,257.372514866644,21.8828307747144,205.681668787752,196.156744614046,115.414778767824,226.226690609679
"Nrgn",123.42335593066,134.69010700236,316.129369725128,199.93315532559,432.446417690784,467.853373369324,153.327761073861,467.733577111709,204.155793964833
"Wrn",330.218780105872,252.856892327851,249.637214469289,525.791060414259,327.200422060015,168.021644925206,373.46873647041,542.145737106753,1048.36759063022
"Lmod1",244.394592207069,324.9586596451,365.123589387325,191.096330780813,334.49469898492,940.052134107404,391.456909557288,127.563702848648,148.190306043971
"Snai2",131.597088111498,112.659011433201,48.9942196621969,188.887124644618,51.0599384743335,50.6961859688122,142.192225353413,215.643402434619,212.826503361022
"Suz12",85.8241878988033,16.5233216768695,46.6611615830447,1526.56144011031,37.5134241852247,97.0469845688691,370.042417787195,886.871457900123,558.86663289987
"Socs5",636.733736887312,445.128271840515,519.105422611372,850.544362434831,476.212079240213,354.873301781685,599.605769562585,490.512809763253,923.824673848586
"Vav3",103.806398696648,28.03957617893,23.3305807915223,323.648698952475,50.0178989136329,11.5876996500142,161.893557781898,229.310942025545,342.098897995125
"Prkar2a",797.756260849829,660.93286707478,930.890173581741,1661.32301441816,584.584193553084,831.41744988852,919.109986772363,850.424685657652,1046.79109801273
"Rab19",214.151783137966,174.746644400832,183.14505921345,13.2552368171662,369.924044048743,66.6292729875818,57.3908379438474,255.127405697296,162.378739601373
"Ptk7",197.80431877629,234.831450498539,345.292595714531,145.807604988828,279.266602267783,283.898641425348,146.475123707431,57.7073893839121,117.448700002935
"Gm6745",179.004734760361,244.344878130676,416.450867128674,121.50633749069,623.139657299009,409.914875119253,130.200109962161,60.744620404118,201.791055038599
