"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cttn",2770.1198470665,-0.032917988699213,0.420314757189518,-0.0783174707434088,0.937575520503228,0.99994115597459
"Abca5",107.857673293462,0.0882520432473744,1.12720111181638,0.0782930768274031,0.937594924451151,0.99994115597459
"Mir143",0.51072428000127,0.222837351298495,2.84796750010921,0.078244344884536,0.937633688001373,NA
"Fsip1",1.22903188161188,0.184204361836412,2.35467926192485,0.0782290670389787,0.937645840708241,NA
"Fam57b",1527.58472695852,0.0513294985718971,0.656445736053977,0.0781930565661813,0.937674485165754,0.99994115597459
"Mrpl48-ps",6.65910042483128,-0.12788567646086,1.63587989731757,-0.0781754679365888,0.937688476034792,0.99994115597459
"AC155839.1",1.08265136303584,-0.112544459653617,1.43988726562137,-0.0781619938871049,0.937699193975588,NA
"Gm24574",1.08265136303584,-0.112544459653617,1.43988726562137,-0.0781619938871049,0.937699193975588,NA
"Gm4978",1.08265136303584,-0.112544459653617,1.43988726562137,-0.0781619938871049,0.937699193975588,NA
"Gm9095",1.08265136303584,-0.112544459653617,1.43988726562137,-0.0781619938871049,0.937699193975588,NA
"Gm9097",1.08265136303584,-0.112544459653617,1.43988726562137,-0.0781619938871049,0.937699193975588,NA
"Mir7578",1.08265136303584,-0.112544459653617,1.43988726562137,-0.0781619938871049,0.937699193975588,NA
"Tubd1",169.730889073049,0.0485822320785857,0.622301977328108,0.0780685806064389,0.937773499936368,0.99994115597459
"Mir5125",211.219724696472,0.060899968617234,0.780391537775504,0.0780377101356437,0.937798056092699,0.99994115597459
"Gm37850",2.24318106961706,0.243985227578706,3.12731135676156,0.0780175683662535,0.937814078051863,NA
"Gm38372",5.38238431324576,0.177705104091904,2.2790632646336,0.0779728701916807,0.937849633723515,0.99994115597459
"CT025619.4",2.03751169648934,0.21386353933085,2.74579538502445,0.077887646143358,0.937917426505969,NA
"Gm11424",1.20021331457364,0.160969178305895,2.06722915959821,0.0778671186784058,0.93793375546154,NA
"Gnb3",3.08338095479926,0.175667222609745,2.25605196336217,0.0778648831953098,0.937935533719917,0.99994115597459
"Atad5",50.4344209259525,-0.0992103045346882,1.27427770148429,-0.0778561097154308,0.937942512757604,0.99994115597459
"Zfp146",655.056559402463,-0.03583150032369,0.460239063972508,-0.0778541048089528,0.937944107600691,0.99994115597459
"6330549D23Rik",9.61386004290414,-0.125627341237591,1.61426050006361,-0.0778234623424415,0.937968482796513,0.99994115597459
"Rnf114",2647.46615340875,0.041829978967117,0.537507363387603,0.0778221505720154,0.937969526273243,0.99994115597459
"Ubl4a",1033.83108180463,-0.0324841611203643,0.417576608881185,-0.0777920995321056,0.937993431065205,0.99994115597459
"4930430F08Rik",106.693951388762,0.0621954324735778,0.79982772826852,0.0777610356272837,0.938018141622633,0.99994115597459
"Mir1934",2.05449664095067,-0.0893676215478877,1.14941095779196,-0.0777508000441937,0.938026283785423,NA
"Sap130",1364.54433368562,0.0293895127429464,0.378148210453994,0.0777195605597661,0.938051134091996,0.99994115597459
"Tlk2",737.899184123378,0.0608718418665436,0.783667309606978,0.0776756170894405,0.938086090235471,0.99994115597459
"Gm44396",0.689513804173197,-0.252782227133871,3.25479549188906,-0.077664549973663,0.938094893921451,NA
"Vopp1",333.705583107708,0.052860481455102,0.681453916053222,0.0775701484867152,0.938169988866367,0.99994115597459
"Lck",3082.198823233,-0.0855358591093956,1.10270825001077,-0.0775688937745408,0.938170986974494,0.99994115597459
"Cabin1",3392.79494873398,-0.0494784929761243,0.638280274070752,-0.0775184428943197,0.938211120110646,0.99994115597459
"3300002I08Rik",19.8260203846112,-0.0554197218102181,0.715355773503662,-0.0774715517270295,0.938248421673934,0.99994115597459
"Ccdc9",1069.76127964332,-0.0402369215186525,0.519430391289735,-0.0774635489054559,0.938254787870544,0.99994115597459
