,,,,,OA,OA,OA,DGAT1i,DGAT1i,DGAT1i,DGAT1+2i,DGAT1+2i,DGAT1+2i,DGAT2i,DGAT2i,DGAT2i
ID,RT,m/z,Type,Metabolite name,Aml 12_1,Aml 12_2,Aml 12_3,Aml 12_1i-1,Aml 12_1i-2,Aml 12_1i-3,Aml 12_1-2i-1,Aml 12_1-2i-2,Aml 12_1-2i-3,Aml 12_2i-1,Aml 12_2i-2,Aml 12_2i-3
121,19.11763,838.6222,[M+H]+,PC 40:4,27910,28810,29730,21830,19760,25060,59530,61920,63660,20290,24510,2004
122,19.43195,838.6215,[M+H]+,PC 40:4,76750,95090,71690,73130,64240,66880,52840,55340,59840,9921,59820,73810
123,20.01527,838.6341,[M+H]+,PC 40:4,223800,193000,225900,122900,82900,84860,106600,103700,143300,152800,158700,176500
124,17.93385,836.6082,[M+H]+,PC 40:5,195000,215400,215200,228800,147200,195800,351300,379200,391600,145000,202800,195200
125,18.70282,836.6132,[M+H]+,PC 40:5,505400,583500,523800,492700,364000,518200,325200,352100,320600,397100,461200,483800
126,16.7054,834.6028,[M+H]+,PC 40:6,592400,618300,584800,495900,501000,498900,690100,808400,783300,424900,591400,520700
127,16.16527,832.5821,[M+H]+,PC 40:7,1199000,1270000,1020000,1006000,832700,995800,1319000,1383000,1444000,995100,952400,1025000
128,24.21392,872.7114,[M+H]+,PC 42:1,36720,42780,39440,48990,33600,30980,63110,62060,56990,21060,35450,27700
129,23.36662,870.6873,[M+H]+,PC 42:2,37250,49170,42170,32850,29440,24660,49540,57530,58910,23040,40270,33290
130,19.57445,864.6399,[M+H]+,PC 42:5,55400,53350,36960,77330,41910,52310,40320,31530,45310,35300,41920,51060
131,24.09908,898.7219,[M+H]+,PC 44:2,4716,4707,1109,5706,7828,2984,21170,18490,15840,1133,7679,2163
132,18.80315,1016.806,[M+H]+,PC 53:6,43710,11090,9682,10360,1999,7261,11370,1194,366.4,12910,6872,8929
133,17.50587,692.5558,[M+H]+,PC O-30:0,436100,457200,391000,563900,407500,464700,472000,451500,532300,330900,366100,401300
134,15.51312,704.5718,[M+H]+,PC O-31:1,15120000,15160000,11220000,16670000,10110000,12310000,7736000,6662000,8359000,9969000,10380000,14590000
135,19.64578,720.59,[M+H]+,PC O-32:0,1742000,1809000,1332000,2312000,1438000,1605000,1956000,1812000,2197000,1180000,1322000,1573000
136,17.5627,718.5701,[M+H]+,PC O-32:1,343300,373000,280100,403300,295500,276700,346400,297900,403800,248300,312400,314500
137,17.91935,718.5734,[M+H]+,PC O-32:1,2109000,1085000,1854000,1637000,2218000,2420000,2062000,2063000,2358000,1498000,1682000,842200
138,18.57532,732.5911,[M+H]+,PC O-33:1,369100,556300,432400,507000,479100,407900,455300,482500,458200,316200,426100,341500
139,21.86152,748.6183,[M+H]+,PC O-34:0,329600,356500,280500,539200,289000,368300,465800,353400,466800,241600,273700,319200
140,19.64578,746.6037,[M+H]+,PC O-34:1,7333000,8302000,6729000,9049000,7010000,7109000,6800000,6912000,7476000,5339000,6628000,6479000
141,17.96252,744.5858,[M+H]+,PC O-34:2,899800,1075000,810300,1140000,954300,908700,1135000,1141000,1265000,754300,981400,948000
142,19.43195,744.5898,[M+H]+,PC O-34:2,1309000,1484000,896100,2345000,1872000,1912000,1411000,1424000,1658000,1009000,1206000,769700
143,17.86202,742.5736,[M+H]+,PC O-34:3,606100,266800,243300,349500,212100,219900,315800,172700,173800,62390,200500,251000
144,15.78228,740.5619,[M+H]+,PC O-34:4,66060,70020,72110,82830,83290,80060,78470,96230,109700,58050,74630,68380
145,20.0011,758.6087,[M+H]+,PC O-35:2,158000,185700,141100,181700,161200,175200,144800,161200,175700,126100,145900,139700
146,16.76223,754.5796,[M+H]+,PC O-35:4,145000,84100,50650,134900,116500,133100,100300,114000,83640,112700,61640,89970
147,18.32,752.5555,[M+H]+,PC O-35:5,613200,378100,609900,366000,258600,221600,316500,319600,339800,270900,584200,644600
148,23.20895,776.6523,[M+H]+,PC O-36:0,36200,25400,25330,47720,27420,40410,31880,36590,46710,22610,23640,9584
149,21.94752,774.6331,[M+H]+,PC O-36:1,257800,264200,220000,307800,255500,267600,321800,287400,319100,209800,100200,246900
150,21.60487,772.6175,[M+H]+,PC O-36:2,5449000,6464000,5039000,7524000,5736000,6251000,5026000,4923000,5370000,4016000,5157000,4945000
151,18.19217,770.6014,[M+H]+,PC O-36:3,395400,617300,333000,381500,351000,391500,407900,345800,432500,405300,372700,342200
152,19.46045,770.6105,[M+H]+,PC O-36:3,392000,361800,444600,415000,304700,347100,347000,457900,366400,287400,318500,335100
