,,,,,OA,OA,OA,OADGAT1i_2i,OADGAT1i_2i,OADGAT1i_2i,OADGAT1i,OADGAT1i,OADGAT1i,OADGAT2i,OADGAT2i,OADGAT2i
ID,RT,m/z,Type,Metabolite name,cos7_1,cos7_2,cos7_3,cos_1-2i-1,cos_1-2i-2,cos_1-2i-3,cos7_1i-1,cos7_1i-2,cos7_1i-3,cos7_2i-1,cos7_2i-2,cos7_2i-3
157,22.06218,800.6594,[M+H]+,PC O-38:2,5489,203900,180300,63100,102000,55250,84420,176900,119400,57660,2263,8908
158,20.02943,796.6115,[M+H]+,PC O-38:4,184400,203800,207900,147900,129000,148000,135100,203000,131100,137600,140300,179200
159,17.86202,794.6059,[M+H]+,PC O-38:5,1225000,1651000,1347000,1132000,952100,1220000,897300,1326000,1095000,974700,935100,1300000
160,17.53437,792.5906,[M+H]+,PC O-38:6,1329000,1639000,1062000,1159000,1125000,1058000,892300,1342000,927800,870600,831200,1256000
161,16.96273,790.5777,[M+H]+,PC O-38:7,727500,942400,738700,433200,433300,457200,367500,593300,462400,498600,472900,810500
162,22.93647,826.6708,[M+H]+,PC O-40:3,48210,40410,19150,62810,18820,4812,57570,3448,24530,2009,104000,2544
163,21.80418,822.6238,[M+H]+,PC O-40:5,N/A,30110,1524,2298,1157,501.6,3085,42480,1760,1967,2268,652.6
164,17.94818,820.614,[M+H]+,PC O-40:6,72250,53200,66400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83690
165,19.44612,820.6187,[M+H]+,PC O-40:6,156100,11110,180700,197000,17720,2616,141800,353700,200200,8264,142300,163700
166,17.31955,818.6022,[M+H]+,PC O-40:7,326400,197700,205200,119600,131200,147900,242400,302500,279700,259300,220500,370900
167,17.03438,816.5906,[M+H]+,PC O-40:8,223100,309000,267500,173700,163200,191600,133000,226000,183500,176400,157300,267000
168,17.27688,840.5867,[M+H]+,PC O-42:10,838.5,1280,3103,1429,857.6,815.9,1648,864.4,460.7,697.5,2678,1453
169,23.29495,854.6869,[M+H]+,PC O-42:3,133500,76100,75810,83880,30560,63060,212300,80740,58230,96870,392300,74560
170,22.19133,850.6704,[M+H]+,PC O-42:5,50380,85470,59900,39760,51940,59120,52840,95900,60170,11700,35110,39830
171,17.07738,842.6204,[M+H]+,PC O-42:9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
172,17.00573,690.5047,[M+H]+,PE 32:1,57190,53970,46990,33030,39640,50670,28780,71250,51970,43080,53680,67130
173,18.76015,718.5354,[M+H]+,PE 34:1|PE 16:0_18:1,695800,55710,879300,15120,575000,610500,608800,847300,534500,517400,670700,741400
174,19.84477,732.5445,[M+H]+,PE 35:1,1695000,2315000,1823000,1849000,1690000,1888000,1605000,2231000,1624000,1303000,1355000,1988000
175,17.86202,730.5414,[M+H]+,PE 35:2,51870,55710,8648,14880,33270,67820,52310,87300,59340,21610,49270,33320
176,20.90955,746.5707,[M+H]+,PE 36:1|PE 18:0_18:1,1385000,1964000,1932000,1014000,1120000,1157000,1229000,1790000,1040000,1032000,1498000,1534000
177,18.86048,744.5546,[M+H]+,PE 36:2|PE 18:1_18:1,3621000,5183000,4437000,2647000,2577000,2625000,2420000,3542000,2569000,2722000,3467000,4128000
178,17.30522,742.5385,[M+H]+,PE 36:3,68630,123200,91390,62260,51180,61440,40110,48990,36640,31770,78630,57500
179,16.93407,740.5217,[M+H]+,PE 36:4,457100,21570,530100,378800,368100,398400,328800,476000,358300,3007,328300,473900
180,20.79623,772.5847,[M+H]+,PE 38:2,176300,255600,246900,154800,170900,155200,150900,259900,144800,145100,180500,186500
181,20.48407,770.5714,[M+H]+,PE 38:3,170800,158200,229300,176400,128800,133800,115300,165000,127900,141800,144200,146600
182,19.00297,768.5522,[M+H]+,PE 38:4|PE 18:0_20:4,2226000,2985000,2636000,1706000,1603000,1668000,1580000,2374000,1549000,1713000,1877000,2699000
183,17.02005,766.5393,[M+H]+,PE 38:5,1383000,1692000,1473000,1219000,1234000,1411000,1087000,1805000,1306000,1048000,937600,1310000
184,16.44892,764.5201,[M+H]+,PE 38:6,106100,120400,99130,82550,81270,79430,77310,105400,81440,69180,76740,105900
185,23.50995,802.6403,[M+H]+,PE 40:1,88560,62220,53150,48110,47260,76920,105700,67100,28660,45010,69670,67570
186,19.08897,794.5709,[M+H]+,PE 40:5,446000,555500,493100,385200,377800,370800,390200,491900,368400,349700,354200,482600
