gene_symbol,I1_0,I2_0,I3_0,I1_2,I2_2,I3_2,I1_7,I2_7,I3_7
Mrm3,5.23,3.31,4.54,5.22,5.41,6.71,2.74,2.65,2.34
Mrpl18,40.32,35.29,40.44,35.54,32.95,39.45,20.34,16.38,16.93
Mtpn,124.32,127.91,127.31,68.57,69.96,73.68,76.95,75.81,71.13
1700066C05Rik,0.41,0,0.65,0,0.22,0,0,0,0.23
Fbxl6,13.53,12.58,14.83,17.97,19.31,20.1,14.14,13.75,12.12
Cyc1,50.52,47.95,49.99,56.23,51.59,56.73,36.21,35.58,32.8
Ly6k,1.21,1.66,0.89,0.45,0.18,0.96,0.43,0.7,0.39
Acot4,0.92,0.85,0.68,0.46,0.29,0.27,0.44,0.31,0.2
Dnmt1,42.76,44.96,46.32,33.9,32.63,32.38,10.85,10.24,11.46
Ldlrad1,0.05,0,0,0.07,0.06,0.02,0.06,0.02,0
Tgif1,39.06,36.83,35.31,13.84,11.84,12.27,30.6,29.66,31.47
Rnf207,0.53,0.24,0.28,0.12,0.13,0.32,0.48,0.32,0.67
Txndc17,54,52.55,49.8,34.19,34.7,36.19,42.95,38.39,38.86
Plcl1,1.51,1.72,1.65,2.56,2.68,2.71,3.15,2.9,3.01
LOC108168405,0.09,0.06,0.05,0,0,0,0,0,0.1
Epha1,15.89,16.7,15.77,1.4,1.87,1.71,3.37,2.53,3.6
Cytip,0,0,0,0,0,0,0.02,0,0
Ndufaf7,6.77,7.07,6.64,10.76,9.7,10.14,7.49,7.35,5.83
Arf2,27.34,28,26.64,9.91,10.5,11.67,15.13,14.38,15.31
Tspan7,6.74,7.39,7.22,8.4,7.76,6.97,4.77,6.15,6.33
Srrm1,59.26,58.37,61.28,55.5,53.48,53.7,38.03,38.25,41.45
Hmgcr,25.99,28.17,25.89,33.39,32.53,34.77,17.23,17.18,18.31
Ankrd65,0,0,0,0,0,0,0.08,0,0.04
Ap4b1,7.07,7.74,7.37,8.56,9.36,8.74,6.04,6.69,6.68
Idh3a,31.49,29.27,30.75,33.79,31.62,32.54,14.85,15.25,15.72
Ifi27,45.67,37.7,34.35,33.82,32.57,38.82,101.04,73,74.94
Mcm7,46.21,43.88,45.29,41.59,36.44,39.06,11.97,11.98,10.98
Tmem59,130,134.73,134.11,190.09,185.94,192.02,208.06,200.36,199.06
Zfyve1,8.34,9.22,8.88,11.86,11.12,11.36,17.46,17,15.57
Dcun1d3,5.99,7.48,6.44,6.47,6.04,6.06,6.96,6.74,7.31
Dcaf7,28.28,29.91,29.82,32.93,33.59,32.68,27.46,27.36,27.56
Ltbp2,128.64,120.76,135.12,50.4,48.39,48.9,55.5,56.6,58.09
Chrna7,1.05,0.95,0.58,0.44,0.17,0.23,0.14,0.29,0.06
A730017C20Rik,0.1,0,0,0.03,0,0.03,0,0,0
Kcnu1,0.11,0.09,0.16,0.2,0.09,0.07,0.09,0.13,0.12
Fem1b,11.36,13.3,12.27,11.46,10.76,11.29,9.03,8.92,9.09
Cpped1,18.36,17.66,16.94,21.7,23.91,22.23,27,26.99,24.98
Cpt1a,9.03,9,8.53,15.14,14.28,15.44,27.27,28.91,28.41
Crb2,0.02,0.04,0.05,0.02,0.02,0.06,0.03,0.05,0.04
Ldoc1,0.14,0.15,0.05,0.53,0.19,0.14,0,0,0
Eif2d,16.92,16.61,18.33,14.96,16.73,17.88,15.42,14.93,13.28
Nckap5,0.02,0.07,0.08,0.04,0.03,0.04,0.18,0.21,0.14
Opn1mw,0,0,0.05,0,0.05,0,0,0.05,0
Bean1,0.5,0.42,0.46,0.12,0.15,0.17,0.11,0.14,0.19
Mmp3,1.13,1.01,0.92,18.54,26.33,28.1,74.48,69.06,65.61
Rnf25,16,14.72,15.22,22.05,19.96,21.78,18.14,17.31,17.61
Dusp19,5.89,5.18,5.54,6.45,4.73,6.22,6.51,5.52,5.33
Nacad,6.86,6.78,7.17,0.89,0.96,0.98,5.06,5.02,4.9
Gm5538,0,0,0,0,0,0,0.05,0,0
Drc1,0.07,0.09,0.09,0,0,0.03,0.05,0.1,0
Siglecf,0,0,0,0,0,0,0.02,0.05,0
E130309D02Rik,13.68,12.81,13.61,12.44,13.61,11.74,8.3,7.87,8.5
Slc25a35,0.95,0.94,0.67,1.44,1.73,1.41,4.05,4.57,3.71
Cd93,0.12,0.16,0.12,0.04,0.03,0.01,0.14,0.1,0.11
Ptpdc1,5.65,5.71,5.47,6.2,5.73,6.12,8,8.54,8.22
Rbm27,9.43,10.23,10.38,8.51,8.15,8.63,5.44,6.38,6.17
Neil1,1.03,1.44,1.73,2.57,2.36,2.2,2.82,2.63,2.65
Zfp422,8.31,8.12,8.02,8.33,7.54,8.31,7.72,7.83,8.15
Ppp1r13b,2.36,2.51,2.67,2.38,2.99,2.84,3.22,3.24,3.41
Gm33153,1.5,1.68,2.19,1.54,1.54,2.21,1.61,1.57,1.38
Shisa3,0.02,0.03,0,0,0,0,0.06,0,0.02
Gpr82,0.05,0.01,0.01,0.04,0.05,0.03,0.03,0,0.03
Wnt10a,0,0,0.03,0,0,0.06,0.03,0,0
Ndufa12,72.2,66.15,68.85,91.54,81.96,75.3,51.32,50.47,49.7
Gm3667,0,0,0.02,0,0,0,0,0.68,0.02
Pld5,0,0,0,0,0,0.02,0,0,0
Ttc9b,0,0,0.07,0,0.07,0,0,0,0
Cav3,0.27,0.06,0.28,0,0,0,0.43,0.27,0.18
Zbtb1,15.73,15.24,16.7,10.84,9.57,10.34,13.27,12.85,13.28
Smim14,23.4,18.87,22.45,24.87,24.7,23.17,40.43,36.75,34.95
Tcof1,38.01,35.26,38.25,20.06,19.18,19.38,13.6,13.11,13.29
Slc17a1,0,0,0,0.1,0.07,0,0.03,0.07,0.19
Hinfp,4.51,4.3,3.8,4.97,3.85,4.48,3.27,3.45,4.3
Tubb2b,72.75,72.62,77.89,7.54,7.91,8.25,21.94,23,22.28
Hand1,0,0,0,0,0,0.06,0,0,0
Enpp3,2.7,2.95,2.91,1.06,0.97,0.84,2.98,3.64,3.15
Ergic1,134.15,135.65,130.43,114.13,114.05,104.55,103.82,96.99,100.52
Snrpg,71.77,75.41,63.73,80.32,81.5,89.38,50.44,45.01,51.56
Zfp326,11.13,11.75,13.09,12.17,11.78,13.01,10.05,8.36,7.69
Borcs8,13.43,13.22,11.82,19.72,20.38,19.84,28.09,25.85,25.57
Ptov1,66.43,61.96,67.59,75.73,76.01,81.42,67.62,66.62,64.37
Ubc,595.41,546.2,574.24,627.66,638.8,636.18,639,646.32,603.63
Pawr,6.49,6.05,6.52,0.82,1.27,1.1,7.27,9.69,8.81
Hist1h4j,0,0,0.2,0.21,0.4,1.2,0.99,0.41,0.22
Ly6g5b,0.84,0.13,0.74,0.44,0.31,0.43,0.18,0.24,0.2
LOC102638047,0,0,0,0,0,0,0.03,0,0.03
Fzd3,1.28,1.37,1.11,1.74,1.56,1.67,0.93,1.17,0.93
Rplp0,1337.32,1168.82,1176.57,2076.62,2141.01,2156.33,1437.01,1251.73,1253.39
Sostdc1,0,0,0,0,0.03,0,0,0,0
Plvap,0.03,0.28,0.3,0.12,0.18,0.06,0.53,0.32,0.59
Trit1,3.95,4.08,3.64,4.82,5.22,5.48,3.38,3.02,3.63
Ncstn,80.06,83.35,81.26,89.2,89.43,89.75,88,82.78,84.01
Wdr78,0.7,0.92,0.79,1.38,1.54,1.51,0.94,1.34,1.08
Mrps14,11.95,9.97,11.55,8.52,10.37,8.69,7.84,7.95,8.81
Pex6,7.24,6.8,6.21,11.97,11.88,11.44,11.39,10.03,9.25
Stoml1,7.25,6.28,5.56,7.4,7.5,7.8,12.75,12.16,11.67
Gm7160,0,0,0,0,0.16,0.15,0.46,0.47,0
Yju2,5.01,4.71,4.52,4.73,5.47,4.36,4.6,3.89,4.01
Stk40,21.2,19.91,20.63,15.44,15.51,14.48,20.79,19.58,18.69
Atp7a,5.01,6.41,5.87,10.31,9.71,9.02,7.48,7.65,7.34
Catip,0.3,0.36,0.53,0.09,0.26,0.31,0.39,0.17,0.39
Fbh1,19.66,18.3,18.83,31.85,32.81,35.77,25.97,24.97,24.41
Vav2,8.55,8.55,8.86,9.75,11,10.08,7.44,7.79,7.44
Stt3a,205.41,203.69,196.85,150.93,155.52,149.43,130.34,122.04,121.32
Slc3a1,0.06,0,0.06,0.03,0.09,0.21,0.2,0.08,0.1
Gal3st4,1.98,2.31,1.71,0.92,1.34,0.78,3.18,3.33,3.4
Nmt2,17.79,19.05,20.18,15.58,12.73,15.12,14.32,13.58,13.87
Npy5r,0.03,0,0.02,0.03,0,0,0.02,0,0
AY074887,0,0.31,0,0.1,0.1,0,0,0,0
Bcl6,12.04,13.22,11.11,45.12,46.63,43.31,18.25,17.36,19.12
Edc3,7.46,7.37,6.72,6.86,7.24,7.52,5.66,5.71,5.44
Serpinb6e,0,0,0,0,0,0,0,0,0.05
Plekhm2,7.82,7.75,8.33,11.84,11.5,12.45,12.68,12.79,12.42
Six2,0.09,0.1,0.23,0.06,0.03,0.1,0.09,0.03,0.04
Dydc2,0,0.09,0,0,0,0,0.12,0.07,0
Dap3,35.31,35.02,34.48,46.19,43.74,48.08,27.69,28,26.3
Col4a3bp,9.99,9.5,10.45,7.43,7.35,7.9,11.01,11.84,10.05
Asb7,3.68,4.24,3.51,4.63,4.34,4.72,4.35,4.21,4.64
Fbxo28,10.16,10.26,9.67,9.45,9.89,10.26,8.93,8.89,8.58
Bach1,8.55,9.59,8.73,30.1,28,28,10.51,10.36,10.89
Sh3d19,28.92,32.28,27.77,30.42,31.21,27.3,44.65,50,49.51
Sprn,0.46,0.52,0.37,0.21,0.15,0.28,0.18,0.37,0.43
Aox2,0,0,0,0.01,0.01,0,0.02,0,0
Ankrd31,0,0.01,0,0,0,0,0,0,0
Hist1h2bc,51.79,52.67,54.85,105.05,94.11,93.68,130.05,130.64,130.62
Mief2,3.77,3.39,3.22,2.3,2.7,2.97,3.13,3.52,3.44
Gbp5,0.04,0.04,0.06,1.08,0.76,1.05,0.71,0.85,0.58
Cstf2t,13.23,14.32,13.54,19.2,19.6,19.85,13.32,12.55,13.07
Ctr9,18.42,19.51,18.86,27.11,25.79,26.36,18.97,17.84,18.35
Cenpp,4.54,4.7,4.7,4.45,4.89,5.29,0.78,0.8,0.9
Rab7b,4.52,4.86,4.2,1.19,1.45,1.2,7.4,8.07,7.44
Ttc30b,3.41,2.6,3.13,5.85,5.4,4.64,7.53,7.45,7.71
Tlr9,0.02,0,0.02,0.02,0.03,0.05,0.1,0.05,0.04
Ntmt1,14.44,11.33,11.42,11.85,14.15,14.23,11,8.09,9.98
Sfxn1,29.18,29.04,28.88,38.08,37.89,36.45,18.41,21.17,20.02
Ak1,93.7,97,93.36,82.8,74.81,78.87,94.85,87.29,94.6
H2afy,41.39,42.07,41.21,42.49,43.09,41.76,29.09,29.96,28.43
Pcdhga6,2.52,2.08,2.43,4.17,4.75,3.7,6.89,7.03,6.88
Haspin,6.15,5.65,5.05,4.13,3.99,4.25,0.83,0.77,0.88
Aasdh,1.43,1.13,1.21,3.71,2.99,2.73,2.08,2.39,1.77
Spdya,0.38,0.27,0.16,0.4,0.35,0.68,0.16,0.18,0.2
Fam171a2,8.69,8.65,8.26,9.45,9.43,9.55,10.25,10.2,10.97
Chek1,5.37,5.24,5.8,4.01,3.17,3.82,0.95,0.76,0.7
Tbx15,41,41.82,41.14,57.14,58.7,57.14,46.04,45.22,49.38
Derl2,9.86,9.85,10.62,10.04,9.75,10.22,11.07,9.03,9.29
Tm9sf3,56.93,59.54,57.09,50.86,52.06,54.56,46.55,47.49,46.62
Rpap1,7.91,8.01,8.39,8.97,9.87,9.51,5.3,4.98,5.57
Adamts12,21.13,24.39,23.07,27.7,27.8,24.02,17.31,18.81,19.71
Stard3nl,20.84,21.64,20.77,17.17,17.16,17.09,18.09,16.28,15.95
Spata2,9.23,8.56,8.72,7.53,7.84,6.94,7.48,7.59,8.39
3-Mar,11.7,13.21,11.97,39.02,37.7,40.42,12.47,10.54,12.79
Gm30733,0,0.01,0,0,0,0,0,0,0
Homer1,3.93,3.84,4.01,5.42,5.03,5.5,3.1,3.01,2.68
Sh3bp4,11.6,12.27,12.07,7.86,8.09,8.46,6.72,6.27,7.07
Ccdc28b,4.32,2.25,2.18,1.8,1.77,2.46,4.32,3.65,3.44
Rnpep,29.38,31.26,30.79,13.72,13.72,13.84,17.72,18.26,18.68
Nptx1,0.28,0.18,0.11,2.66,1.99,1.84,0.65,0.74,0.53
Gas6,146.27,156.49,139.38,1827.3,1939.56,1849.55,1527.55,1600.6,1621.79
Boll,0,0,0.02,0,0,0,0,0,0.02
Flvcr1,3.16,3.12,3.13,2.68,2.24,3.29,1.76,1.65,1.62
Zfp445,9.48,10.51,9.8,14.32,13.39,13.89,10.02,11.08,9.77
Mob1b,9.92,10.14,10.59,9.85,8.87,8.7,8.03,7.64,7.63
Btg3,46.79,47.59,46.58,20.96,17.83,20.42,18.5,16.23,18.52
Nprl2,5.19,5.33,4.41,7.85,7.34,8.28,6.37,6.51,7.42
Secisbp2l,14.37,15.82,15.46,14.48,13.84,13.2,15.55,16.44,15.8
Ccdc92b,0.02,0.06,0.09,0.06,0.05,0,0.05,0.11,0.02
Fam205a3,0.25,0,0.04,0.01,0.08,0.22,0.06,0.64,0
Zbtb20,8.58,9.76,9.13,8.94,7.96,6.54,10.63,11.47,11.98
Atp6v1f,58.18,52.05,51.39,57.61,52.21,52.23,95.01,75.92,71.05
Zfp85,0.72,0.5,0.81,1.94,1.65,2,1.7,1.56,1.88
Trp53bp1,6.95,7.6,8.2,7.39,7.73,7.5,6.91,6.83,6.5
Usp30,8.71,8.98,8.12,7.54,7.82,8.23,9.2,8.4,8.39
Chid1,14.65,15.11,15.2,23.05,23.62,23.41,16.48,14.9,16.38
Spata13,1.04,0.91,0.95,0.12,0.13,0.08,0.12,0.11,0.11
Srsf9,45.08,38.67,40.72,38.24,32.33,36.3,26.36,24.82,25.12
Sox21,0.05,0.02,0.02,0,0,0,0,0,0
Clec2g,0,0,0,0,0,0.03,0,0,0
Gal3st1,0.5,0.29,0.41,0.04,0,0.16,0.08,0.16,0.13
Klk12,0.08,0,0.03,0,0,0,0,0,0
Trpc5,0.01,0.02,0,0.01,0.02,0,0,0,0
Pgd,151.38,145.56,139.09,174.18,175.65,167.61,91.12,83.07,89.68
Tspan13,0.96,1.2,0.76,0.23,0.22,0.28,0.4,0.22,0.42
Gatm,0.4,0.37,0.41,0.21,0.13,0.08,0.1,0.15,0.31
C1ql2,0.03,0,0,0.06,0,0.03,0,0,0
Nmi,1.01,1.48,1.12,0.84,0.7,0.6,3.33,2.34,2.69
Elmo3,0.38,0.61,0.49,0.44,0.48,0.48,1.9,1.27,1.71
Nr4a3,0.86,1.14,0.82,2.23,1.62,1.39,1.19,0.97,0.81
Pcdhb21,0.28,0.65,0.39,0.65,0.55,0.52,1.08,1.2,1.35
Irak1bp1,4.38,4.15,4.7,3.16,3.06,3.34,5.36,5.29,5.13
Spryd3,17.39,18,17.45,10.28,11.42,9.86,12.9,12.65,12.22
Klf5,2.23,2.23,1.67,3.67,4.12,3.71,1.04,1.44,1.56
Ikzf2,1.26,1.41,1.07,0.25,0.42,0.37,0.91,1.11,0.93
Skp2,13.97,14.36,14.24,10.78,9.48,10.41,3.1,2.71,3.01
Cbarp,4.25,3.8,4.1,4.32,4.12,3.08,5.2,5.87,5.96
Miip,6.38,5.31,6.22,9.5,10.26,9.05,5.04,4.13,5.32
Cxadr,0.52,0.61,0.77,0.33,0.28,0.39,0.46,0.76,0.5
Hgs,39.37,36.36,36.98,33.64,34.01,34.27,33.49,32.88,34.64
Gm45975,0,0.02,0.02,0.04,0,0,0,0,0
Pomk,7.89,7.89,7.2,6.71,7.13,6.23,8.92,8.95,9.52
Mbp,2.77,2.58,2.31,0.3,0.35,0.26,1.49,1.58,1.51
Epn1,48.77,46.75,48.58,46.44,52.97,48.12,41.51,43.77,44.91
Pcid2,13.16,10.77,11.75,12.07,12,12.69,10.87,10.75,10.92
Mxra8,118.93,111.26,117.06,141.62,146.46,136.21,260.45,254.59,240.98
Snrpd3,79.52,75.33,70.26,55.99,61.76,63.25,34.35,29.61,35.49
Rcn2,78.09,75.82,76.17,67.04,64.65,66.68,56.39,54.8,51.71
Npm3,45.72,46.77,43.48,34.19,33.49,30.98,24.75,19.31,22.36
Olfml2b,35.17,35.53,37.58,94.52,100.32,90.99,65.3,62.7,62.75
Pnrc2,34.94,37.69,34.64,45.56,48.23,49.78,53.56,58.81,56.23
Ica1,2.13,2.65,2.4,0.95,0.61,0.67,1.19,1.05,1.61
Ttll3,1.14,0.94,0.78,0.99,0.42,0.73,0.66,0.53,0.59
Pou2f1,1.56,1.63,1.74,1.63,1.52,1.54,1.39,1.58,1.58
Arl5b,3.18,3.07,3,4.5,3.78,3.58,5.38,5.14,4.89
Gm2808,0.02,0,0.02,0.01,0,0,0.03,0.04,0.03
Eif3m,60.86,61.13,57.13,71.12,64.99,66.26,53.13,48.53,46.7
Col18a1,3.34,3.51,3.07,9.85,10.74,11.25,20.38,23.47,21.08
Nkrf,5.27,4.6,5.14,5.8,5.7,6.24,2.67,2,2.36
Cox18,12.99,12.34,13.37,8.76,8.95,6.77,6.45,4.86,5.05
Slc39a4,0.11,0.05,0.03,0,0,0,0.05,0,0
Adamtsl5,9.91,9.77,10.27,4.61,4.84,4.63,15.28,14.67,17.69
Fam71e1,0.52,0.56,0.81,1.74,1.76,1.33,1.63,1.62,0.92
Ccdc166,0.71,1.02,0.64,0.82,1,1.02,1.41,1.03,1.17
Vmn2r57,0,0,0,0.02,0.09,0.09,0.02,0.11,0.03
Mip,0.05,0,0,0.03,0.11,0.03,0.03,0.03,0
Trim43b,0.03,0.08,0.03,0.03,0.05,0.05,0.03,0.03,0.06
Spin4,1.44,1.05,1.27,2.29,2.64,2.08,1.67,1.68,1.57
Lmod3,0.03,0,0.03,0,0.03,0,0,0,0
Prcd,0.42,0.35,0.43,0.83,0.54,0.1,1.12,0.69,1.26
Nit2,7.71,7.66,7.19,12.01,10.67,10.15,7.99,8.12,7.94
Lad1,0.06,0.02,0.1,0.04,0.02,0,0,0,0
Ing1,14.98,16.54,14.67,14.41,13.26,14.67,11.46,11.35,12.78
Teddm1b,0,0,0.02,0.02,0.02,0,0,0.02,0.03
Ostf1,43.73,40.37,43.04,25.06,22.56,24.69,30.75,24.89,27.31
Rab3c,0,0.04,0.01,0.06,0.02,0.06,0.01,0.03,0.01
Tmem190,0.12,0.06,0.13,0.06,0.06,0.12,0.25,0.11,0.06
Arhgap10,26.72,25.51,25.48,13.66,15.08,16.38,22.73,22.32,20.49
Ccl25,2.06,2.59,2.4,2.72,2.76,2.13,1.09,1.13,1.04
Rxrg,0,0,0,0.23,0.33,0.26,0.29,0.33,0.28
Dpp9,30.81,30.17,31.38,23.1,24.27,26.36,23.89,24.95,24.03
Rtl4,0,0.03,0.03,0,0,0,0,0,0
Plb1,0.18,0.06,0.36,0.04,0.11,0.15,0.18,0.12,0.22
Rnf215,8.61,7.32,7.87,10.04,11.94,10.52,11.13,10.53,11.94
Map1lc3a,53.45,44.88,46.81,55.45,62.38,62.69,66.79,68.36,63.49
Calhm2,12.56,12.04,11.2,7.92,9.36,8.29,15.72,15.62,15.23
Tmem254b,19.15,18.05,21.43,16.14,7.35,14.83,31.52,21.5,39.87
Nat8f4,0.28,0.37,0.3,0.58,0.42,0.45,0.4,0.31,0.41
Mrps34,23.19,19.18,19.4,25.03,24.05,28.82,19.07,19.79,18.13
Dlst,70.39,68.51,72.12,65.22,65.86,65.05,42.43,43.84,44.37
Cidec,0,0,0,14.79,11.94,8.83,26.17,42.27,34.15
Cit,6.94,6.51,7.7,4.29,3.29,3.39,0.95,1,1.17
Parpbp,7.49,8,8.52,6.03,5.61,6.81,0.81,0.86,0.91
Vash2,5.8,6.15,5.63,2.36,2.7,2.56,2.23,2.87,2.77
Dxo,10.54,9.15,9.59,16.35,15.32,16.47,8.95,10.04,9.7
Tnrc6a,19.21,20.74,19.99,19.09,18.63,18.35,13.39,14.12,14
Zfp764,2.54,3.26,2.73,2.19,1.82,2.79,3.51,3.39,3.68
Fam205a1,0.05,0.04,0.07,0.24,0.48,0.42,0.43,0.39,0.53
Fam84a,0.26,0.13,0.17,1.5,1.9,1.6,0.67,0.74,0.56
Ascc2,28.45,31.93,31.26,18.95,19.48,17.45,18.85,19.19,18.53
Lrrc61,2.25,1.96,2.11,4.36,3.63,3.99,3.71,4.37,4.03
Aimp2,46.5,43.4,43.26,32.37,32.16,29.25,19.09,19.16,18.81
Mmp10,0.03,0,0.07,0,0,0,0.42,0.35,0.31
Tmem234,53.75,56.59,55.35,37.33,46.46,53.14,33.62,38.81,36.5
Kcnj10,0.02,0,0.01,0,0,0.01,0,0,0
Tomm7,13.83,11.95,11.35,14.78,13.84,16.42,12.23,12.99,12.63
Rnf168,7.57,7.72,6.97,7.25,7.61,6.9,5.31,5.22,4.59
Rnf128,1.4,1.58,1.38,1.06,0.82,1.1,0.49,0.32,0.33
LOC108168313,0.45,0.6,0.34,0.12,0.59,0.68,0.32,0.12,0.26
Cct7,109.84,110.28,113.38,91.3,90.24,98.63,52.92,47.92,48.36
Aldh1l1,2.1,2.59,2.08,10.28,12.05,12.28,13.7,15.19,15.59
Brpf3,9.89,10.3,9.91,12.11,10.63,11.5,9.73,10.58,10.93
Tex29,0,0,0,0,0.09,0,0,0.07,0
Flnb,181.11,177.2,190.29,26.58,27.11,25.62,46.75,46.15,49.01
Chrna9,0,0,0,0.03,0.03,0,0,0.03,0
Apoa1,0,0,0,0.07,0,0,0.06,0,0
Alpk1,2.48,2.59,2.78,3.38,3.74,3.31,4.83,4.79,4.78
Bdp1,5.62,5.95,6.25,5.81,5.45,5.24,3.99,3.98,4.53
Smg5,26.49,27.81,26.93,19.36,19.22,19.06,13.08,12.92,13.37
Atp5j,97.25,98.51,104.08,94.29,95.94,97.91,87.94,74.51,70.91
Cxcr4,0.5,0.17,0.35,0.07,0,0,0.13,0,0.04
C1s2,0.07,0.02,0.02,0.05,0,0.09,0.22,0.37,0.24
Igsf23,0.13,0.14,0.05,0,0,0,0,0.06,0.04
Dnajc22,0.09,0.08,0.09,0,0,0,0.04,0,0
Tex45,0,0,0,0,0.08,0.03,0,0,0
Ube2a,15.82,17.25,15.59,15.5,15.97,15.08,14.3,13.01,12.49
Cdt1,15.32,14.55,15.18,9.51,9.51,9.34,2.26,3.32,2.15
Dpysl5,0.03,0.01,0.03,0,0,0.02,0,0.01,0
Lysmd2,9.71,9.38,9.72,9.36,9.17,7.94,10.51,8.65,9.83
Pim2,2.19,2.2,2.11,3.43,3.11,2.36,2.12,2.12,1.96
Abcb6,6.67,5.81,6.68,6.94,7.76,7.68,3.6,3.22,3.7
Exd2,4.48,4.23,4.7,2.77,3.12,3.04,4.8,4.88,4.02
Vamp7,8.59,9.14,9.08,8.41,8.81,11.09,9.48,9.73,8.46
Pfn2,30.84,30.79,28.32,13.04,13.4,12.06,20.08,17.73,21.43
Selenoi,9.04,9.84,9.89,8.05,6.88,7.43,5.53,5.24,5.44
Gnrh1,0.35,0.31,0.72,0.56,0.42,0.64,0.17,0.29,0.46
Gm40369,0.34,0,0,0.11,0.15,0,0,0.17,0
Alpk3,0.01,0,0.03,0.1,0.07,0.12,0.02,0,0.03
Tyrp1,0,0,0,0,0,0,0,0.02,0
Fbrs,24.93,22.39,24.91,25.94,25.37,24.81,22.46,26.16,23.96
Pinx1,11.77,12.97,12.72,10.4,9.08,10.28,5.65,5.27,6.31
Hdhd2,14.81,15.7,15.15,17.69,16.89,17.86,14.98,12.94,12.95
Spag9,24.67,26.19,26.61,29.15,26.63,27.47,29.2,30.43,28.82
Atp6v1h,30.4,28.97,28.82,28.27,27.12,28.23,30.16,28.08,24.95
Tldc2,0.2,0.11,0.17,0.11,0.13,0.1,0.18,0.16,0.14
Gm29738,0.48,0.83,0.55,0.57,0.67,0.76,0.44,0.6,0.8
Krt1,0,0.03,0,0,0.02,0,0.02,0,0
Stab1,0.16,0.07,0.16,0.15,0.19,0.26,1.18,0.64,0.53
Mss51,0.13,0.14,0.48,0.4,0.5,0.32,0.22,0.26,0.29
Nt5c3,9.69,8.8,9.26,11.5,10.7,11.31,7.37,7.16,8.06
Fkbp5,11.27,12.14,11.77,50.39,53.64,53.56,12.67,14.34,12.58
Ihh,0.02,0.07,0.05,0.05,0.02,0.02,0.02,0,0
Dazap1,54.24,49.48,53.4,41.97,40.82,42.41,28.13,27.2,27.82
Actr2,63.52,65.88,68.45,48.38,46.71,48.01,45.18,44.06,43.52
Mrpl54,67.84,56.9,64.98,29.23,31.61,37.73,44.58,37.53,38.47
1700019N19Rik,0,0.07,0,0,0,0,0.07,0,0.08
Oxsr1,12.01,12.39,12.71,11.07,12.07,10.54,10.56,10.98,10.37
Lce1g,9.15,6.26,8.73,0.07,0,0,0.14,0.28,0.47
Gsdme,3.36,3.24,4.28,2.46,2.81,2.54,2.07,2.29,1.55
Nup205,24.42,23.79,23.72,18.26,19.35,17.47,8.66,8.55,8.82
Acad9,8.52,7.92,7.64,15.56,15.39,14.97,7.44,7.29,7.01
Zfp768,10.7,9.75,10.25,12.19,11.8,11.81,11.18,10.07,10.3
Coro2b,4.21,4.17,3.77,1.92,1.72,1.87,8.44,9.88,8.83
Sarm1,0.37,0.41,0.45,0.64,0.51,0.73,0.7,0.88,0.78
Ece1,80.42,81.01,81.98,73.16,70.09,64.23,64.58,67.1,69.44
Slc5a10,0.06,0,0,0,0.05,0,0,0,0
Utrn,16.76,17.45,16.84,11.56,11.57,10.85,15.51,17.19,17.35
Lfng,3.72,4.01,4.63,0.38,0.32,0.29,2.55,3.02,3.09
Ccdc169,0.24,0.17,0.08,0.11,0.03,0.04,0.14,0.08,0.09
Cyb5r3,207.4,205.49,196.07,194.82,213.1,196.37,335.13,339.16,330.63
Atxn7l3b,30.06,32.59,29.65,34.63,36.69,39.69,32.47,30.63,29.82
Adamts5,36.86,45.66,37.54,12.57,16.89,13.16,71.09,81.6,79.39
Kars,83.59,85.61,84.98,74.01,70.65,67.72,40.99,38.14,40.3
Ctps2,7.24,6.57,6.29,12.5,13.24,13.2,14.1,11.11,12.02
Rbm4b,4.91,4.92,4.03,9.64,7.48,8.08,5.99,5.92,5.98
Trim6,0.47,0.51,0.28,0.07,0.03,0.06,0.17,0.26,0.13
Oxnad1,6.72,6.72,6.01,6.26,7.19,7.69,4.99,5.19,4.5
Ccdc190,0,0,0.05,0.04,0,0.05,0,0.04,0.14
Zfp791,0.69,0.58,0.38,0.43,0.57,0.49,0.71,0.64,0.98
Zfp808,2.84,2.81,2.75,1.68,2.08,2.28,2.29,2.52,2.25
Ubl5,34.44,24.48,33.85,36.45,33.31,41.99,33.7,27.72,37.1
Knl1,6.83,7.83,6.92,4.77,4.52,5.11,0.53,0.65,0.59
Lmntd2,0,0.1,0.07,0.03,0,0.03,0.03,0.03,0
Tmem100,3.73,3.35,3.05,57.06,51.27,57.18,18.06,18.57,18.33
Vwa1,0.27,0.18,0.24,0.29,0.24,0.59,0.62,1.25,1.11
Gm7030,0,0,0,0,0,0,0.15,0,0.12
Gulp1,23.54,28.36,24.36,19.5,20.14,20.68,32.99,34.53,32.71
Parvg,0.09,0,0.16,0,0,0.08,0.04,0.02,0.07
Il16,0.94,0.89,0.93,2.72,2.77,2.74,5.08,4.21,4.1
Farp1,40.39,40.06,41.43,16.65,18.24,17.47,25.97,27.05,26.48
Tecr,109.5,102.17,101.46,172.46,171.63,165.27,142.77,138.72,133.04
Slc4a11,0.94,1.16,0.85,0.85,1.01,0.97,1.27,1.15,0.99
Vax1,0,0,0,0,0,0.02,0,0,0.02
