gene_symbol,I1_0,I2_0,I3_0,I1_2,I2_2,I3_2,I1_7,I2_7,I3_7
Kmt2d,7.89,7.76,8.44,7.4,6.94,5.73,6.68,7.57,7.7
Mfng,0,0,0.03,0,0,0,0.2,0.16,0.15
Casp12,8.08,8.68,7.17,23.12,23.18,22.13,25.68,23.43,22.56
Dsp,0.06,0.04,0.05,0.01,0,0.01,0.03,0.02,0.02
Mff,33.14,33.05,35.22,33.38,31.38,35.46,31.81,30.14,28.01
Pyurf,3.48,3.04,2.87,3.85,3.52,3,2.32,2.71,2.19
4930453H23Rik,0,0.05,0,0,0,0,0,0,0
Triml1,0,0.04,0,0,0,0,0,0,0
Dmrtc2,0,0,0,0,0.04,0,0,0.08,0
Olfr582,0,0,0,0,0,0,0.07,0,0
Nsrp1,8.17,9,9.02,10.06,9.43,10.32,8.05,7.59,8
Spatc1l,0,0,0,0,0.12,0,0,0,0
Wdsub1,6.02,6.01,5.66,5.39,6.07,6.01,10.78,10.1,8.69
Igsf11,0.55,0.39,0.33,0.11,0.14,0.07,0.12,0,0.02
Cadm2,0.2,0.18,0.12,0.25,0.2,0.25,0.87,0.62,0.64
Casp1,3.1,3.47,2.38,9.65,10.14,8.45,9.77,8.9,9.65
Hspa8,1315.23,1277.35,1281.79,1257.75,1313.84,1284.16,827.62,753.22,768.77
Borcs7,3.59,3.59,3.71,3,3.07,3.17,4.59,4.14,4.54
Wdr17,0.04,0.06,0.06,0.02,0,0,0.02,0.06,0
Snd1,73.21,71.69,73.95,79.45,86.31,85.93,49.31,45.73,45.48
Polr3b,6.95,7.9,7.98,6.56,7.04,7.8,5.64,5.68,5.22
Calml4,0.71,1.71,0.87,0.16,0,0,1.68,1.22,2.01
LOC105245406,0,0,0,0.05,0.16,0.08,0,0,0
Pitpnb,40.25,40.85,40.8,41.12,42.13,41.82,33.99,34.35,32.26
3830403N18Rik,0.25,0.46,0.19,0.13,0.45,0.19,0.31,0.13,0.21
Fam83b,0,0,0,0,0,0,0.04,0.07,0.06
Siglec1,0.01,0.06,0,0.05,0.04,0,0.72,0.43,0.36
Map7d2,1.05,0.99,0.93,5.79,5.85,4.17,0.48,0.43,0.2
Dok4,4.4,3.99,3.62,2.57,2.61,2.49,4.15,3.37,4.41
Rab3d,2.21,2.21,1.97,3.57,4.08,4.29,9.38,10.69,9.96
Nrros,0.25,0.21,0.2,0.1,0.2,0.17,0.56,0.22,0.33
Mpp3,0.1,0.05,0.05,0.05,0,0,0.19,0.17,0.02
Taf1b,5.97,5.87,5.79,6.47,6.79,6.98,4.6,3.95,4.52
C1qtnf9,0.03,0.04,0.03,0,0,0,0,0,0
Syt2,0.01,0.01,0,0.04,0.04,0.02,0.01,0.02,0.02
