,UD,UD,UD,D2D,D2D,D2D,D7D,D7D,D7D
Metabolite.name,I1_0,I2_0,I3_0,I1_2,I2_2,I3_2,I1_7,I2_7,I3_7
TG 56:4|TG 9:0_19:1_28:3,4286,21696,23897,329282,74101,178981,26786,25023,6470
TG 56:5|TG 11:0_17:0_28:5,11716,29628,18947,593180,620508,300200,18522,19802,31453
TG 56:5|TG 13:0_13:0_30:5,38569,211715,311568,358200,292695,281787,295847,222248,75736
TG 56:5|TG 13:0_19:1_24:4,14573,64675,44623,66470,79304,37324,71619,19099,31941
TG 56:5|TG 18:1_18:1_20:3,504103,1349542,923066,1756139,1064861,561583,890136,1146807,408942
TG 56:5|TG 18:1_18:2_20:2,436058,1594388,1597265,1764269,2137287,2196478,1115555,1396628,1003682
TG 56:5|TG 18:1_20:1_18:3,20715,19373,21722,100196,44536,48872,83659,33628,54057
TG 56:5|TG 19:1_18:2_19:2,78943,204266,208328,316175,195194,298974,328091,154235,158619
TG 56:6|TG 16:0_16:1_24:5,327607,214610,1634770,1007120,226494,1181872,1264752,991592,571937
TG 56:6|TG 16:0_18:0_22:6,35255,15617,103169,33953,31958,40449,13830,30519,15797
TG 56:6|TG 16:0_18:1_22:5,349659,1405283,1749921,1419285,2500458,1127245,1896101,1271844,831359
TG 56:6|TG 17:0_17:0_22:6,8415,45215,113634,51745,81347,60503,121029,63088,26044
TG 56:6|TG 17:0_19:2_20:4,33965,29680,79454,80667,48305,34295,13394,22998,73501
TG 56:6|TG 18:1_18:1_20:4,34688,145685,239761,234340,335838,312388,246674,166858,87322
TG 56:6|TG 18:1_20:2_18:3,381508,1107586,1126443,1149579,1362962,1290426,1324671,660935,587860
TG 56:6|TG 9:0_17:1_30:5,12463,17572,27960,337237,255745,190981,21673,23515,11715
TG 56:6|TG 9:0_19:1_28:5,11006,41405,76091,21107,20383,48631,33221,8287,11531
TG 56:7|TG 16:0_18:1_22:6,128386,556405,1165162,571324,706975,569197,644780,578477,291332
TG 56:7|TG 18:1_18:2_20:4,348998,1068791,1844074,1676216,1561203,1386660,1084258,1186079,594759
TG 56:8|TG 16:0_20:3_20:5,682,17429,82359,59570,101433,42250,44644,33706,18326
TG 56:8|TG 16:1_18:2_22:5,6884,37908,19049,7136,15199,23603,18297,11581,20349
TG 56:8|TG 16:1_20:3_20:4,73242,444845,836619,392116,490956,358130,301222,371813,195910
TG 56:8|TG 18:2_18:2_20:4,92847,343114,504181,334594,551548,359973,461378,281685,275533
TG 56:8|TG 19:1_19:2_18:5,18976,16470,81854,38210,89515,12695,61350,28020,29581
TG 56:8|TG 8:0_14:1_34:7,94,15369,16154,21791,7520,11643,20802,8426,7191
TG 56:9|TG 16:1_18:2_22:6,45871,31411,22399,36002,15828,26658,24802,15517,36937
TG 57:0|TG 17:0_17:0_23:0,73260,133460,162908,304410,173696,123013,308102,122908,170961
TG 57:0|TG 18:0_19:0_20:0,5357,65884,83200,38917,49179,37370,17346,65930,10189
TG 57:1|TG 12:0_15:0_30:1,61565,280020,389147,318074,389750,370529,342994,326081,144727
TG 57:1|TG 15:0_21:0_21:1,6274,20413,44007,52347,53640,33774,35683,33266,30896
TG 57:1|TG 19:0_19:0_19:1,97506,358663,448906,295740,425470,273459,392489,337809,95569
TG 57:10|TG 10:0_15:1_32:9,296363,40071,47394,46111,69928,43289,42751,26117,215208
TG 57:10|TG 13:1_20:3_24:6,1544,5605,1201,4406,37,2724,1829,1020,10981
TG 57:10|TG 17:2_18:2_22:6,259546,131459,147888,239070,169024,133805,239501,99866,198744
TG 57:10|TG 17:2_18:3_22:5,8171,3238,594,682,1179,1575,2376,517,6784
TG 57:10|TG 17:2_20:3_20:5,19047,8615,227107,21516,167715,58645,134811,137379,106709
TG 57:10|TG 19:2_16:3_22:5,32064,75575,68069,308478,443079,28445,51445,22559,40678
TG 57:10|TG 19:2_18:3_20:5,48949,26492,20000,8865,19014,28771,17757,8813,41834
TG 57:10|TG 19:2_18:4_20:4,121277,42824,19943,26781,20727,25265,9651,8310,72115
TG 57:10|TG 8:0_15:1_34:9,44336,31130,113110,213285,472805,173043,65992,75384,103880
TG 57:10|TG 8:0_17:1_32:9,17290,63463,85261,166240,167075,149779,118288,102387,20770
TG 57:11|TG 15:1_20:4_22:6,75107,12151,8789,50982,45295,22803,30294,1900,44562
TG 57:11|TG 17:1_18:4_22:6,22133,15521,66021,59547,191846,39062,59975,15171,31400
TG 57:11|TG 17:1_18:5_22:5,87174,5715,11724,7355,9099,15767,28640,17045,50969
TG 57:11|TG 19:2_20:4_18:5,29142,1391,1268,93,1934,20,257,579,8184
TG 57:2|TG 19:0_19:1_19:1,641481,1523443,1285034,1724129,1572283,1624597,1651502,1323229,1007399
TG 57:2|TG 20:0_16:1_21:1,79706,134106,502367,541860,499450,376641,416136,422836,220133
TG 57:3|TG 12:0_26:1_19:2,51928,32549,84434,265847,278336,207363,210758,208363,138624
TG 57:3|TG 19:0_20:1_18:2,82372,285724,447982,274401,360936,356073,321188,322089,174461
TG 57:3|TG 19:1_19:1_19:1,598653,994082,1368110,1758483,1480968,1053019,1560748,1408712,723919
TG 57:4|TG 18:1_20:1_19:2,71335,274165,408587,273479,405469,221811,270634,223216,138959
TG 57:4|TG 19:0_16:2_22:2,38162,2649,6463,3641,5714,6091,3784,10526,19715
TG 57:4|TG 19:0_19:2_19:2,7665,54971,49025,34266,40299,24796,33600,43112,18433
TG 57:4|TG 19:1_19:1_19:2,258559,292877,882182,331658,846835,817680,331804,786194,496991
TG 57:5|TG 18:0_19:1_20:4,269716,418410,381943,521918,472376,503889,529177,559523,503855
TG 57:5|TG 18:1_19:2_20:2,82569,16493,22954,28202,16706,38438,19717,29189,30908
TG 57:5|TG 24:0_15:1_18:4,22487,58391,126274,127168,169026,97540,83601,62563,62894
TG 57:6|TG 14:0_13:1_30:5,68882,16902,10939,29413,27237,28309,9635,17315,37503
TG 57:6|TG 18:1_21:2_18:3,36203,71820,102715,181676,145148,68624,136614,64675,106435
TG 57:6|TG 19:2_19:2_19:2,42293,41326,57568,42080,105754,46989,80252,83740,17775
TG 57:7|TG 17:1_20:3_20:3,39770,20252,22339,18439,21337,17773,12101,6220,31116
TG 57:7|TG 19:1_16:3_22:3,7011,6736,6713,14822,8612,6802,8752,7526,5742
TG 57:7|TG 9:0_26:2_22:5,69692,33814,32969,32294,39208,12386,38924,30088,58098
TG 57:8|TG 14:1_17:1_26:6,133338,26068,30967,29029,17089,30688,25657,22960,83587
TG 57:8|TG 17:0_20:3_20:5,2038,7074,9493,30685,10582,10820,7650,3614,7191
TG 57:8|TG 17:2_20:3_20:3,348627,57754,78426,83554,93040,64157,56407,53289,223390
TG 57:8|TG 18:1_17:2_22:5,165,83579,48507,53980,49549,69008,60311,55305,23084
TG 57:8|TG 18:1_19:2_20:5,101192,25866,57861,39797,92533,23056,25370,14183,17771
TG 57:8|TG 9:0_22:1_26:7,24242,28974,22380,55029,32089,38357,15234,14628,31638
TG 57:9|TG 13:0_16:2_28:7,5669,93362,12025,348227,177182,108515,101176,33049,20396
TG 57:9|TG 13:1_22:4_22:4,573085,68913,64534,85210,85558,72420,73661,49454,288201
TG 57:9|TG 17:0_16:3_24:6,33840,167083,195394,306961,52879,193408,145120,149356,110134
TG 57:9|TG 17:1_20:4_20:4,28185,42688,115793,79328,112276,116352,164582,10584,62541
TG 57:9|TG 17:2_18:2_22:5,3289,141583,182625,175525,140921,140979,176688,128807,51021
TG 57:9|TG 8:0_17:1_32:8,49090,154667,279488,295411,278463,193301,219191,182948,54132
TG 57:9|TG 9:0_18:1_30:8,234777,102482,96206,431093,161833,188895,112593,86983,190928
TG 58:1|TG 18:0_22:0_18:1,43778,190594,261221,170986,213970,150166,220356,181403,65543
TG 58:10|TG 16:1_20:4_22:5,45447,30132,22173,3489,18191,17428,13692,11355,23992
TG 58:10|TG 18:1_20:4_20:5,45377,24430,8611,5007,18810,20952,15993,28264,76488
TG 58:10|TG 18:2_18:2_22:6,71430,156416,365866,271252,445321,121188,263587,154834,82013
TG 58:10|TG 18:2_18:3_22:5,103943,12048,8295,4416,6611,7515,13126,17134,80557
TG 58:10|TG 18:3_18:3_22:4,139876,19375,25391,55854,32517,24031,12964,16332,70567
TG 58:10|TG 20:1_18:4_20:5,30920,120873,144546,137176,159403,135946,140874,116025,70769
TG 58:10|TG 22:2_18:4_18:4,96263,21518,15693,24687,24696,28668,15067,18934,42720
TG 58:11|TG 18:1_18:5_22:5,40968,102531,134284,96882,106788,106195,94272,93016,108062
TG 58:11|TG 18:2_20:4_20:5,117004,20024,19251,26123,30626,28627,20951,20163,43304
TG 58:11|TG 18:3_20:3_20:5,35047,4122,3368,8808,8351,5294,15125,5478,28964
TG 58:12|TG 18:2_18:5_22:5,19620,3866,2712,3271,3672,2114,5106,5035,8845
TG 58:12|TG 18:3_18:3_22:6,17459,5635,3650,4089,5593,2465,1590,1994,3815
TG 58:13|TG 16:4_20:4_22:5,16836,4503,2084,3730,7003,6430,5654,7158,2351
TG 58:13|TG 20:4_20:4_18:5,36677,12610,34351,38857,28106,15338,39286,16408,19873
TG 58:14|TG 18:4_18:4_22:6,18682,1700,3454,6387,4481,6922,5972,2554,12317
TG 58:2|TG 14:0_24:0_20:2,38482,64851,104977,109227,111059,34352,85373,69816,62918
TG 58:2|TG 16:0_18:1_24:1,22071,52176,26275,31817,23775,31701,48683,32864,13954
TG 58:3|TG 16:0_24:1_18:2,4504,86814,74869,51442,47679,68359,55432,74216,24873
TG 58:3|TG 22:0_18:1_18:2,13782,26308,24719,29684,49735,21173,5373,17514,5724
TG 58:4|TG 16:0_22:0_20:4,100109,70954,90346,65140,74689,81378,100379,85869,83114
TG 58:4|TG 18:0_18:0_22:4,3009,1419,4892,14846,4770,5625,4632,3038,20281
TG 58:4|TG 18:0_20:0_20:4,741,26473,37114,19051,37763,20494,29464,19537,3043
TG 58:4|TG 18:0_24:1_16:3,5303,9857,17275,35498,20930,10391,13465,2206,6228
TG 58:4|TG 18:1_20:1_20:2,1961,74910,22849,18522,15846,20934,16796,20388,6652
TG 58:4|TG 18:1_22:1_18:2,16559,29298,144287,78657,108325,102398,122589,109419,40643
TG 58:4|TG 22:0_18:2_18:2,19916,7187,7336,30873,55915,30816,9205,14141,5570
TG 58:5|TG 13:1_21:2_24:2,9691,33113,57013,100110,124844,71528,46771,16593,33732
TG 58:5|TG 14:0_16:1_28:4,2540,10305,42114,6168,21116,17574,30835,28512,4850
TG 58:5|TG 14:1_22:1_22:3,374,39134,43376,35249,44985,33190,42455,31183,15150
TG 58:5|TG 18:0_18:1_22:4,37496,55978,239470,208876,230690,77526,212965,242490,47679
TG 58:5|TG 18:1_20:2_20:2,86200,283747,229446,239969,268848,140796,213090,134010,181912
TG 58:5|TG 20:1_18:2_20:2,54768,158057,165425,108654,114541,135400,127208,136097,46697
TG 58:6|TG 18:0_18:2_22:4,15047,261808,323556,254681,291238,268026,275803,56223,119805
TG 58:6|TG 18:1_18:1_22:4,77686,557077,644789,420792,481913,473602,392539,475508,167321
TG 58:6|TG 18:1_20:2_20:3,12423,73411,91659,53105,59048,51102,58405,70267,25394
TG 58:7|TG 11:0_21:2_26:5,2346,22027,104215,43309,81418,13629,35336,41155,29185
TG 58:7|TG 12:0_18:3_28:4,21128,26165,13789,39667,21165,7118,32266,15677,14141
TG 58:7|TG 13:1_19:1_26:5,73485,30933,59891,18686,52008,28314,36657,16275,54625
TG 58:7|TG 16:0_20:2_22:5,11334,26764,120573,91762,106585,21144,103204,100132,59584
TG 58:7|TG 17:0_19:1_22:6,103516,55739,55576,15900,53863,24749,13555,18231,85678
TG 58:7|TG 17:0_21:2_20:5,19642,41168,62284,28886,77130,76992,96036,48563,62739
TG 58:7|TG 17:1_19:1_22:5,18717,24158,21636,36846,36457,37601,29403,31944,33626
TG 58:7|TG 18:0_18:1_22:6,22031,45099,91457,25790,11873,48053,35148,46021,16459
TG 58:7|TG 18:0_18:3_22:4,18773,115288,215441,92890,174483,110701,104153,141964,64133
TG 58:7|TG 18:1_18:1_22:5,139689,204234,489300,705833,676862,724427,475228,169150,301888
TG 58:7|TG 18:1_18:2_22:4,53692,223145,245500,205251,251781,171430,193832,168797,132238
TG 58:7|TG 18:1_20:2_20:4,24153,81848,127069,74580,86404,83958,61388,107395,77788
TG 58:7|TG 18:2_18:2_22:3,163474,773221,400252,716545,102913,561995,138405,295642,245612
TG 58:7|TG 19:1_21:2_18:4,4026,62378,136097,19301,16637,108789,20468,99586,11488
TG 58:7|TG 20:2_20:2_18:3,2038,31721,121651,79829,35923,49466,101066,39801,65242
TG 58:7|TG 8:0_24:1_26:6,498713,35022,77440,114623,84121,72890,39047,64652,305892
TG 58:7|TG 9:0_19:1_30:6,9534,9946,59511,53367,56819,34252,16861,20383,30285
TG 58:8|TG 14:0_20:3_24:5,22391,12399,54686,35048,34369,12345,27945,12199,21695
TG 58:8|TG 15:1_15:1_28:6,9705,13444,42821,20327,19094,16063,39001,16962,14278
TG 58:8|TG 18:1_20:3_20:4,230565,1092278,1688224,1262614,1803049,635167,962101,945014,611974
TG 58:8|TG 18:2_18:2_22:4,48506,927,1424,11549,6982,1299,7170,6718,21630
TG 58:8|TG 18:2_18:3_22:3,57481,3882,5120,2467,3293,3531,4671,942,32558
TG 58:8|TG 20:1_16:2_22:5,357205,23433,40626,19722,28958,33511,57045,21876,77535
TG 58:9|TG 18:0_16:3_24:6,244898,2869,9162,15292,38807,9085,16604,7997,104968
TG 58:9|TG 18:0_18:3_22:6,37383,19300,34290,29717,25491,9320,27460,8270,17599
TG 58:9|TG 18:1_18:2_22:6,7333,8486,84332,64925,74120,50409,66595,41726,31868
TG 58:9|TG 18:1_18:4_22:4,9187,46537,87540,54131,13835,51018,60638,35612,8884
TG 58:9|TG 18:1_20:4_20:4,189462,152660,87571,271778,127983,49036,43725,39128,66949
TG 58:9|TG 18:2_18:3_22:4,109214,324799,734721,499488,578906,328029,354482,318035,234763
TG 58:9|TG 20:1_18:4_20:4,20809,4295,2882,6429,2155,2590,2624,4601,18000
TG 59:0|TG 9:0_25:0_25:0,189903,356301,195344,324086,295710,309921,359982,326118,235033
TG 59:1|TG 13:0_27:0_19:1,3620,20879,25433,15380,13490,19983,15463,14002,12451
TG 59:1|TG 14:0_24:0_21:1,29181,36028,86551,177708,146236,241781,211012,160008,35050
TG 59:10|TG 17:1_20:3_22:6,63787,18486,32948,50819,27923,20774,41880,28565,16137
TG 59:10|TG 19:1_18:3_22:6,1419,8593,8793,1944,3644,1200,7317,4340,11692
TG 59:10|TG 21:2_18:3_20:5,3484556,244131,361981,442850,395862,315107,288496,287790,1968604
TG 59:11|TG 13:1_16:2_30:8,54512,7762,7141,6253,11955,4834,1429,1481,25021
TG 59:11|TG 13:1_18:4_28:6,369814,9698,14904,13344,21067,6193,15972,10340,148261
TG 59:11|TG 17:1_20:4_22:6,717650,2000,49013,45109,37525,17213,34716,11589,262974
TG 59:11|TG 17:2_22:4_20:5,823807,49543,52688,133877,103961,28037,81802,39741,401684
TG 59:11|TG 19:1_18:4_22:6,1259739,65048,96600,118703,114705,81051,75920,67949,818789
TG 59:11|TG 19:1_20:5_20:5,13378,22803,15062,14836,43928,12592,27383,34978,4308
TG 59:11|TG 19:2_18:3_22:6,135433,46230,43515,83887,58675,41503,63766,38217,96373
TG 59:11|TG 19:2_20:4_20:5,183309,55368,10431,80805,6125,57314,55720,3436,149925
TG 59:11|TG 21:2_18:4_20:5,1274610,60887,88047,113313,108575,79951,79757,66146,807679
TG 59:12|TG 19:2_20:5_20:5,194108,112616,117523,127245,91329,198557,185783,100623,180201
TG 59:13|TG 15:1_22:6_22:6,58637,11225,13650,10695,13878,10803,14728,7191,36002
TG 59:13|TG 17:2_20:5_22:6,52948,5263,5929,9502,12211,5972,7131,5113,44104
TG 59:2|TG 16:0_23:0_20:2,2941,46450,60548,26312,50088,38906,2892,18191,2354
TG 59:2|TG 17:0_22:0_20:2,4411,14756,10096,8030,18025,17239,8598,7597,7193
TG 59:2|TG 20:0_18:1_21:1,29345,19801,50338,54281,50257,17629,47873,31839,33158
TG 59:2|TG 21:0_19:1_19:1,123893,638618,725518,494477,657240,530713,590544,586413,203117
TG 59:2|TG 25:0_15:1_19:1,6027,15599,80617,27137,51674,65777,60401,69899,17755
TG 59:3|TG 25:0_17:1_17:2,1979,23367,14754,25430,19558,37967,18829,27590,17076
TG 59:5|TG 21:0_14:1_24:4,86522,36765,27366,70469,73032,41660,20180,46409,150748
TG 59:6|TG 15:0_22:3_22:3,8105,9554,44075,12577,20881,19906,11567,11902,11515
TG 59:8|TG 18:1_19:1_22:6,17596,25928,30834,29557,24872,42182,37275,7921,15524
TG 59:9|TG 21:1_16:3_22:5,59122,490,3683,5960,7776,3371,1419,1016,30192
TG 60:0|TG 10:0_24:0_26:0,4956,33949,50106,25882,39882,44693,101329,22350,17614
TG 60:1|TG 21:0_21:0_18:1,4081,107078,106694,53292,137742,84988,96575,82267,60710
TG 60:10|TG 12:0_24:4_24:6,49290,7252,46659,25228,57003,9201,19384,35984,25795
TG 60:10|TG 18:0_20:4_22:6,401743,64220,84756,79304,88425,88333,54995,51743,238747
TG 60:10|TG 18:1_20:4_22:5,467513,63462,64313,90146,84590,81133,56415,28073,219525
TG 60:10|TG 18:2_20:3_22:5,348072,65316,27216,100413,104473,47647,67933,61137,238279
TG 60:10|TG 20:2_20:4_20:4,244888,27690,38011,40363,53923,44534,34316,23705,96685
TG 60:10|TG 9:0_19:1_32:9,455297,76577,65018,101792,104473,43450,64428,54170,239306
TG 60:11|TG 16:0_20:5_24:6,13525,17212,33035,30494,43416,49220,37902,36939,28541
TG 60:11|TG 18:2_18:3_24:6,141595,21278,22442,39476,31182,37704,18238,23376,90599
TG 60:11|TG 18:2_20:3_22:6,99577,14074,8360,16948,37356,35156,30637,24474,75016
TG 60:11|TG 18:3_20:3_22:5,64320,18962,23828,3917,14725,8414,17462,13946,31472
TG 60:11|TG 20:2_18:4_22:5,103163,6590,2291,2817,8156,5693,9527,4498,25082
TG 60:11|TG 20:3_18:4_22:4,185330,19627,24681,25377,37886,19994,21357,15791,71671
TG 60:11|TG 24:3_18:4_18:4,21748,3607,12113,14972,20487,18032,21090,20217,28325
TG 60:12|TG 20:2_20:5_20:5,265667,25621,28009,24891,36436,19452,20366,5582,78675
TG 60:12|TG 20:4_20:4_20:4,16605,219,549,804,0,853,1590,336,7620
TG 60:13|TG 18:3_20:5_22:5,34811,6454,4738,2062,2123,4913,2250,3240,20496
TG 60:13|TG 20:4_20:4_20:5,27198,87272,97156,92654,80573,58531,78019,71248,55027
TG 60:14|TG 16:4_16:4_28:6,18445,7569,38642,51570,53016,34306,42559,20485,10277
TG 60:14|TG 18:4_18:4_24:6,18174,380,2447,1932,2376,511,2570,1661,3142
TG 60:15|TG 20:5_20:5_20:5,182713,30190,39921,50199,34873,48547,27821,30056,89674
TG 60:2|TG 20:0_20:1_20:1,65645,376378,330069,271380,319116,292211,350479,366314,109108
TG 60:2|TG 22:0_18:1_20:1,12478,30977,38137,25680,46891,34571,27986,30053,21896
TG 60:2|TG 28:0_16:1_16:1,11012,12338,1871,13325,9067,11804,9965,11083,12948
TG 60:2|TG 30:0_15:1_15:1,1400,78382,101329,42542,108806,95440,24156,70467,60498
TG 60:3|TG 20:1_20:1_20:1,23862,272508,313684,205256,160602,255691,296752,292834,39105
TG 60:4|TG 16:0_22:0_22:4,82180,64950,73124,67358,95043,75930,78532,68219,76816
TG 60:4|TG 18:1_24:1_18:2,5043,25334,16989,16447,5031,15099,14505,3875,1277
TG 60:4|TG 19:1_19:1_22:2,39831,86565,184806,204313,182483,136522,53781,151223,22758
TG 60:6|TG 15:0_21:0_24:6,15358,4912,7707,3226,13367,11581,12314,7162,10549
TG 60:6|TG 20:2_20:2_20:2,8863,36422,25290,6717,21609,17441,17245,24307,15733
TG 60:6|TG 22:0_16:2_22:4,9506,6663,33266,4577,25999,8166,6925,27686,16267
TG 60:7|TG 13:0_21:2_26:5,12715,19070,12758,20398,13890,16716,12283,7553,12165
TG 60:7|TG 17:0_15:1_28:6,78990,4480,6329,3692,11746,7975,5692,1252,53886
TG 60:7|TG 18:0_18:1_24:6,5446,22734,66548,14773,24567,7864,41899,45187,7373
TG 60:7|TG 18:1_20:1_22:5,9028,99891,90137,45776,97894,69416,43929,42302,19773
TG 60:7|TG 20:2_20:2_20:3,5123,23073,43438,34813,39380,43384,33525,11762,13726
TG 60:8|TG 12:0_22:2_26:6,17137,5629,5701,7937,18245,5789,863,13333,3511
TG 60:8|TG 18:0_16:1_26:7,6090,45060,73937,64917,61899,55770,43678,22258,17862
TG 60:8|TG 18:1_18:2_24:5,9773,65902,99703,64144,31081,80204,9597,97009,26735
TG 60:8|TG 19:2_21:2_20:4,107002,10438,12569,4575,17595,10264,10398,12682,46260
TG 60:8|TG 20:2_20:3_20:3,107061,9632,19504,18472,24842,21907,10105,9777,78867
TG 60:9|TG 20:1_18:2_22:6,89790,18272,13383,12762,13869,18116,22356,15497,79158
TG 61:0|TG 17:0_17:0_27:0,19304,32386,14608,22054,29950,24150,34270,28022,16789
TG 61:1|TG 19:0_21:0_21:1,5961,13885,13111,36952,21872,12871,26798,12577,24548
TG 61:10|TG 19:2_20:3_22:5,29943,1931,8968,4473,13245,5180,6339,10421,19091
TG 61:10|TG 21:2_18:4_22:4,35712,6983,3908,5280,7040,5718,3030,6303,20057
TG 61:11|TG 19:2_22:4_20:5,45949,4753,5638,5515,7518,7929,3834,1379,10209
TG 61:13|TG 19:2_20:5_22:6,709473,114218,166711,184597,177954,146091,143353,101932,724895
TG 61:14|TG 17:2_22:6_22:6,22777,2033,1808,2631,2979,5584,922,5909,31093
TG 61:14|TG 9:0_26:7_26:7,91783,2187,2622,6449,5219,3387,2081,2194,18924
TG 61:2|TG 24:0_15:1_22:1,13625,5592,42420,38917,49369,40401,34879,38055,21914
TG 61:2|TG 25:0_17:1_19:1,2402,25931,41791,44150,52411,41771,32812,11075,28821
TG 61:3|TG 31:0_14:1_16:2,5027,1262,11480,13365,12435,8669,6908,4539,5020
TG 61:5|TG 16:0_21:2_24:3,7749,42228,28044,60349,130632,55164,20349,127342,13209
TG 61:5|TG 24:0_15:1_22:4,12386,27381,38447,44400,44164,29910,34733,42352,7843
TG 61:6|TG 14:0_15:0_32:6,3332,7260,6191,62768,39213,20051,5447,9321,5846
TG 61:7|TG 21:1_20:3_20:3,48710,3314,5736,746,5768,7104,3816,6529,22929
TG 62:10|TG 16:2_28:3_18:5,30368,21294,17495,34218,5820,27109,6813,10741,22244
TG 62:10|TG 18:0_22:5_22:5,30246,5884,3456,1680,6466,4607,4967,0,4688
TG 62:10|TG 20:2_20:3_22:5,52931,4402,6436,727,5419,3876,699,2898,28233
TG 62:11|TG 18:1_20:4_24:6,28457,3390,624,1093,1911,2449,355,1854,815
TG 62:11|TG 20:2_18:3_24:6,49753,1135,10658,8198,1331,5097,10051,4076,25352
TG 62:12|TG 18:1_22:5_22:6,6528,6769,6225,12657,24388,12676,23792,20542,14255
TG 62:12|TG 20:2_20:5_22:5,24017,3065,1427,2054,351,3729,813,850,6009
TG 62:12|TG 20:3_20:3_22:6,30184,1092,1014,2515,3669,2347,1219,2819,5919
TG 62:12|TG 22:2_16:4_24:6,21540,1935,608,6153,4703,1781,5660,2337,4240
TG 62:13|TG 16:2_24:5_22:6,119425,6380,5763,7477,8809,3332,8614,4670,36228
TG 62:14|TG 20:3_18:5_24:6,88042,4219,4659,7895,10717,4641,8286,4364,38845
TG 62:14|TG 20:4_20:4_22:6,781139,39007,9866,94047,16066,12346,10397,2661,92994
TG 62:14|TG 22:4_20:5_20:5,259351,9222,9359,7344,14863,13338,10503,8913,61510
TG 62:15|TG 20:4_20:5_22:6,1008359,26777,28426,30396,29395,25467,21701,25076,249999
TG 62:15|TG 20:5_20:5_22:5,87512,1178,0,1129,110,19,604,471,2541
TG 62:16|TG 16:4_22:6_24:6,85412,3094,10249,5574,11046,15004,6362,10019,57329
TG 62:4|TG 16:0_18:0_28:4,19298,23134,23695,15768,25862,19072,27974,26742,20311
TG 62:5|TG 20:0_20:2_22:3,4043,22088,18289,20462,19936,17874,23429,20706,9813
TG 62:8|TG 8:0_20:0_34:8,31063,13440,12827,17846,16815,18971,15356,10925,31266
TG 63:13|TG 15:0_22:6_26:7,23461,4126,5285,5965,4354,887,1296,3831,16939
TG 63:13|TG 19:2_22:5_22:6,47128,1757,597,1408,2179,4622,2239,1593,9947
TG 63:14|TG 19:2_22:6_22:6,25613,643,1116,523,801,1852,2534,454,13068
TG 63:2|TG 11:0_18:1_34:1,6769,16307,14229,15240,17306,15756,12052,12600,9487
TG 64:12|TG 18:3_22:3_24:6,24706,1217,1543,2153,1120,933,2005,1665,5278
TG 64:12|TG 20:2_20:4_24:6,8439,5,29,16,160,13,69,84,1978
TG 64:13|TG 20:3_22:5_22:5,13363,5,162,809,24,65,589,42,1840
TG 64:14|TG 22:4_18:5_24:5,116746,8000,12434,13456,1585,7493,8946,5961,82565
TG 64:15|TG 20:4_20:5_24:6,54376,2158,2282,3298,4122,3341,4221,1838,49752
TG 64:17|TG 20:5_22:6_22:6,64291,13401,10649,16166,11745,4723,6259,5150,57830
TG 64:4|TG 24:0_20:2_20:2,11061,23462,12090,22370,22499,21315,19438,22258,12987
TG 64:6|TG 20:1_20:1_24:4,17261,16127,12656,14633,3612,37300,7119,19816,18351
TG 64:8|TG 19:2_21:2_24:4,31853,1461,1240,1549,3119,3291,647,2736,20501
TG 65:10|TG 9:0_24:1_32:9,217249,9265,45404,59204,45274,44909,42864,41880,205812
TG 65:12|TG 21:2_20:5_24:5,27574,4607,2061,1525,4259,3728,2200,5039,12834
TG 65:13|TG 13:0_20:5_32:8,55587,3553,5681,1567,3364,3668,2715,490,32613
TG 65:13|TG 9:0_30:6_26:7,92720,46,844,372,325,687,415,627,859
TG 65:14|TG 13:0_26:7_26:7,303395,16819,11805,7520,14645,17630,15972,15438,109538
TG 65:14|TG 17:2_20:5_28:7,10670,69,161,351,589,735,2145,2101,6764
TG 65:14|TG 21:2_22:6_22:6,55271,25815,30428,27560,36205,30139,36850,26089,26096
TG 65:4|TG 31:0_17:2_17:2,17518,26957,13097,30996,24131,26310,18707,19045,20430
TG 65:6|TG 12:0_19:0_34:6,7088,12691,16661,6608,5084,11677,9530,15657,13028
TG 66:10|TG 16:1_20:3_30:6,3753,10330,11121,6677,2677,6670,4040,7445,2991
TG 66:14|TG 14:0_26:7_26:7,42362,7562,5354,8137,9707,7240,8940,6461,19625
TG 66:15|TG 20:4_20:4_26:7,25295,974,2591,5182,3328,469,2913,2821,12784
TG 66:18|TG 22:6_22:6_22:6,74570,2290,5712,3133,3108,863,3531,3564,34834
TG 66:6|TG 11:0_19:2_36:4,20045,13248,13124,14212,14112,12083,17053,13845,11529
TG 66:9|TG 18:1_18:1_30:7,3434,1370,147,2421,46,3394,0,18,15041
TG 68:10|TG 15:1_15:1_38:8,9256,1469,575,2027,6610,571,654,2492,19821
TG 68:17|TG 16:3_22:6_30:8,12457,489,0,522,1261,512,0,103,655
TG 68:7|TG 20:2_20:2_28:3,21395,16554,13165,14591,14779,13551,12938,17131,17221
TG 69:5|TG 17:0_20:0_32:5,10873,3588,13019,17559,12405,22646,10593,14285,15450
TG 70:10|TG 16:2_30:2_24:6,18138,21998,9942,11181,14239,19081,17746,14629,12631
TG 70:11|TG 14:1_20:2_36:8,18117,1806,662,403,733,899,920,2908,8505
TG 70:5|TG 12:0_34:1_24:4,16467,13373,7399,15249,11026,14272,16773,18141,15767
TG 72:12|TG 17:1_17:1_38:10,6041,12968,4060,20139,11601,13325,8950,7857,14661
