"gene","R_log2FC_avg","R_n","R_up_pct","R_down_pct","P_log2FC_avg","P_n","P_up_pct","P_down_pct","P_R","p_value"
"PLA2G16",0.0865748344213652,90,0.211111111111111,0.1,0.0416147019740598,89,0.134831460674157,0.101123595505618,-0.0449601324473054,0.669146039179623
"PLA2G4E",0.0865748344213652,90,0.211111111111111,0.1,0.0416147019740598,89,0.134831460674157,0.101123595505618,-0.0449601324473054,0.669146039179623
"PLA2G4F",0.0865748344213652,90,0.211111111111111,0.1,0.0416147019740598,89,0.134831460674157,0.101123595505618,-0.0449601324473054,0.669146039179623
"PLA2G4D",0.0865748344213652,90,0.211111111111111,0.1,0.0416147019740598,89,0.134831460674157,0.101123595505618,-0.0449601324473054,0.669146039179623
"PLA2G4A",0.0865748344213652,90,0.211111111111111,0.1,0.0416147019740598,89,0.134831460674157,0.101123595505618,-0.0449601324473054,0.669146039179623
"PLA2G6",0.0865748344213652,90,0.211111111111111,0.1,0.0416147019740598,89,0.134831460674157,0.101123595505618,-0.0449601324473054,0.669146039179623
"PLA2G16",0.0865748344213652,90,0.211111111111111,0.1,-0.912154786259948,20,0,0.8,-0.998729620681313,2.7662486834567e-07
"PLA2G4E",0.0865748344213652,90,0.211111111111111,0.1,-0.912154786259948,20,0,0.8,-0.998729620681313,2.7662486834567e-07
"PLA2G4F",0.0865748344213652,90,0.211111111111111,0.1,-0.912154786259948,20,0,0.8,-0.998729620681313,2.7662486834567e-07
"PLA2G4D",0.0865748344213652,90,0.211111111111111,0.1,-0.912154786259948,20,0,0.8,-0.998729620681313,2.7662486834567e-07
"PLA2G4A",0.0865748344213652,90,0.211111111111111,0.1,-0.912154786259948,20,0,0.8,-0.998729620681313,2.7662486834567e-07
"PLA2G6",0.0865748344213652,90,0.211111111111111,0.1,-0.912154786259948,20,0,0.8,-0.998729620681313,2.7662486834567e-07
"MGLL",0.00965311516742136,12,0.25,0.166666666666667,-0.88584416648512,70,0.0285714285714286,0.671428571428571,-0.895497281652541,0.00121391474376021
