"subclass","Sample191","Sample197","Sample270","Sample428","Sample429","Sample430","Sample433","Sample439","Sample464"
"PC(22:5)",14090961,46289196,5481474.5,756429,23567566,8275792,65142610,7259110.5,4079372
"PC(22:6)",72644340.5,210610635.5,23071795.5,8852892.5,84552258,45880844.5,506747810,37207717,16824879.5
"PC(28:4)",49.5,560808,602.5,1055.5,2858.5,2213.5,3733.5,36040.5,NA
"PE(16:0)",929740,915039.5,302815,46642,807707,296247,2483916,174147,89050
"PE(16:1)",3182524,3136443,538754.5,132708,2116137.5,722867,4152469,526940,321983
"PE(18:0)",16513777.5,11401340,5049447.5,817302,12959640,4688512,13429860,3636143,1504036
"PE(18:1)",3954596.5,2577195.5,765502,73915.5,2802455.5,714235.5,5921296.5,498804,343032
"PE(18:2)",414439.5,641477,74325.5,2126.5,432880,86561,2612921.5,41968.5,70474.5
"PE(20:3)",8135.5,9336.5,3315,2696,6713.5,3721.5,12880,2923,4452.5
"PE(20:4)",4648395,4258733,1095446.5,161890,4280859,1336952.5,6987778,1128558.5,391343.5
"PE(22:4)",3965,5105.5,463,10324.5,22710,12765,19639.5,10589.5,8524.5
"PE(22:5)",3197418,3153280.5,539950,143326.5,2131721,732297,4179913.5,531639.5,329107
"PE(22:6)",10951900,6174832.5,3730567,630765,7677693.5,3013109.5,4597073,2300882,986450
"SM(14:0)",5598442,11883697,8532443,3037399,22196776,13367301,38076036,6142500,2457376
"SM(16:0)",229378917,559068068,184777481,51803870,433951204,209432310,752599616,154443134,73670120
"SM(18:0)",179792616,327784992,121826010,21472626,219226176,164582628,293764624,117946436,68172220
"SM(20:0)",44899931,9083678,6609494,2806007,44877769,36092419,75064404,20650485,6723831
"SM(20:3)",1200780,117353,2620118,54495,1027819,3223342,1000957,1861536,3562478
"SM(22:0)",63474766,31004633,30727791,642595,109809272,67694222,230066976,29909739,14797800
"SM(22:1)",12461065,9408215,5072462,206778,14418045,13910148,46925886,6103984,4999596
"SM(24:0)",39156752,128780908,21731714,1228896,78458692,53915048,149250760,26724352,29897351
"SM(24:1)",117450692,235520207,76886448,1459515,184454172,136384129,458180300,69699206,79292838
"SM(24:2)",78379987,140125966,37485214,669031,103544087,79623386,255963354,41788358,29282649
