"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1.2i_1","COS7OADGAT1.2i_2","COS7OADGAT1.2i_3"
"PE(44:7)",2357130.672,4820963.141,5364720.181,3367955.295,2799907.071,3823635.917
"PE(46:7)",1025772.5,1773136.297,2030357.206,304799.766,732257.568,1500360.257
"PG(30:0)",2700439.005,3969482.685,5258693.592,1134101.552,2152258.304,2311831.255
"PG(32:0)",25900000,28300000,44300000,9145628.011,19600000,15100000
"PG(32:1)",4432501.217,8278948.0465,10885059.9251,4028210.4753,4741688.5087,4051967.5951
"PG(34:0)",1958492.015,1734303.18,3655425.271,1065399.096,1727276.821,1310349.364
"PG(34:1)",152700000,231700000,294600000,184600000,159100000,200400000
"PG(34:2)",1822648.368,3908573.22,5509946.702,4882258.84,2007603.767,3251363.445
"PG(36:1)",23900000,39600000,40600000,26100000,21600000,32100000
"PG(36:2)",143500000,182700000,230600000,163799458.986,123100000,168400000
"PG(36:3)",7333089.849,13400000,17900000,12100000,8835376.596,12100000
"PG(38:2)",1731459.939,3029914.402,3552876.554,1970303.626,1870246.045,2645707.795
"PG(38:4)",3977264.238,9299714.556,11600000,8038175.207,6131100.9,8156336.645
"PG(38:5)",2.7e+07,2.8e+07,33100000,12800000,7307538.28,15100000
"PG(38:6)",2827000.818,5113464.369,6257279.992,4423010.419,3524668.149,4959463.16
"PG(40:5)",3916821.257,6322679.662,1e+07,7074659.655,4721877.232,7297176.014
"PG(40:6)",8047656.851,6798046.385,12800000,19400000,1e+07,26300000
"PG(40:7)",53029342.6396,93096104.327,124039725.9478,78801536.4901,66032268.103,77496474.988
"PG(40:8)",2012918.792,1991677.569,3104196.489,8195607.021,2040211.156,6164698.48
"PG(40:9)",90180.088,256734.667,75552.7164,61863.641,99985.732,204079.836
"PG(42:10)",4470861.467,3963315.849,5536788.856,18200000,9176058.802,34100000
"PG(42:11)",328440.854,590700.833,766655.508,4564826.209,2187726.676,9723748.026
"PG(42:8)",541983.746,1299567.925,2048054.023,1114786.198,743049.6912,1626008.633
"PG(42:9)",2864368.62,1692264.683,2457440.742,6639567.879,3197901.146,11400000
"PG(44:10)",1007444.68,1294494.61,2736443.309,3012055.434,2042610.645,4234442.956
"PG(44:11)",2722777.39,2296986.624,3134131.802,1.4e+07,6758915.859,23800000
"PG(44:12)",1.3e+07,25800000,3.1e+07,28900000,15300000,3.1e+07
"PG(44:9)",65025.254,185232.382,332762.153,133100.941,130432.512,233684.353
"PI(32:3)",511405.407,1037411.941,242652.5991,500750.501,227348.535,1425822.069
"PI(34:1)",4597537.29,6192618.89,9445028.037,10637435.747,9072525.987,3079123.887
"PI(34:2)",605249.058,826072.391,1545206.079,89366.622,40430.8818,262512.355
"PI(36:1)",38100000,39900000,73800000,15600000,27900000,20100000
"PI(36:2)",5666968.648,6771872.0015,6668277.933,2641577.193,4730369.1835,880016.3759
"PI(36:3)",4531838.368,7221225.888,7847146.653,22100283.381,10057707.745,8196272.937
"PI(36:4)",2515796.799,3306336.362,4998042.315,1637782.629,1793113.919,2074863.984
"PI(38:1)",NA,21041.73,114065.241,15558.4074,19856.8794,4846.4208
"PI(38:2)",1103544.612,1321481.492,2467523.238,102467.332,635127.149,328938.245
"PI(38:3)",4636913.941,6752181.289,8857628.373,9714983.887,5760949.776,2288871.8124
"PI(38:4)",73283221.075,85103819.2142,141070768.785,58087983.906,74932389.276,62734918.904
"PI(38:5)",70200000,89900000,109800000,39700000,68500000,5e+07
"PI(38:6)",3050621.216,3694910.346,6056700.507,782274.7497,2764268.731,3024455.013
"PI(40:4)",436538.004,567221.117,625919.6199,406243.379,460398.83,585297.029
"PI(40:5)",6685152.939,8964002.4162,13009499.903,14246279.06,9179017.913,3917912.981
"PI(40:6)",6432082.125,12378118.527,11158236.728,14148290.269,8143270.39,2766434.793
"PI(40:7)",2866899.388,3426418.556,5319648.008,1820640.22,2668630.971,2941594.857
"PI(40:9)",2395923.079,3651025.01,3356953.314,2374799.896,2610844.356,3252930.519
"PS(22:0)",340618.809,781109.598,491093.446,4552006.491,33764.346,445017.95
"PS(24:0)",NA,NA,NA,13400000,103413.367,1558530.185
"PS(24:1)",20836.752,19724.3016,16862.742,2943143.683,4798.988,15558.126
"PS(26:0)",NA,4642.4202,19389.1932,6552201.974,53834.012,3076629.875
"PS(26:1)",4519808.202,8521678.285,7827756.491,4387808.252,2671336.69,3486665.4
"PS(26:2)",4638303.387,10100000,9885774.408,5090789.182,4797887.583,5225950.861
"PS(28:0)",NA,15027.2688,NA,6633265.279,89892.612,300813.6522
"PS(34:2)",2411102.055,2556519.032,3421536.704,2191761.953,1889657.514,2674793.685
"PS(36:1)",564148.356,921833.603,1461718.297,4408074.506,2521877.109,3046718.571
"PS(36:2)",4626339.804,4943883.3875,11719651.134,3468589.7567,3275788.317,3447215.0853
"PS(36:3)",38648061.614,47713716.083,51647003.135,33828398.688,32698787.563,43462164.94
"PS(36:4)",9755169.438,16100000,17100000,9327503.641,10500000,14300000
"PS(38:1)",42272497.14,76770045.603,94445116.59,45732277.891,54486794.788,81738367.239
"PS(38:3)",70400000,1.02e+08,1.08e+08,55500000,65500000,82200000
"PS(38:4)",132748633.433,153826694.662,163704354.76,123059805.4,117640341.858,159770097.95
"PS(38:5)",12022975.919,20231359.555,23502723.318,13775174.948,13149235.117,20605433.582
"PS(38:6)",6428743.981,11300000,12800000,6423420.82,7006522.967,10300000
"PS(38:7)",24300000,34700000,36800000,24900000,27400000,35900000
"PS(40:1)",18200000,33800000,38700000,21200000,20200000,31500000
"PS(40:4)",15939117.111,24427070.362,27951755.022,17480848.287,16063955.042,24695147.479
"PS(40:6)",60062533.947,81477996.483,89809382.872,63100000,62214616.9462,80142742.495
"PS(40:7)",30114624.1746,52204532.1507,56992115.4275,33771804.4144,34800000,49619824.784
"PS(40:8)",33936159.183,47439203.133,53432443.533,34010834.867,37245908.218,51019291.225
"PS(40:9)",7575467.186,11500000,12500000,7799381.129,8174637.166,12500000
"PS(42:10)",7903464.487,12500000,13700000,9379406.293,9542839.347,12800000
"PS(42:6)",2499419.356,4238888.009,4990197.231,2698273.202,2332820.545,3857466.213
"PS(42:7)",8411023.343,14300000,15100000,8172214.826,9428702.259,11700000
"PS(42:8)",12861411.692,22210660.424,24400000,12297520.191,13725210.177,20246649.851
"PS(42:9)",23585549.095,36300000,35200000,26100000,28900000,34100000
"PS(44:8)",1442232.038,1054895.126,1871731.301,6081801.842,3257629.111,1e+07
"SM(30:1)",3167490.204,3107325.203,4336974.113,5675899.562,2928724.901,8361375.096
"SM(32:0)",34400000,26300000,39100000,4.3e+07,22300000,5.5e+07
"SM(32:1)",325277036.279,306970672.246,407246542.741,494598528.761,261886443.973,631064577.536
"SM(32:2)",8240675.461,9149582.903,12800000,1.5e+07,7535987.027,29500000
"SM(34:0)",4.84e+08,3.01e+08,4.86e+08,7.58e+08,3.24e+08,7.33e+08
"SM(34:1)",8207500000,7032185224.933,10555427384.447,10823363861.123,5571616284.78,12253348805.219
"SM(34:2)",378045563.053,326119117.436,353960538.669,425700000,214641692.978,595800000
"SM(34:5)",704600.408,365922.725,330619.898,2444965.657,138516.74,134436.299
"SM(36:0)",25300000,13600000,23300000,22300000,10900000,32900000
"SM(36:1)",6.08e+08,3.87e+08,7.15e+08,6.86e+08,3.38e+08,7.47e+08
"SM(36:2)",3.26e+08,3.36e+08,66200000,6.56e+08,2.49e+08,1.61e+09
"SM(36:3)",3639312.701,8718369.29,1.1e+07,19200000,9604339.588,30300000
"SM(36:5)",9579141.652,7283628.825,488868.3663,453626.9139,7177152.832,11700000
"SM(38:1)",83600000,53100000,99300000,93100000,39300000,62600000
