"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1.2i_1","COS7OADGAT1.2i_2","COS7OADGAT1.2i_3"
"PC(20:5)",9813737.7345,1.9e+07,20600000,13650000,11450000,17900000
"PC(22:1)",1168521.856,2176510.218,2121231.35,977523.9474,1353168.208,2302835.991
"PC(22:2)",6417608.246,8802573.596,11700000,35600000,16600000,31800000
"PC(22:3)",1102021.196,1384816.254,1422629.461,923095.846,1003480.525,1398983.547
"PC(22:4)",24800000,40900000,55700000,28300000,28100000,39300000
"PC(22:5)",78038777.6235,86275000,127725000,132142359.50475,56661225.60825,143155647.62475
"PC(22:6)",25633333.3333333,32766666.6666667,44033333.3333333,66466666.6666667,36966666.6666667,73033333.3333333
"PC(24:1)",13900000,25200000,25800000,10300000,13200000,2e+07
"PC(26:1)",39100000,40700000,42100000,16600000,31900000,3216237.73
"PC(8:0)",23600000,14800000,22300000,41900000,16500000,40100000
"PE(14:0)",6668796.4665,3874222.409,13850909.86875,3788498.89275,4963113.38475,18587515.18375
"PE(14:1)",3610016.7815,5392328.2175,5560016.311,4205616.1755,5015481.745,7309885.341
"PE(16:0)",93963961.785,92666320.8132222,136305067.055519,142394477.881111,62896774.0523333,164405008.177741
"PE(16:1)",46787013.3478667,59288542.400875,68761351.7716875,50418792.486275,42530174.0585625,75515315.3259125
"PE(16:2)",2225818.355,3510185.118,3911944.775,3085693.816,2653034.958,4376028.089
"PE(18:0)",146899830.09145,138250890.35555,203785839.008715,219242257.91725,102245008.87575,303726124.9146
"PE(18:1)",187842833.846962,194806565.50134,293978627.443698,268271002.542353,133728740.114026,323527109.034698
"PE(18:2)",42991446.91625,64737917.00337,74635997.787265,50993938.834,46288323.15155,72053392.99395
"PE(18:3)",1533673.011,2101359.468,2304364.199,975998.0007,1144508.919,1300804.722
"PE(20:0)",11345384.9675714,15007561.351,14520688.7571429,14597636.8317143,7872371.24985714,22297703.5731429
"PE(20:1)",22651204.7706364,25932640.7808182,36384928.1008182,29864254.8550909,17528631.6867273,40626938.2233636
"PE(20:2)",2.28e+08,2.42e+08,360500000,466500000,211500000,554500000
"PE(20:3)",53620010.9938625,53882770.7618375,82253826.12665,69788626.266125,34132999.887775,98030201.838175
"PE(20:4)",160084857.753333,173770788.253429,241585642.013471,226247155.677479,127359852.40225,269696317.427308
"PE(20:5)",21130039.4608571,29218001.5535714,36128571.4285714,25299695.7494286,19746218.6132857,41805083.3204286
"PE(22:0)",1829511.5345,2777042.6115,3416422.82,825703.57705,857452.1447,2703273.079
"PE(22:1)",21029994.90944,21564173.4896,30076578.4296,20488846.9845,10350650.84424,24354964.0648
"PE(22:2)",1.4e+07,14700000,25700000,32600000,15900000,49400000
"PE(22:3)",4887171.56783333,6848289.59683333,9746074.18883333,5213750.12515,4937483.36916667,7922418.29683333
"PE(22:4)",33053608.2344,38569881.3728,51206026.7158,52019271.8908,27676646.5175,74027765.7946
"PE(22:5)",96457967.8413357,99240804.9508933,141556327.56166,138753247.78196,65208187.2396,188535070.237707
"PE(22:6)",64208252.022,69785209.7991053,100139259.501158,78736460.9875263,42783933.5043684,112135464.947716
"PE(24:0)",4855793.1875,5983404.2865,8863740.163,9362108.9425,3382018.906,1553742.201
"PE(24:1)",8960078.53333333,12452511.5056667,14440648.5146667,5075497.16533333,6323413.72666667,10012097.5096667
"PE(24:2)",4631299.421,8946803.823,8434128.674,4118772.927,5221971.135,6504657.188
"PE(26:1)",2311043.72,3244344.571,3755008.811,1049884.661,1456807.767,2624353.997
"PG(14:0)",3465183.73,5809201.019,7604740.057,2447487.7825,3396913.0425,2914792.8235
"PG(16:0)",26441544.2017143,38535869.4093571,52048411.3410143,23324581.5173286,25387428.0929571,29582645.5323
"PG(16:1)",1012610.565,2269300.95675,3222110.05255,2574797.65115,1053862.24735,1892788.32405
"PG(18:0)",12929246.0075,20667151.59,22127712.6355,13582699.548,11663638.4105,16705174.682
"PG(18:1)",35661183.1532143,52364574.3314286,66384314.4749286,44909664.5907857,34571974.1394286,46214691.1819286
"PG(18:2)",3149118.15936667,5170959.93366667,7009876.58966667,6788397.81123333,3635439.51633333,6229096.598
"PG(20:1)",1731459.939,3029914.402,3552876.554,1970303.626,1870246.045,2645707.795
"PG(20:2)",232032.445,976538.858,1351794.895,642113.816,554178.661,1119651.518
"PG(20:3)",1738920.246875,2853294.63275,3596325.60445,3724866.1036,2394366.72225,5132906.91375
"PG(20:4)",6362587.6663,6494336.8962,7821864.87204,6275342.96988,3345412.72264,10096582.6578
"PG(20:5)",938772.043333333,1714542.854,2069667.0318,2845240.92666667,1760013.253,4721722.03933333
"PG(22:4)",1303297.79125,1959929.904,3327062.868,2307287.50325,1587932.51955,2472910.03375
"PG(22:5)",2204571.33182,1389514.66228571,2413312.06614286,5191370.41438571,2605324.90185714,7902129.84814286
"PG(22:6)",8451649.98890909,14362166.4931818,18712208.6010909,17363143.7,11127709.9944545,20671459.3560909
"PI(12:0)",511405.407,1037411.941,242652.5991,500750.501,227348.535,1425822.069
"PI(16:0)",3122766.355,3627498.966,6746520.006,1523870.8505,2096284.6405,1809422.995
"PI(16:1)",605249.058,826072.391,1545206.079,89366.622,40430.8818,262512.355
"PI(18:0)",21813000.428,25058620.4432857,38227482.7315714,11920844.9675714,19564285.065,15902703.20015
"PI(18:1)",9169049.43516364,8809533.41038571,14720637.4044615,4375799.81050714,6228568.13201428,5704321.07883077
"PI(18:2)",3838369.80933333,4787484.35933333,5619643.696,2399038.689,3333587.72,2261710.8283
"PI(20:0)",436538.004,294131.4235,369992.43045,210900.8932,240127.8547,295071.7249
"PI(20:1)",881443.2225,1733491.1015,1933591.7285,5801233.666,2414989.585,440569.6935
"PI(20:3)",1562034.99993333,2083538.68906667,3880351.46005,2302140.60266667,2076053.81633333,1776128.3055
"PI(20:4)",20748046.5771667,25670472.4781667,39145110.5828167,13679228.5218333,19577459.321,17507417.7403333
"PI(20:5)",12387009.1945,14045566.8335,13504829.582,5375464.81335,13123938.7875,5396155.363
"PI(22:4)",1009334.192,773258.2512,2029210.1,383539.251,839573.595,112623.934
"PI(22:5)",4029558.722,4945599.4025,7478835.146,2055515.039,3489994.805,3009761.349
"PI(22:6)",3128170.4915,5979290.866,5550422.014,7110320.11,3988252.024,2941594.857
"PS(18:0)",340618.809,781109.598,491093.446,4552006.491,33764.346,445017.95
"PS(18:1)",642036.5729,440946.174675,3472389.857375,485122.6046,37792.9354,164468.6409
"PS(22:4)",1442232.038,1054895.126,1871731.301,6081801.842,3257629.111,1e+07
