"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"LPE(20:3)",3714.1548,938877.99,1223416.306,729804.044,1390814.657,923454.873
"LPE(20:4)",1.7e+07,35400000,40800000,2.2e+07,41700000,28300000
"LPE(20:5)",1400551.999,2927832.743,3314195.851,2155844.31,4426966.029,2856781.085
"LPE(22:4)",4442302.269,3777701.69,6613896.389,3471785.116,7324499.184,8123547.151
"LPE(22:5)",17500000,14200000,25200000,13200000,31100000,31900000
"LPE(22:6)",6145012.201,13300000,14400000,6336581.499,10100000,6531470.117
"LPG(16:0)",19704.449,14874.427,3595.4055,58286.7567,655687.244,28041.0996
"LPG(18:1)",26659.7568,1128754.562,950915.62,2102850.126,2243391.468,1664339.473
"MG(18:0)",8873594.144,1045044.923,7509021.918,1533616.955,1385394.083,1400410.635
"MG(18:3)",100045.02,1362702.67,62134.7313,75305.4525,392274.3825,377582.5713
"PA(38:5)",4.23e+08,4.29e+08,6.2e+08,4.22e+08,7.2e+08,7.37e+08
"PC(16:0)",3499637.716,3472064.237,2366189.826,4212727.43,9433209.657,11500000
"PC(18:0)",34700000,71037.7656,1064645.899,NA,NA,NA
"PC(18:1)",61300000,41247.585,542420.781,NA,NA,NA
"PC(20:0)",15600000,813985.551,6074039.476,NA,14415.0552,NA
"PC(20:1)",3211060.699,3019896.303,3544172.363,4496846.142,5804095.737,6265349.896
"PC(24:0)",28200000,2949797.342,10400000,131217.777,552502.266,38600.692
"PC(24:1)",3.2e+07,706100.023,3269257.801,NA,NA,7313.353
"PC(26:0)",4805040.251,761765.898,2990159.191,NA,30898.195,15021.2946
"PC(26:1)",414044.7552,38797.974,272987.931,NA,NA,NA
"PC(28:0)",51100000,2.7e+07,4.1e+07,27400000,48600000,55900000
"PC(30:0)",1128018470.849,813200000,1236800000,724900000,1297900000,1449300000
"PC(30:1)",140217171.8832,126056858.7874,192710374.9205,108935419.147,186393007.071,216519865.8698
