"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1+2i_1","COS7OADGAT1+2i_2","COS7OADGAT1+2i_3","COSOADGAT1i_1","COSOADGAT1i_2","COSOADGAT1i_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"LPC(18:0)",1845300000,159567343.958,606760095.636,369287189.775,216588044.465,412408301.676,259087275.179,651348824.099,316241820.816,146691156.359,277360353.288,260645859.46
"LPC(18:1)",182500000,107100000,169700000,3.55e+08,190100000,415900000,211500000,391300000,260800000,136200000,245500000,284800000
"LPC(18:2)",6611794.1184,3406580.9016,5125913.1802,8587796.52,3161116.9335,9262537.365,3196458.9769,6370311.607,3662397.3342,3387532.2388,6303017.5495,8525008.866
"LPC(19:0)",1.4e+07,3860077.967,7805784.704,8586596.902,5145776.125,13800000,5169595.123,1.2e+07,8912308.235,3295686.438,6132429.703,5273977.58
"LPC(20:0)",23394001.0175,5664056.0285,10631664.2708,13985932.7,7264017.29,17215867.446,8022496.4535,20354463.87,10984667.98,4757801.972,9385553.6437,9329598.74
"LPC(20:1)",14853315.716,8673534.166,14040499.765,19599809.528,9737483.914,19457646.224,10959929.471,21605213.627,13148227.574,8777878.429,11789485.782,16856739.795
"LPC(20:3)",1312410.633,3444089.492,3826492.708,9657205.77,4327025.408,9412542.283,4040032.153,8042640.712,5090691.748,3359647.522,5213468.967,5889281.093
"LPC(20:4)",22800000,16200000,24700000,42700000,18600000,46900000,21600000,39200000,28700000,21600000,38600000,38100000
"LPC(20:5)",1448935.512,1397053.967,2253985.359,7260174.128,2019554.761,5342064.976,2961157.718,5199478.319,NA,1690269.26,3874084.494,3890177.647
"LPC(22:0)",21700000,1475201.96,6529739.978,3986901.904,2169977.741,3986900.603,1917128.223,11100000,2934388.366,1218289.838,2976792.238,3009190.958
"LPC(22:1)",4454805.026,2177717.086,4408972.899,6513600.944,2956577.538,10500000,5514386.737,10900000,4717559.334,2085525.601,3942884.956,4327354.528
"LPC(22:5)",2774369.803,8601664.357,1190663.938,25600000,10400000,22700000,4807173.428,2886739.889,15100000,7458011.732,16600000,17900000
"LPC(22:6)",4902186.712,7629013.119,1110321.799,21700000,10800000,20700000,9952216.3,17600000,11600000,8388315.704,12600000,14200000
"LPC(24:0)",25456.665,73890.7227,115302.583,6895398.982,NA,66549.3117,106886.083,32948.703,87327.679,34636.243,2072119.825,33147.223
"LPC(24:1)",1547213.741,274432.681,2220872.487,2315267.205,847756.157,526214.895,1147123.61,666337.9251,321279.2775,186894.369,356439.6507,2859927.489
"LPC(28:0)",23600000,14800000,22300000,41900000,16500000,40100000,25400000,35600000,30100000,16700000,27900000,32700000
"LPC(28:1)",5017172.86,1182092.526,2134919.242,1835393.262,667961.074,1817067.19,1330116.468,2518546.347,1217708.588,853966.775,1686450.895,2135217.022
"LPC(32:1)",21500000,18500000,31100000,43100000,16300000,33700000,19500000,33800000,19300000,2.3e+07,42100000,39600000
"LPC(34:1)",74700000,60600000,1.24e+08,1.31e+08,5.4e+07,1.11e+08,69200000,1.16e+08,77400000,63100000,1.33e+08,1.65e+08
"LPE(16:0)",6045390.745,3806722.206,7289170.34,11900000,5100960.073,9681520.972,6359496.954,10200000,8976036.394,3905788.379,6937611.349,7480065.899
"LPE(16:1)",1744984.123,3314493.505,3794483.105,2155747.241,1746615.031,2694601.857,2965521.393,1540562.411,3176506.86,1969820.549,3262482.585,1808884.395
"LPE(18:0)",30900000,5075462.623,13900000,14100000,7348037.652,11800000,7539809.474,13900000,9553315.549,5470031.912,9193809.953,10500000
"LPE(18:1)",20400000,17300000,30300000,57300000,27400000,60700000,35300000,61100000,42200000,20500000,3.5e+07,38900000
"LPE(20:3)",3714.1548,938877.99,1223416.306,128852.3619,453137.4,792819.948,1505993.774,433455.444,1225845.075,729804.044,1390814.657,923454.873
"LPE(20:4)",1.7e+07,35400000,40800000,21200000,17500000,29700000,45900000,18200000,38200000,2.2e+07,41700000,28300000
"LPE(20:5)",1400551.999,2927832.743,3314195.851,1528026.517,1340332.099,2262937.618,4559733.894,1608246.827,4456356.95,2155844.31,4426966.029,2856781.085
"LPE(22:4)",4442302.269,3777701.69,6613896.389,9982764.377,3901541.518,10400000,5158985.867,10400000,7282282.7,3471785.116,7324499.184,8123547.151
"LPE(22:5)",17500000,14200000,25200000,36600000,1.6e+07,38500000,21800000,4.5e+07,25400000,13200000,31100000,31900000
"LPE(22:6)",6145012.201,13300000,14400000,8323001.832,6495197.689,11300000,11500000,5157927.838,10800000,6336581.499,10100000,6531470.117
"LPG(16:0)",19704.449,14874.427,3595.4055,2130380.903,15117.231,25966.0992,14657.421,8587.7952,83681.5875,58286.7567,655687.244,28041.0996
"LPG(18:1)",26659.7568,1128754.562,950915.62,3920391.75,626886.366,892420.724,1218185.303,1130931.295,1602483.492,2102850.126,2243391.468,1664339.473
"LPI(18:0)",NA,NA,NA,1396112.051,NA,NA,NA,NA,NA,NA,6796.497,NA
"MG(18:0)",8873594.144,1045044.923,7509021.918,1601736.958,700567.759,3444438.105,7395530.515,3882995.462,2444011.209,1533616.955,1385394.083,1400410.635
"MG(18:3)",100045.02,1362702.67,62134.7313,390572.354,178419.1683,80300000,54547.8909,13200000,52691.7882,75305.4525,392274.3825,377582.5713
"PC(10:0)",2402520.1255,380882.949,1495079.5955,NA,5630.5041,83570.1635,281372.024,1160240.185,94435.471,NA,15449.0975,7510.6473
"PC(10:1)",20400000,16050000,26200000,35150000,18050000,35100000,18300000,35350000,18550000,13450000,26050000,31050000
"PC(10:4)",19550000,20350000,21050000,8300000,15950000,1608118.865,1663124.9475,10400000,5400000,14250000,32250000,27350000
"PC(12:0)",8005072.6435,6880452.0872,10578875.89775,11160479.1989,5243649.95375,18923347.96135,6631566.8907,18729366.08805,7350233.4975,6267829.12375,11258920.56,12803254.2944
"PC(12:1)",13500000,15750000,27050000,21700000,8350000,18800000,15100000,22500000,12500000,16850000,21900000,25250000
"PC(13:0)",378500000,329800000,510800000,549600000,272550000,579500000,304032368.36305,640100000,325400000,363500000,553350000,629700000
