"subclass","I1_0","I1_2","I1_7","I2_0","I2_2","I2_7","I3_0","I3_2","I3_7"
"MG(16:4)",138772,112068,84068,65522,114585,88563,64557,110728,123845
"MG(18:0)",46513,21076,13955,12951,19609,6171,8276,11072,41305
"MG(18:1)",76670,82279,43631,30810,47210,27906,42681,79307,72821
"MG(18:2)",347477,159389,100935,84165,52448,104471,59257,104987,187027
"MG(18:3)",224457,178650,180774,137204,165048,201994,96648,164414,358937
"MG(19:0)",148649,157428,216463,91873,151350,154835,100614,124312,244170
"MG(20:3)",151629,480280,369742,280561,504069,271062,256776,413957,373489
"MG(9:0)",1402,4473,3144,1515,3341,4608,37974,101,25080
"PC(12:0)",8642,14146.5,22386,4361,14152.5,17636.5,4142,9930.5,15578
"PC(13:0)",84456,45417.5,57821,18828,37954,24014,29966,31764,79480
"PC(14:0)",438542,588991.5,953879.5,154970,574923.5,716831.5,239138,416624.5,983997
"PC(15:0)",159488,290432,700296.5,102508,296740,658596.5,129741,229780.5,609920
"PC(15:1)",9696,11561.5,18417,1532,10456,13761.5,3088.5,10315.5,29818
"PC(16:0)",3245667.5,9265760.5,16259639,2201028.5,8304762,11582329,2605046,6667873.5,19937154.5
"PC(16:1)",682282,1832571,2967159.5,465408.5,1795460.5,2963511,449366,1205962.5,3400515.5
"PC(16:2)",4003.5,9033,34478,4343,9274,13373,1019,7411,32653
"PC(17:0)",58654.5,163342,264152.5,44214.5,113165.5,178189,130712,74236,247839
"PC(17:1)",37465,164251.5,291213,72813,127328,279383.5,87380.5,163235.5,231472
"PC(17:2)",100878,88326.5,221407.5,41591,90331,143439.5,36879,66035.5,224061
"PC(18:0)",1688634.5,2994458.5,4901002,956381,2906066,4307764.5,1072180,2024964.5,7798207.5
"PC(18:1)",2743460.5,8168235,12914703,1756715,5691310.5,8949924,1626316.5,5051276,15829336
"PC(18:2)",336133,549385,926576,186723,506697,649144,221564.5,414983,1050975
"PC(18:3)",193715.5,578594.5,1120039.5,173725,648157.5,1113588.5,206957.5,453200,1445269
"PC(18:4)",2179,62311,98864,7168.5,24272,21538.5,2285.5,8345.5,72189
"PC(18:5)",232083.5,117001.5,36938,75118,93260.5,89766.5,84154,94660,115526.5
"PC(19:0)",291849.5,181847,255864,77618.5,183191,186441.5,128323,150482,290370
"PC(19:1)",65665,27952.5,247306,22185.5,84239.5,134681,24131,76488,247270.5
"PC(19:2)",236404,281889,589089.5,98718.5,189807,435911,125109,248836.5,768692.5
"PC(20:0)",62519,133934,118591.5,56028.5,116540,48539,52114.5,126587.5,106451
"PC(20:1)",32952,150899,183795.5,32853,141231.5,239786,42107.5,95859,177595
"PC(20:2)",142660.5,125248,109986,75595.5,171793,103596.5,71894.5,118495.5,149965
"PC(20:3)",447658,511462,1155719.5,206589.5,605916.5,1053415.5,257509.5,401220.5,1906472
"PC(20:4)",1708549,3044060.5,5520558,1011836.5,2827690.5,4917131.5,984899.5,2164465,8108224
"PC(20:5)",112769.5,401393.5,409624,69052,377905,360654,77107,251574.5,517568
"PC(21:1)",139583,136791.5,152505,59937.5,130918,128074.5,104209.5,101098,249194
"PC(21:2)",96992.5,57366.5,83391.5,37205.5,51625,54099.5,54967.5,43165.5,86665
"PC(22:0)",18263,34739.5,19312.5,15138,11233,3825,21616.5,16235,14604.5
"PC(22:1)",18576.5,31140,12809.5,17678,16747,9630.5,10274,10442,15015.5
"PC(22:2)",8038.5,9849,4022.5,1226.5,9981.5,5256,3088.5,9770,6410
"PC(22:3)",14935,888,1985,557,549,1045,888,1342,4350
"PC(22:4)",74677,86837,139456.5,34200,78083,113807.5,27474.5,65626.5,181264
"PC(22:5)",152973.5,210375.5,430203,78368.5,150840.5,279250.5,89376.5,172263,521995.5
"PC(22:6)",298707,463104,618013.5,126265,524924.5,591474,192471,375611,1094847.5
"PC(23:0)",9392,20924,6319.5,9486.5,3230.5,5692,2764,20098,8028
"PC(24:1)",76376,53385.5,32966.5,16394,32426,34497.5,25592,28999,60338.5
"PC(24:2)",2574.5,1795,5381.5,1016.5,2235,2545,1128,1644,8603.5
"PC(24:5)",53544.5,3937.5,7643,3193,6088.5,3846,6319.5,5341.5,30845.5
"PC(25:0)",16381.5,21766.5,4915.5,1996.5,17245,4144,6841,1636.5,12108
"PC(26:0)",22099,101954,87196.5,37368,89535.5,25111,43597,102797.5,42553.5
"PC(26:1)",53150.5,57340,84135.5,18404.5,43676.5,24975,91037,19874,54094
"PC(26:2)",7301.5,34633,13418.5,3227.5,15220,13673.5,22819.5,12807.5,17750.5
"PC(26:3)",67746.5,34278.5,27760,3877,23609.5,23892,17119,21111,53505
"PC(26:4)",9739,5686,6003,5880.5,6052.5,5956.5,3075,7057,5457
"PC(26:5)",20400,4098.5,23916,3863.5,5445.5,6868,677.5,4746.5,21109.5
"PC(28:2)",15785.5,754,1216.5,1450,222.5,108.5,783,55,11294
"PC(28:3)",25114,10982.5,7573.5,11826.5,9853,4673.5,4979.5,15393.5,48734.5
"PC(28:5)",14294.5,5481.5,2134.5,NA,2148.5,594.5,185.5,786,7499.5
"PC(30:2)",84456,45417.5,57821,18828,37954,24014,29966,31764,79480
"PC(30:5)",39274,7988.5,897,1752.5,5516,3206,953.5,6001,10311.5
"PC(30:6)",8642,14146.5,22386,4361,14152.5,17636.5,4142,9930.5,15578
"PC(32:6)",485,15692.5,313,1077,13092,99,447.5,934,147.5
"PE(14:1)",2567.5,3818,9454.5,644.5,4104,9874.5,1294.5,3355,12511
"PE(16:0)",772363.5,750036.5,1289191.5,232728.5,809269,1346335,303173.5,652516,2357197.5
"PE(16:1)",270573.5,413171.5,781282.5,134432,464783,557874,142838.5,296443.5,1115308
"PE(16:4)",30032,25731.5,33936.5,8015,38785,52190.5,5604,25502,114763.5
"PE(17:0)",4620.5,13150,33390,5023,15809,28942.5,7208,15038.5,27847
"PE(18:0)",513127,832394,1426747,346520,755363.5,1339316,335327,700351.5,2120967.5
"PE(18:1)",788604.5,833673.5,1833839,384025,862544,1647953,318826,564010,2383789.5
"PE(18:2)",19487,86331.5,238864,30610,93677.5,140748,37537,58869.5,196864
"PE(18:3)",29367,48336.5,1e+05,24815.5,49668,69589.5,25945,35403,153152.5
"PE(20:1)",78078,72999,157266,26044,74094,141555,28942,30014,324216
"PE(20:2)",51088.5,71449.5,116539,30558,68175.5,91626,33127,51269.5,168366.5
"PE(20:3)",115925.5,142944,313848.5,58550,113220,279372,45908.5,76066.5,470611
"PE(20:4)",471028.5,777330.5,1242954.5,271369.5,736836,1112818,274621,684494,1985584
"PE(20:5)",87967,125555.5,199252,24884.5,126773.5,176751,31552,62549,393735
"PE(22:0)",22591,19797,11641.5,6235,25431,33213.5,3427.5,21455,76136.5
"PE(22:2)",18715,20793,45082.5,14050,23668.5,19021.5,14301.5,17328,79949.5
"PE(22:3)",4314.5,6662,11557.5,1947,6247.5,8717.5,5121,3388.5,15212.5
"PE(22:4)",91252,125459,168417.5,42519.5,126434,168887.5,53581.5,93788,262139
"PE(22:5)",454725.5,683417,1165438.5,218003,652104,1247137.5,322877,540895.5,1754723.5
"PE(22:6)",111789.5,250767,513431.5,89098.5,285666,433206,104046,175844,667005.5
"PE(24:4)",7441,5934.5,22295,1780,13354,18977,2176.5,4047,38627
"PE(24:5)",8236.5,9589,18173.5,3575,10189,17783,5935.5,7132,29917.5
"PE(24:6)",61900,108523,163772.5,38265,88211.5,125241,27146.5,77671,285144.5
"PE(25:0)",25056,14027,12097,11433.5,14565,12180,9038,15728,12004
"PE(26:2)",11861,23438,48166,10248,24289.5,44746.5,8359,19262,79203.5
"PG(16:0)",16206.5,31135,26022,9457.5,28546,33173.5,8561,22907,12702
"PG(16:1)",4456,6515,6363,4461.5,5450.5,6856,2567,5199,12702
"PG(17:0)",9680,9269.5,40564,8487.5,14781.5,38773.5,9412,14544.5,42631
"PG(18:0)",12165.5,38945.5,50678,11796,29914.5,56802.5,8560,21556.5,91045
