"subclass","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","QC-1","QC-2","QC-3","QC-4","QC-5","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8"
"LPC(18:1)",8.7e+07,6.7e+07,7.5e+07,8.4e+07,9.4e+07,7e+07,1.4e+08,1.1e+08,1e+08,7e+07,6.5e+07,6.6e+07,6.2e+07,3.7e+07,6.4e+07,6.6e+07,4.9e+07,5.5e+07,5.5e+07,6.9e+07,6.2e+07
"LPC(18:2)",1.9e+08,1.6e+08,1.6e+08,2.6e+08,2.4e+08,1.8e+08,3.5e+08,1.4e+08,1.3e+08,2e+08,2e+08,2e+08,1.2e+08,4.2e+07,1.7e+08,1.4e+08,8.7e+07,1.1e+08,9.4e+07,1.2e+08,1e+08
"LPC(18:3)",2.3e+07,1.6e+07,1.8e+07,1.4e+07,1.8e+07,1.4e+07,2e+07,1.8e+07,1.4e+07,1.5e+07,1.4e+07,1.5e+07,1.5e+07,1.2e+07,1.2e+07,1.3e+07,1e+07,9954067,1.4e+07,1.3e+07,1.2e+07
"LPC(19:0)",5990729,4286278,6693058,7102788,5037594,4937929,9166918,6466312,4177128,5382333,5138569,5512970,5015978,3060654,5202626,5172691,3301362,3408991,3426689,3007472,4275511
"LPC(20:0)",3011011,2219010,2410095,3032772,2907068,2772465,4211968,2128574,2623945,2621368,2481251,2381206,2339982,2427836,2387869,2788814,1904689,1868275,2206301,2060340,1998077
"LPC(20:1)",3646863,2174078,2899845,2995584,3117524,2638246,4168266,2936949,2985232,2685974,2665050,2856712,2552904,2314883,2482827,2772610,2113142,1919021,2001187,2925640,2547294
"LPC(20:2)",3907200,1889140,2745063,2706230,3413194,3521998,4356099,3741805,2467606,2571039,2562562,2799942,3113431,1545158,2169317,2302787,1906458,1408161,1773472,2732253,2147435
"LPC(20:3)",2.5e+07,2.4e+07,2.5e+07,2.2e+07,2.8e+07,2.3e+07,3.3e+07,2.8e+07,2e+07,2e+07,2e+07,2.2e+07,2e+07,1e+07,1.4e+07,1.6e+07,1.1e+07,1.2e+07,1.6e+07,1.4e+07,1.4e+07
"LPC(20:4)",6.3e+07,2.6e+07,2.9e+07,3.2e+07,3.8e+07,3.1e+07,5.2e+07,4.1e+07,3.1e+07,3.3e+07,2.5e+07,3e+07,3e+07,8348972,3e+07,2.3e+07,1.8e+07,1.9e+07,2.2e+07,2.4e+07,1.8e+07
"LPC(22:5)",8478732,2801797,2956969,2649552,3245207,2311087,4108296,3548781,2043165,3120886,2170761,1278444,2384961,347969,2096197,1463502,1217646,1181702,1665592,1944618,1199759
"LPC(22:6)",2.8e+07,1.5e+07,1.6e+07,1.5e+07,1.7e+07,1.5e+07,2.4e+07,1.5e+07,1.3e+07,1.4e+07,1.3e+07,1.4e+07,1.2e+07,2387632,1.2e+07,8708677,7180793,6826467,9742311,1.1e+07,8349209
"LPC(24:0)",3430870,3159113,2475750,2713382,2510283,2101648,3425401,2669802,2471507,2325655,2153175,2551568,2106957,2140642,1852479,1780319,1661044,2026258,2392477,2667922,1679275
"LPE(16:0)",57648740,39872838,43650697,37816037,54064455,30499565,51782287,45315074,34570346,34558651,34535459,32640333,33251771,14494056,22436083,25173955,22977952,21167886,29457136,28956467,30649171
