"subclass","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8"
"TG(10:1)",7.17e+08,483666666.666667,9.5e+08,842333333.333333,1.063e+09,2351666666.66667,7.97e+08,2019333333.33333,2482666666.66667,1944666666.66667,592195574,2683666666.66667,5.6e+08,575197109.333333,567486557.666667,806666666.666667
"TG(10:2)",5e+07,42666666.6666667,122666666.666667,59333333.3333333,6.3e+07,7e+07,60666666.6666667,96666666.6666667,7.1e+07,64333333.3333333,45333333.3333333,88333333.3333333,53333333.3333333,4.8e+07,51666666.6666667,73666666.6666667
"TG(10:4)",6333333.33333333,6666666.66666667,7333333.33333333,7e+06,11333333.3333333,9333333.33333333,7333333.33333333,7666666.66666667,5333333.33333333,6333333.33333333,5333333.33333333,6e+06,6666666.66666667,8333333.33333333,6666666.66666667,8666666.66666667
"TG(11:0)",5.15e+08,524666666.666667,6.63e+08,5.77e+08,764333333.333333,1075666666.66667,5.82e+08,1029666666.66667,994666666.666667,1169333333.33333,6.04e+08,1e+09,5.22e+08,640666666.666667,5.97e+08,915333333.333333
"TG(11:1)",20333333.3333333,16666666.6666667,7.4e+07,32333333.3333333,76333333.3333333,58666666.6666667,26333333.3333333,78666666.6666667,47333333.3333333,51666666.6666667,31333333.3333333,6.2e+07,34666666.6666667,36333333.3333333,4e+07,6e+07
"TG(11:2)",26666666.6666667,15110079,27333333.3333333,21333333.3333333,34666666.6666667,3.1e+07,25333333.3333333,20666666.6666667,25333333.3333333,3.7e+07,32333333.3333333,34666666.6666667,30666666.6666667,4.4e+07,3.4e+07,4e+07
"TG(11:3)",8666666.66666667,9e+06,15666666.6666667,8e+06,20333333.3333333,1.7e+07,1.1e+07,9666666.66666667,9333333.33333333,1.5e+07,11333333.3333333,1.3e+07,13666666.6666667,1.5e+07,20666666.6666667,18666666.6666667
"TG(11:4)",10333333.3333333,10333333.3333333,1.1e+07,7666666.66666667,13333333.3333333,10333333.3333333,13666666.6666667,7666666.66666667,8e+06,1.4e+07,1.1e+07,8666666.66666667,9e+06,1.7e+07,1.3e+07,1.5e+07
"TG(12:0)",30303062759,28670599236,5.997e+10,49941059839.3333,59496666666.6667,110077333333.333,40511729786.3333,1.03086e+11,8.7087e+10,9.4343e+10,31553555767.6667,93893333333.3333,28605926623.6667,24923867983.3333,27378022907.6667,44143200080.6667
"TG(12:1)",62666666.6666667,63666666.6666667,86333333.3333333,47333333.3333333,62666666.6666667,1.7e+08,52333333.3333333,173333333.333333,1.2e+08,133333333.333333,39666666.6666667,153333333.333333,48333333.3333333,4.2e+07,42333333.3333333,52333333.3333333
"TG(12:2)",54333333.3333333,48333333.3333333,56333333.3333333,39333333.3333333,47333333.3333333,1.05e+08,4.5e+07,123333333.333333,94333333.3333333,83333333.3333333,46333333.3333333,70666666.6666667,56666666.6666667,5.2e+07,55333333.3333333,74666666.6666667
"TG(12:3)",5e+06,5666666.66666667,7666666.66666667,6333333.33333333,8e+06,6666666.66666667,5333333.33333333,7666666.66666667,9e+06,8333333.33333333,8333333.33333333,9333333.33333333,8e+06,1.2e+07,8e+06,1e+07
"TG(13:0)",731333333.333333,642911139.333333,7.79e+08,6.59e+08,991666666.666667,982333333.333333,7.73e+08,573666666.666667,919333333.333333,1.188e+09,933333333.333333,975666666.666667,702333333.333333,1017666666.66667,1014666666.66667,1280333333.33333
"TG(14:0)",48469333333.3333,47235873490.6667,71470333333.3333,65229666666.6667,77854333333.3333,105741333333.333,5.4601e+10,99312333333.3333,8.7701e+10,8.8493e+10,50801333333.3333,92226666666.6667,47334666666.6667,47556333333.3333,4.8924e+10,58693333333.3333
"TG(14:1)",400666666.666667,472666666.666667,445443365,3.74e+08,607666666.666667,444666666.666667,306333333.333333,532558896.333333,4.46e+08,374666666.666667,3.37e+08,453666666.666667,365333333.333333,356333333.333333,295333333.333333,516666666.666667
"TG(14:2)",269333333.333333,207333333.333333,5.01e+08,437666666.666667,554666666.666667,8.42e+08,449666666.666667,8.49e+08,516333333.333333,757666666.666667,506666666.666667,804666666.666667,5.2e+08,331666666.666667,545333333.333333,5.24e+08
