"subclass","DGAT_1.2i_001","DGAT_1.2i_002","DGAT_1.2i_003","OA_001","OA_002","OA_003"
"PG(20:4)",2359467.83386364,2085252.34409091,2348019.26608182,1212403.5597,1697333.20923636,1610440.72987
"PG(20:5)",1581147.298125,1938649.89525,1884127.156325,740866.883,1002101.05795,915182.29355
"PG(22:4)",1796645.207,2347738.01485,1976619.18375,779583.287325,719982.69465,806101.56985
"PG(22:5)",2305699.12821429,1825768.71851429,2491423.71032857,1303170.53967143,1313044.52825714,1743856.76046667
"PG(22:6)",11324607.8567727,13163523.2453364,11997557.0884,8126732.94283636,8773654.16457,8020665.4667
"PG(32:0)",648117.25,3315914.61,814284.236,15300000,16300000,1.5e+07
"PI(14:1)",170509.8396,570331.19065,306986.9158,127966.3101,172465.7124,274493.14065
"PI(16:0)",1519403.43764,3989312.28342,3029316.36232,4067927.65086,4193483.72046,9094636.08096
"PI(16:1)",1537937.054,4392549.76033333,2197794.53586667,3188230.63533333,3155956.231,5651795.09743333
"PI(18:0)",26062014.4719,66086874.3121538,44833584.52005,43095778.6546538,41777426.0378308,80795961.3185538
"PI(18:1)",18034751.5346583,41042471.83664,22895948.7598667,22236532.13454,19960561.7138,49001274.2039267
"PI(18:2)",2628417.21466667,11040432.1816667,5482909.77433333,5060818.239,5701721.51733333,10299667.973
"PI(18:3)",35505.915,366177.074,210237.872,27677.5164,77179.877,55182.4677
"PI(20:0)",40955.3025,696730.895,117143.32,19128.4221,175870.095,531794.185
"PI(20:1)",1196380.4325,4091601.798,2003280.3525,2596763.0265,2393447.2855,5337372.425
"PI(20:2)",1570973.459,4145742.692,1869248.817,2791030.486,2324816.519,5177976.718
"PI(20:3)",5776022.396,5731808.09535,8868032.985,3228048.8948,3613449.886,4636421.29045
"PI(20:4)",33394236.9412143,80609703.7224286,53620674.9948571,54979331.8167286,54429612.0693714,82598227.943
"PI(20:5)",5268077.76166667,9624925.13233333,7299667.53746667,5236966.43356667,5239275.57403333,10209987.9001667
"PI(22:3)",4555.1775,1169290.346,369838.392,486957.361,412660.011,1214962.064
"PI(22:4)",2859904.4584,7329095.2727,4422690.9512,3803669.93853333,2867965.7324,6481567.28233333
"PI(22:5)",7471532.989,1.9e+07,11078843.906,13053421.9015,12973671.9755,20353895.9935
"PI(22:6)",1619260.669,1049987.6345,343445.3656,459370.83,1381914.5675,2832232.801
"PS(16:0)",1093075.689,1802138.17,908950.996,1522793.585,1491705.8505,6117620.352
"PS(16:1)",586777.1875,668747.43345,362808.8391,556447.364,560907.7157,678014.94795
"PS(18:0)",1216577.8033,8005803.5434,2456087.93845,3203054.43595,3743882.82215,27520882.194
"PS(18:1)",299437.9166,3152022.01046,1062206.82231,1482689.64612,1271222.97744,10003714.80317
"PS(18:2)",1093075.689,777776.9708,627229.6984,918057.4724,928903.7178,4270315.185
"PS(20:2)",988093.929666667,1029640.5401,766360.446333333,1187902.23746667,1079270.69673333,1128191.8812
"PS(20:3)",741018.8214,4218553.005,2903805.037,3061508.781,1160958.971,3211453.055
"PS(20:4)",912147.3376,1272596.48466667,1177694.4403,976445.440566667,1147255.64333333,1643141.80866667
"PS(22:5)",122396.1546,4489604.868,1214953.74625,2360237.7955,2198650.538,16454762.2385
"PS(22:6)",600266.96495,580627.95904,554162.11158,935527.15858,780838.78252,2312555.18864
"SM(18:1)",2171922.328,3017023.559,1379896.969,1122907.427,907402.2192,2239518.15
"SM(18:2)",29800000,29200000,29600000,21400000,18900000,20200000
"SM(22:0)",21797509.7806,27120494.21225,20658004.39365,37700000,18629392.0264,22192839.03865
"SM(22:2)",280235.0244,NA,NA,NA,334470.2922,636868.6269
"SM(24:3)",4.7e+07,47200000,41600000,65700000,66400000,67800000
"SM(24:5)",3899727.863,846199.2015,5435590.944,1655101.811,1004146.16,867091.1139
"SM(d14:0)",280235.0244,NA,NA,NA,334470.2922,636868.6269
"SM(d18:1)",19817912.54775,21790805.690125,19378871.97825,15469502.3095,14477887.0948,16901652.315975
"SM(d18:2)",23597509.7806,23670494.21225,20908004.39365,65700000,33279392.0264,33942839.03865
"TG(10:0)",5270604.68576667,7692724.3795,6823184.653,14034224.1331667,11735172.6358333,14683250.2631667
"TG(10:1)",11364185.438,38962942.007,40024993.2013333,58490062.0043333,33822261.2986667,44610519.7356667
"TG(10:2)",232732.5585,801292.2447,863545.8981,254160.8154,215946.2574,218610.7809
"TG(10:3)",1556601.74858,3017370.6802,4100447.4766,2837462.22295,2681653.70772,2967130.76582
"TG(10:4)",1950200.274125,3394016.125925,3018670.156525,4425223.6581,6177495.63635,6678677.739475
"TG(12:0)",11151165.7347143,13395265.0202857,10857978.743,21077009.4184286,25132529.112,26504458.0718571
"TG(12:1)",21592285.3473625,34461154.5027125,32402391.99485,50706293.5954062,44225330.1491875,55140530.2166312
"TG(12:2)",917055.633,3210527.157,1325961.002,9746254.883,5131359.906,1550434.581
"TG(12:3)",10841379.5413333,19233333.3333333,16038389.4546667,11420312.3546333,7679126.583,5445718.67233333
"TG(12:4)",3471974.337,5234000.541,7853762.7645,9498749.0335,8473531.208,5625929.2615
"TG(14:0)",53799581.7885882,34745848.0851765,53550657.2943412,95440197.7475294,107557674.623529,110116983.060588
"TG(14:1)",19527639.621,21006583.4463,17647505.4576,28563752.8,29853135.9906,35016797.4369
"TG(14:2)",3379834.0545,5346144.587,5301303.46125,7518852.581,7485300.73275,7124454.119
"TG(14:3)",780201.2337,284489.082,4119959.349,136693.045,178166.4084,531802.581
"TG(14:4)",106822.548,4138136.118,4159302.331,4440178.424,5475473.34,1228394.884
"TG(16:0)",77884797.3287297,81025794.8911737,76412983.9319865,102313994.698395,114062721.925632,114909230.388355
"TG(16:1)",72984714.7606889,68616907.071684,65689178.8751154,129452835.36237,156307139.676226,139406087.743567
"TG(16:2)",5163274.99766667,8537192.98933333,8504860.37933333,9511755.10333333,11354054.426,13192538.2406667
"TG(18:0)",56054233.68355,60476073.9292233,54165737.7898333,89403649.9062933,111771839.002537,124465895.812877
"TG(18:1)",153028510.18551,118069638.48665,100905878.647114,203151383.826639,246527441.61037,240638854.99965
"TG(18:2)",364714818.580677,401555617.865161,366649269.869936,438995523.134029,457333179.240806,464927552.396623
"TG(18:3)",43919193.48895,44020737.5106,53251739.4230545,78590049.3986455,75818200.1557454,71953470.1840091
