"subclass","OA_01","OA_02","OA_03","X1i_01","X1i_02","X1i_03"
"LPA(24:1)",2221543,2527256,2980801,2672095,2828203,2888034
"LPC(14:0)",86161,294377,63016,271156,316408,428222
"LPC(16:0)",181033952,190575744,198123792,101962440,114656008,136536448
"LPC(16:1)",20517180,22790148,22664304,16034884,19779330,21400582
"LPC(16:2)",2694714,2819214,2863034,2591948,1986850,3600291
"LPC(16:4)",10518108,8527984,8979661,967936,1240335,1454286
"LPC(18:0)",220587776,255097328,230663760,161309840,166236496,220071440
"LPC(18:1)",523612497,495289033,588287775,329299751,407401622,428468576
"LPC(18:2)",11420814,11608069,11343199,5861254,6378831,5391383
"LPC(18:4)",830848,1017579,559201,973980,1087800,1795325
"LPC(18:5)",146303,797805,229861,1043907,727814,1015156
"LPC(20:0)",13279073,11855093,11473968,17115710,17357186,12634123
"LPC(20:1)",26813768,29912492,34319116,23528936,25723558,32609668
"LPC(20:3)",NA,NA,19906,NA,34039,13035
"LPC(20:4)",994241,1011657,1248342,663541,1188544,1633353
"LPC(22:0)",11758914,11710004,6829538,7986425,8381268,11386659
"LPC(22:1)",4714898,5467798,5354836,5103500,5939206,6713010
"LPC(22:4)",533401,175873,NA,172536,783007,631073
"LPC(22:5)",5936387,8007404,5827704,2237665,2856821,3642181
"LPC(22:6)",NA,1259,528,611,NA,69960
"LPC(24:1)",1797231,2493106,2532525,630877,709199,2018952
"LPC(24:2)",78290344,78385736,77888208,65837636,91387024,96337872
"LPC(24:4)",3349459,2141411,3772160,2836547,4012997,3288887
"LPC(24:6)",3667540,3820960,4577192,3888050,3397402,5172095
"LPC(26:0)",10819843,11003113,10906650,12102995,13226584,16716553
"LPC(26:2)",26581626,18799732,23674792,4497634,2991770,2567857
"LPC(26:3)",11386969,9091717,5049988,NA,NA,NA
"LPC(26:4)",25824236,15701778,13459045,1865980,1157004,919109
"LPC(26:5)",8029236,3917355,6321530,2878378,9461648,7754582
"LPC(26:6)",NA,NA,NA,1316244,1755482,1840070
"LPC(26:7)",NA,NA,167115,1268806,1146148,2100162
"LPC(28:0)",209460315,187334941,220126702,266908366,249297636,347808050
"LPC(28:1)",28945687,35064599,35533616,47944718,47413824,60674900
"LPC(28:3)",40964020,29853960,40435476,16059682,13942635,10900222
"LPC(28:5)",3080612,3393312,2801222,259655,215329,393270
"LPC(30:0)",1598853164,1752253896,1722834688,1619694648,1907063936,2208897968
"LPC(30:1)",1146671164,1246864836,1251551232,1050077528,1152268616,1506542040
"LPC(30:2)",111276086,104469269,101489820,132055292,152942544,167370516
"LPC(30:3)",40423,121547,105965,17693,127897,177617
"LPC(30:5)",6151996,7733708,3461157,5669078,4174800,7610969
"LPC(30:7)",3363163,3437237,2777904,3102548,3677753,3069330
"LPC(32:0)",6284722688,6481831680,6491329664,6106695200,6818327968,8297908864
"LPC(32:1)",6492018800,6954336304,7037735200,5503815440,6183271392,7586058592
"LPC(32:2)",3298470320,3512541872,3607831888,3910307760,5053183392,5442558112
"LPC(32:3)",173086756,130848051,122604504,30531790,46863582,43712564
"LPC(32:4)",47605770,43259314,46500255,61810980,57790104,72228868
"LPC(32:5)",165158685,194558687,173209168,156331567,182518989,180428313
"LPC(32:7)",8387546,4988642,3034788,280534,311236,423902
"LPC(32:9)",17282568,12362747,13232533,10095328,11119068,8068275
"LPC(34:0)",2356638144,2618458560,2608375296,2299815872,2621514752,3117040512
"LPC(34:1)",20836445952,23447208704,22543783936,19703615744,22609861632,25903064832
"LPC(34:2)",7918189120,8951975200,8651740160,6733519008,8060104384,9394406400
"LPC(34:3)",411810720,437647832,396397972,379567064,486806252,480858392
"LPC(34:4)",4822598,4008875,5294906,2934929,3222769,3850928
"LPC(34:5)",230957760,253886018,244971619,176140187,196281666,229505074
"LPC(34:6)",48122846,49377151,46056572,31278299,34908921,38421754
"LPC(34:7)",21323984,16601170,20791590,20895364,23314218,23222038
"LPC(34:8)",1974598,1920369,1937092,11998675,13266067,12166804
"LPC(34:9)",1694989,2193224,2187348,19453484,25029450,22755766
"LPC(36:0)",476685380,469982288,467058560,423535788,469910036,560994768
"LPC(36:1)",1311796416,1589200960,1471523264,1426104000,1610132352,1874882048
"LPC(36:10)",60558136,56801252,38032888,NA,NA,NA
"LPC(36:2)",7824778704,8677125684,8183611612,8359575056,9660191080,11703242368
"LPC(36:3)",493942544,581226272,537449024,538915768,615164576,708740968
"LPC(36:4)",27449623,26009658,28677692,7098089,10545526,8362855
"LPC(36:5)",5693677288,6343935968,5733340320,4388470952,5030143344,5401599584
"LPC(36:6)",767445718,817256172,733623552,560306902,618879760,615962804
"LPC(36:7)",119422880,142495160,128689268,127663508,157152428,171717056
"LPC(36:8)",95476998,94425644,88937342,101865010,109641410,98047118
"LPC(36:9)",19765566,19983244,23743608,22059708,24341014,13068099
"LPC(38:0)",210554564,216021532,223709400,210415782,249609276,297934291
"LPC(38:1)",265865402,293678280,260016832,287121502,317583930,347937886
"LPC(38:10)",21183212,27937236,20246238,24360540,28833234,22854244
"LPC(38:2)",230184416,255933416,280164640,251220568,286532624,378311328
"LPC(38:4)",1735147440,1980727840,1861102384,2012814320,2183879072,2701664624
"LPC(38:5)",5368097088,5864655616,5764319424,5071508160,6115070592,6490227584
"LPC(38:6)",4012497144,4477975768,4208839720,3447657464,4285644864,4555886096
"LPC(38:7)",1778957608,1973968576,1798969420,1618037448,1817860224,2115127744
"LPC(38:8)",34178754,31274012,32792623,35715495,46519655,43801211
"LPC(38:9)",3832157,4158014,5557721,4970388,5519228,1865979
"LPC(40:1)",424033056,474903552,426573392,353931760,405775856,444768944
"LPC(40:11)",4016535,4473310,937159,6979286,9998996,7810022
"LPC(40:2)",173315584,149571282,142738218,90187846,97386276,98702588
"LPC(40:3)",244168208,299594112,277999000,180853658,227628322,246294982
"LPC(40:4)",323689316,371732551,333499702,249897200,304515773,317540632
"LPC(40:5)",240436030,269870671,278853970,263823259,323277921,368314846
"LPC(40:6)",1171832588,1295709100,1263447668,1498256536,1721828724,1996235456
"LPC(40:7)",545224240,621810632,592124240,529915420,605875720,690795208
"LPC(40:8)",23189412,25061938,25747944,24586516,27908320,32136860
"LPC(40:9)",78752400,65168260,65784592,10194706,8563016,6160720
"LPC(42:0)",21022320,26490062,19082636,4545896,3778755,1997531
"LPC(42:11)",123310,166865,163838,367312,405806,522359
"LPC(42:2)",69797648,83198552,72373800,68143536,82414760,91717576
"LPC(42:4)",15395692,15567590,15376258,8849813,12933110,11554701
"LPC(42:5)",202159542,237372982,212307072,183099570,219419940,249127229
"LPC(42:6)",63895470,96476309,87696158,7648415,8142644,9277653
"LPC(42:7)",279668414,187684028,136648476,110417778,132678481,149270575
"LPC(42:8)",70981320,76776768,67513856,63211164,64484488,87661288
"LPC(44:0)",42936392,39838556,40965284,17973622,15943880,7837503
"LPC(44:1)",1815533952,1824855424,1778595968,762806656,697868864,452725376
"LPC(44:10)",10497857,24433586,44073572,3054672,762976,1051878
"LPC(44:2)",148985480,189686564,157868268,14285360,10498592,13648220
"LPC(44:3)",159020878,169610716,98964980,627630254,772014662,795666108
"LPC(44:4)",404751072,474668576,440642880,234715408,246873888,277069920
"LPC(44:5)",45058576,85294632,86329248,20055100,3238778,5194623
"LPC(44:6)",143313608,178808144,150577994,134787220,175613468,168862456
"LPC(44:7)",33106006,35940640,35682360,26846318,32104306,37598138
"LPC(44:8)",10779383,14459472,15272543,14646562,17651325,21421645
"LPC(44:9)",160882432,65607028,99837176,24923280,21633614,14802736
"LPC(8:0)",2033926,2855835,2507357,2571279,2915686,3127154
"LPE(16:0)",10199259,11253073,13232446,6722719,7910428,9213978
"LPE(18:0)",57419456,56955988,67755048,35173956,44872240,49656392
"LPE(18:1)",74910,391888,578680,NA,138952,97701
"LPE(18:5)",132299,132205,65107,139022,266477,212139
"LPE(20:0)",3785946,5762524,5212941,2893138,3895247,5273058
"LPE(20:1)",680991,1257659,1536710,708826,896704,1730521
"LPE(20:4)",37493144,21838350,28702154,11758259,15447028,13713172
"LPE(20:5)",1523866,1354720,1974938,345271,562227,884089
"LPE(22:0)",601962,281747,534920,350287,576430,705800
"LPE(22:1)",407885,153680,351140,93072,117182,666279
"LPE(22:4)",275488,289781,298233,152404,139657,442734
"LPE(22:5)",6714302,7196554,7230161,3627639,3277836,4673224
"LPE(22:6)",382242,543383,243684,198915,188840,264138
"LPE(26:1)",3380817,3956318,4102690,3147938,4262516,4734984
"LPE(26:2)",1968092416,2011234560,2020447360,1979162368,2067410560,2421228800
"LPE(28:1)",4394558,5713482,7373966,4559106,4389422,5782288
"LPE(28:2)",1149084,2743864,766658,1162288,906860,3358086
"LPE(28:5)",1510563,1790624,1934148,1021932,695208,795403
"LPE(30:0)",289462,259975,698617,941107,605793,1301857
"LPE(30:1)",22421540,18492182,20190074,16169626,17192148,21983508
"LPE(30:2)",4600860,5814077,6765234,9829776,8428918,12676544
"LPE(30:5)",3874654,5222565,5151474,306575,329524,398078
"LPE(30:6)",2707098,3280134,2919996,51155,NA,176526
"LPE(30:7)",2210174,2770266,2811809,2450337,3172368,2609846
"LPE(30:8)",5423689,4779246,6917324,5719148,5357440,2962467
"LPE(32:0)",4387692,4737303,4687350,5244812,5603582,7163980
"LPE(32:1)",223960608,245913072,224883840,216514816,240075248,305528576
"LPE(32:2)",160402080,178794736,161632176,114625648,126433744,155503696
"LPE(32:5)",9908261,10575091,10082716,9083947,8749672,12558181
"LPE(32:6)",45368,108833,31772,339914,442379,573744
"LPE(32:9)",274203,2261177,3414487,169852,171974,80618
"LPE(34:0)",239680096,302173664,252858704,253563552,301139968,334346240
"LPE(34:1)",507657664,551998144,505811776,475308032,534087744,591851200
"LPE(34:2)",2045813376,2163809280,2216497664,1630441216,1840021504,2218972416
"LPE(34:3)",67650064,62510692,76612536,37040104,68245944,59629836
"LPE(34:4)",28252504,27957316,31174286,40165440,43726596,49974368
"LPE(34:5)",36254968,35836068,37418100,30802900,37377000,39325224
"LPE(34:6)",1120176,1434480,1655548,1490347,1465089,1910280
"LPE(34:7)",5785151,5454464,5410452,8764080,7716603,10391087
"LPE(34:8)",NA,1328991,454374,3921642,3700128,4587274
"LPE(34:9)",NA,NA,146750,2517114,7275312,7509468
"LPE(36:0)",29617852,30529060,30803152,26628078,28142270,33771440
"LPE(36:1)",873224192,957759360,845863872,945156352,926683584,1061787456
"LPE(36:10)",711788,241104,280936,2910643,2079508,3812104
"LPE(36:2)",521215104,574990336,582371840,469867104,540358400,657558976
"LPE(36:3)",249168032,559393472,314001184,574827584,650624128,905485120
"LPE(36:4)",117957688,132317792,117871264,101416440,96766432,127224600
"LPE(36:5)",4269342208,4708912640,4227982592,3255522304,3747647744,4094259200
"LPE(36:6)",1283947392,1321319552,1361367808,786966016,888219136,973788672
"LPE(36:7)",27267778,29662844,28219458,25479640,28163566,29759734
"LPE(38:0)",18750614,15591358,16982474,3193924,2236474,2426512
"LPE(38:1)",115152168,118496816,149225136,142260384,200467712,217930464
"LPE(38:2)",370411648,415337376,407308864,363489216,437728448,524411296
"LPE(38:4)",73246776,89078344,89683568,50519232,67762208,77611184
"LPE(38:5)",1940158976,2154557696,2117598592,1494073856,1724705664,1918528256
"LPE(38:6)",5522515968,6219538432,5685502976,4177728512,4839164928,5397490688
"LPE(38:7)",2919571712,3280616448,2934391040,2527993344,2766239488,3254555904
"LPE(38:8)",23822902,18181862,21260644,20086164,25064584,26456720
"LPE(38:9)",80024512,75527736,90540064,69781912,67021544,67097912
"LPE(40:0)",112280,327882,281028,335974,390577,486447
"LPE(40:1)",8079624,8104623,8151887,8302880,11495866,11035220
"LPE(40:10)",171576688,184449744,134462704,227413904,251333904,180245600
"LPE(40:11)",91706,705730,124648,31692,NA,NA
"LPE(40:2)",2057479,2281428,2585278,2613010,3760902,3904839
"LPE(40:3)",3379154,4759834,4674152,1508357,2108314,2818006
"LPE(40:4)",169186336,189944512,170202800,145942800,157981136,169826464
"LPE(40:5)",319090016,403067360,345529280,273935744,355665184,357749792
"LPE(40:6)",1092636800,1218839552,1157047680,863685888,998799616,1124267776
"LPE(40:7)",1998773760,2230982400,2009842944,1450936704,1688839168,1922240000
"LPE(40:8)",2971117568,3297222656,3013660160,2428614144,2827495168,3073954048
"LPE(40:9)",494197728,525981184,511596256,536358176,563643136,562241536
"LPE(42:1)",69240,375299,221076,231355,262468,441826
"LPE(42:11)",195523296,221342528,174237040,254519952,291507200,217401520
"LPE(42:2)",55866424,47887508,15658520,58867996,59476944,39058164
"LPE(42:3)",244216032,244689712,208410608,83983736,85034680,48251000
"LPE(42:4)",3043739,3642962,3475103,664028,485581,244664
"LPE(42:5)",33739400,36264492,34517780,24510182,29422334,33191472
"LPE(42:6)",124508328,157509952,122616632,118651736,133348360,166565360
"LPE(42:7)",87409056,96135072,98344456,93743064,111034288,117299728
"LPE(42:8)",26476278,31802778,29856222,30464306,35151288,39413528
"LPE(42:9)",88449528,24716394,90706048,90522120,46579196,45163868
"LPE(44:10)",49219944,61580488,56953908,67997504,72173840,81299864
"LPE(44:11)",2015024,1282730,782330,1345859,652611,1742952
"LPE(44:12)",26110972,28166624,33438770,21033768,23251066,19618794
"LPE(44:2)",31042916,46461896,36428504,12089876,7965986,2861272
"LPE(44:4)",32970352,33724872,32607842,27316020,31858374,31473760
"LPE(44:5)",181621072,174964896,157073808,101684216,93329624,61211228
"LPE(44:6)",9220188,10253822,11235452,7530294,10128273,6639285
"LPE(44:7)",15963244,15985427,14915724,13308959,16071552,21374416
"LPE(44:8)",1811543,1420547,1326268,1981288,1625683,1954431
"LPE(44:9)",4362760,2133728,2407127,4157662,7745674,8551218
"LPG(10:0)",4819626,6171409,5309062,2983634,1457843,2923927
"LPG(14:1)",1717225,1870975,2188097,1842323,1783132,1959822
"LPG(16:1)",1192418,1298744,997765,1457983,1700540,1650349
"LPG(18:1)",1317382,3566456,3009776,2259370,3883495,3192098
