"subclass","DGAT_1.2i_001","DGAT_1.2i_002","DGAT_1.2i_003","DGAT_1i_001","DGAT_1i_002","DGAT_1i_003","DGAT_2i_001","DGAT_2i_002","DGAT_2i_003","OA_001","OA_002","OA_003"
"LPC(22:1)",3897470.156,5263662.544,5874669.042,1344318.397,1561778.092,1689044.423,1454846.347,1434000.592,1731837.909,1261190.492,1353906.263,1432675.457
"LPC(22:4)",25106.0556,180663.6513,84574.9677,NA,NA,NA,NA,62937.3987,35859.4632,NA,7.157,NA
"LPC(22:5)",153109.223,19800000,448945.378,61840.606,58047.2568,127550.829,76494.129,74252.0385,98618.5386,NA,156820.441,542542.175
"LPC(22:6)",NA,1802668.068,27631.597,161.612,NA,13376.078,NA,9991.8576,306.7605,152.2719,2085.2859,150.657
"LPC(26:0)",3445004.113,2915446.456,3033453,3137109.444,3486193.803,2923772.651,2336319.841,2512105.993,1935960.379,2769676.477,2741745.244,2111307.23
"LPC(28:0)",67200000,66500000,65900000,65600000,60700000,83300000,46500000,39800000,46900000,49900000,45300000,52700000
"LPC(28:1)",6274503.568,7419571.47,7912722.379,5935494.289,7264538.795,4808243.945,6286775.817,6891283.029,6054968.801,5873599.504,6471595.243,6196333.003
"LPC(30:1)",7959776.204,4693616.874,5914757.36,7663409.717,7359456.351,6583333.778,6949071.304,6645409.802,5093528.563,6106682.741,6078470.712,4786637.505
"LPC(32:0)",58300000,59900000,60300000,58400000,66100000,70700000,56700000,56500000,52800000,52100000,51400000,54800000
"LPC(32:1)",56100000,55900000,59200000,57900000,6.5e+07,6.8e+07,63500000,5.8e+07,51700000,56300000,58400000,56600000
"LPC(34:0)",8101853.07,7452596.132,8329836.627,8619149.377,9509796.088,10500000,6872840.661,4692582.871,2109699.602,5567469.681,5204951.596,4578621.959
"LPC(34:1)",1.75e+08,1.66e+08,1.53e+08,1.82e+08,2.03e+08,2.1e+08,1.65e+08,1.88e+08,1.81e+08,1.66e+08,1.78e+08,1.7e+08
"LPC(36:0)",132840.1875,4213184.286,1639739.992,1533991.866,3978763.819,5032384.925,2931756.411,2149387.434,881162.912,849003.0267,213308.2233,1312613.465
"LPE(16:0)",1153371.316,2692751.035,1993637.566,2068579.438,1776632.882,2224827.691,4062615.353,4379504.191,3497365.443,2663786.346,2969744.668,3835939.099
"LPE(16:1)",3252068.204,5680474.23,4261424.197,3697374.187,4747760.226,5064863.786,5548553.888,5757539.204,7568986.669,3791613.315,4101331.522,4193445.739
"LPE(18:0)",6616811.164,11400000,8172863.923,8862412.582,11500000,11300000,15300000,14900000,16900000,14700000,1.4e+07,16800000
