"subclass","DGAT_2i_001","DGAT_2i_002","DGAT_2i_003","OA_001","OA_002","OA_003"
"PS(40:6)",544057.328,2497959.882,1511153.595,919970.787,338380.487,3809524.477
"PS(40:7)",242610.587,1157499.366,2606215.051,1783325.638,916093.0224,8327628.418
"PS(42:10)",95805.7599,221725.4535,71152.6365,24738.2067,36891.1662,269812.164
"PS(42:8)",2148530.792,2274876.731,2229720.057,2457010.504,2160802.008,2358303
"PS(44:12)",171001.297,341267.469,297427.9569,206280.7221,395203.858,303516.1806
"SM(36:2)",2054124.9366,1483687.9393,2298580.4407,1122907.427,1241872.5114,2876386.7769
"SM(36:3)",27200000,2.7e+07,2.1e+07,21400000,18900000,20200000
"SM(40:1)",47400000,5.6e+07,49800000,37700000,37100000,44300000
"SM(40:2)",320556.6441,231288.3621,143269.335,NA,158784.0528,85678.0773
"SM(42:5)",7.2e+07,73800000,74200000,65700000,66400000,67800000
"SM(42:6)",797898.692,297412.002,236579.7159,1655101.811,1004146.16,867091.1139
"TG(22:4)",915379.922,3633745.139,4819350.224,9719808.616,6547062.416,3728458.419
"TG(24:0)",2100895.98,1489186.999,967671.8358,3379145.828,1227469.54,1594301.926
"TG(24:7)",3251243.227,2781459.584,2551551.971,2711468.507,3331873.01,3518485.455
"TG(26:0)",6845078.561,4075649.072,3051402.157,10400000,3610816.033,4036671.713
"TG(28:0)",5770943.852,3293999.562,2548781.683,8971748.124,3266717.943,3137996.779
"TG(34:0)",22500000,19500000,17400000,21400000,29100000,40200000
"TG(34:1)",51600000,42900000,6766192.795,1.8e+07,13600000,35500000
"TG(34:2)",5495407.326,4052406.604,4609875.577,6802313.635,6065380.886,148968.8388
"TG(36:0)",6407763.6328,9511470.287,7933636.058,7024742.698,10233555.513,14977348.815
"TG(36:1)",301336225.172,268707769.688,162793891.85,242877275.232,172103369.648,263768264.73
"TG(36:2)",1.71e+08,1.52e+08,1.34e+08,1.6e+08,1.65e+08,1.94e+08
"TG(36:3)",99100000,80100000,68800000,135300000,104800000,139100000
