"subclass","DGAT_2i_001","DGAT_2i_002","DGAT_2i_003","OA_001","OA_002","OA_003"
"PE(28:1)",637381.776,470884.909,586050.778,749755.677,607954.573,702902.011
"PE(30:0)",4587432.45,4400944.5052,4109927.059,5822603.214,4959317.1507,5417762.658
"PE(30:1)",1492.272,7251.0549,1712.8887,1768.164,26002.302,2880.3423
"PE(30:2)",820397.509,592434.15,890123.176,424532.492,910172.679,886174.948
"PE(32:0)",155899467.56,146295114.499,139546331.365,148228703.024,158501433.341,152276530.839
"PE(32:1)",190663334.9986,169432466.6478,165635153.2537,134800970.7481,209249864.9159,187899010.6363
"PE(32:2)",9522696.06,8424357.7482,8369948.7077,9361173.2317,5006224.6634,8484762.7309
"PE(32:4)",2437752.137,1708302.977,2470788.344,2669935.103,2836595.648,2704935.161
"PE(32:5)",339412.479,589442.493,744585.812,990412.347,575463.9891,840461.629
"PE(34:0)",83142587.85,82678612.295,82648727.072,71423606.985,80055269.199,89574848.869
"PE(34:1)",1967067794.053,1729817533.159,1860908005.867,2021611403.745,2209030054.826,2124563858.2948
"PE(34:2)",357292363.4434,252647036.5328,250259971.2874,403820054.873,350350311.5421,441986944.9663
"PE(34:3)",10851983.774,10609306.557,7020771.879,12069625.446,9465856.99,11127360.177
"PE(34:4)",9312931.2386,8519179.0432,7933592.5605,9785775.8556,10061452.2647,10557837.7856
"PE(34:5)",1775842.603,3019870.795,2908894.934,2986225.153,2961925.588,3320222.459
"PE(34:6)",1437652.2006,1023366.077,958748.5647,1749116.792,1560637,1555329.43
"PE(34:7)",182290.873,55498.82,111985.863,117185.563,99305.099,77209.137
"PE(36:0)",20665861.321,34817170.025,41803265.817,37047346.969,36746691.655,39739261.323
"PE(36:1)",1472927201.7934,1450205737.853,1451507224.5808,1327475164.231,1620438853.642,1579874008.43
"PE(36:2)",6271600667.978,6575342157.341,6005448596.9769,6213755388.273,7545541977.9308,7452965253.932
"PE(36:3)",192504770.0473,127651728.319,135260692.5626,123729960.684,193278394.5023,117492888.3907
"PE(36:4)",1468987329.7136,1414401817.832,1300020669.8867,1478788736.493,1624173701.028,1492053264.959
"PE(36:5)",615297053.687,634429266.2,577391252.9694,662049582.344,520214261.49,707926058.89
"PE(36:6)",77403867.1808,74467488.5472,69774556.3163,80242602.6353,84519280.474,79607765.7683
"PE(36:7)",742240.147,938129.91,1129845.621,728714.043,1094344.702,1766811.545
"PE(38:0)",342432.5544,263720.628,70992.7344,18712.0173,248683.5747,351809.865
